season,playerId,teamId,teamN_product,teamN_research,r1PointsResidual,r1WinEqResidual,mismatch,status
2024-25,101108,1610612759,9301,9301,0,0,NO,COMPARED
2024-25,1626143,1610612754,15,15,0,0,NO,COMPARED
2024-25,1626145,1610612756,8820,8820,0,0,NO,COMPARED
2024-25,1626153,1610612749,1665,1665,0,0,NO,COMPARED
2024-25,1626153,1610612752,906,906,0,0,NO,COMPARED
2024-25,1626156,1610612747,3198,3198,0,0,NO,COMPARED
2024-25,1626156,1610612751,2948,2948,0,0,NO,COMPARED
2024-25,1626157,1610612752,10077,10077,0,0,NO,COMPARED
2024-25,1626158,1610612764,2259,2259,0,0,NO,COMPARED
2024-25,1626162,1610612755,8388,8388,0,0,NO,COMPARED
2024-25,1626164,1610612756,11430,11430,0,0,NO,COMPARED
2024-25,1626166,1610612752,4428,4428,0,0,NO,COMPARED
2024-25,1626167,1610612754,8645,8645,0,0,NO,COMPARED
2024-25,1626168,1610612758,5483,5483,0,0,NO,COMPARED
2024-25,1626171,1610612749,5132,5132,0,0,NO,COMPARED
2024-25,1626172,1610612744,4598,4598,0,0,NO,COMPARED
2024-25,1626179,1610612748,6584,6584,0,0,NO,COMPARED
2024-25,1626181,1610612746,8057,8057,0,0,NO,COMPARED
2024-25,1626192,1610612749,2454,2454,0,0,NO,COMPARED
2024-25,1626196,1610612748,578,578,0,0,NO,COMPARED
2024-25,1626204,1610612737,1998,1998,0,0,NO,COMPARED
2024-25,1626220,1610612756,7432,7432,0,0,NO,COMPARED
2024-25,1627732,1610612746,1180,1180,0,0,NO,COMPARED
2024-25,1627732,1610612751,3300,3300,0,0,NO,COMPARED
2024-25,1627734,1610612758,10119,10119,0,0,NO,COMPARED
2024-25,1627736,1610612765,9795,9795,0,0,NO,COMPARED
2024-25,1627739,1610612746,7311,7311,0,0,NO,COMPARED
2024-25,1627741,1610612744,7528,7528,0,0,NO,COMPARED
2024-25,1627742,1610612740,2446,2446,0,0,NO,COMPARED
2024-25,1627746,1610612758,42,42,0,0,NO,COMPARED
2024-25,1627747,1610612737,2951,2951,0,0,NO,COMPARED
2024-25,1627747,1610612739,3828,3828,0,0,NO,COMPARED
2024-25,1627749,1610612740,4195,4195,0,0,NO,COMPARED
2024-25,1627750,1610612743,10017,10017,0,0,NO,COMPARED
2024-25,1627751,1610612761,7060,7060,0,0,NO,COMPARED
2024-25,1627752,1610612749,8916,8916,0,0,NO,COMPARED
2024-25,1627759,1610612738,8799,8799,0,0,NO,COMPARED
2024-25,1627763,1610612764,2359,2359,0,0,NO,COMPARED
2024-25,1627777,1610612737,2745,2745,0,0,NO,COMPARED
2024-25,1627777,1610612739,4422,4422,0,0,NO,COMPARED
2024-25,1627780,1610612744,3791,3791,0,0,NO,COMPARED
2024-25,1627783,1610612754,10334,10334,0,0,NO,COMPARED
2024-25,1627814,1610612756,604,604,0,0,NO,COMPARED
2024-25,1627824,1610612755,7585,7585,0,0,NO,COMPARED
2024-25,1627826,1610612746,10739,10739,0,0,NO,COMPARED
2024-25,1627827,1610612747,4942,4942,0,0,NO,COMPARED
2024-25,1627827,1610612751,2317,2317,0,0,NO,COMPARED
2024-25,1627832,1610612745,8397,8397,0,0,NO,COMPARED
2024-25,1627884,1610612746,7733,7733,0,0,NO,COMPARED
2024-25,1627936,1610612760,4268,4268,0,0,NO,COMPARED
2024-25,1628365,1610612758,766,766,0,0,NO,COMPARED
2024-25,1628366,1610612741,3363,3363,0,0,NO,COMPARED
