playerId,playerName,actualPossessions,rawAbilityRate,validatedReliability,validatedDRBL100,shadowRank,currentProductionDRBL100,currentProductionRank
1628983,Shai Gilgeous-Alexander,10880,2.7644,0.8717948717948718,2.409989743589744,1,1.2962,2
203999,Nikola Jokić,10737,2.6742,0.8703088271054551,2.327379865445408,2,1.5315,1
1626181,Norman Powell,8057,2.1189,0.834317075696386,1.7678344516930724,3,1.1709,5
202710,Jimmy Butler,6970,1.8862,0.8133022170361727,1.534050641773629,4,1.3221,8
1630539,Kai Jones,1881,2.8355,0.5403619649525998,1.5321963516230968,5,0.5333,169
1630174,Aaron Nesmith,4464,1.9777,0.7361477572559367,1.4558794195250662,6,0.7848,65
1629627,Zion Williamson,3647,2.0876,0.6950638460072422,1.451015284924719,7,0.7584,85
1629660,Ty Jerome,5795,1.8019,0.7836375929682218,1.4120365787694389,8,0.8313,33
1630202,Payton Pritchard,9025,1.6565,0.8494117647058823,1.4070505882352942,9,0.9881,6
1631106,Tari Eason,5836,1.7842,0.7848305540613233,1.400294674556213,10,1.2376,15
1628449,Chris Boucher,3459,2.0391,0.6837319628385057,1.394197845423997,11,1.2006,56
203507,Giannis Antetokounmpo,9335,1.5068,0.8536808413351623,1.2863262917238225,12,0.3916,38
1629006,Josh Okogie,2524,2.081,0.612027158098933,1.2736285160038796,13,1.3065,76
1631165,Keon Ellis,8023,1.5258,0.8337316845058713,1.2721078042190586,14,0.9171,13
1629631,De'Andre Hunter,7330,1.5348,0.8208286674132139,1.2598078387458007,15,0.8664,18
1631128,Christian Braun,11046,1.4143,0.8734777795350308,1.235359623596394,16,0.5697,14
1630572,Sandro Mamukelashvili,2680,1.922,0.6261682242990654,1.2034953271028037,17,1.0422,95
1628386,Jarrett Allen,9655,1.4014,0.8578409595735229,1.202178320746335,18,0.6368,16
1628991,Jaren Jackson Jr.,9713,1.3944,0.8585697869707416,1.1971897109520022,19,0.872,9
1631133,Jabari Walker,3140,1.8049,0.6624472573839663,1.1956510548523207,20,0.8743,93
1629655,Daniel Gafford,5145,1.5596,0.7627872498146775,1.189642994810971,21,0.6834,58
203497,Rudy Gobert,9585,1.3637,0.8569512740277156,1.1686244523915958,22,0.5583,22
1627826,Ivica Zubac,10739,1.2934,0.8703298484480104,1.1256846259826567,23,0.6676,11
1630532,Franz Wagner,8188,1.3266,0.8365345320800981,1.109746710257458,24,1.3178,3
1641740,Jaylen Clark,2157,1.9022,0.5741282938514772,1.09210684056428,25,0.787,133
1627936,Alex Caruso,4268,1.4982,0.7273346966598501,1.0896928425357872,26,0.726,73
1627783,Pascal Siakam,10334,1.2412,0.8659292776939835,1.0747914194737724,27,0.5396,20
1628436,Luke Kornet,5296,1.3802,0.7679814385150812,1.059967981438515,28,0.7805,45
1627736,Malik Beasley,9795,1.2254,0.8595875383940325,1.0533385695480475,29,0.6076,17
1630198,Isaiah Joe,6664,1.2799,0.8063891577928364,1.0320974830590512,30,0.466,63
1628381,John Collins,5113,1.3288,0.7616564874124833,1.0120891404737078,31,0.6063,69
201939,Stephen Curry,9434,1.1632,0.8549936559724488,0.9945286206271524,32,0.2546,62
1631116,Patrick Baldwin Jr.,429,4.6818,0.2114342040413997,0.9898926564810251,33,1.2208,233
1627780,Gary Payton II,3791,1.4066,0.7032090521239103,0.9891338527174922,34,0.2185,151
204001,Kristaps Porziņģis,5035,1.3021,0.758854559155991,0.9881045214770159,35,0.4905,83
203084,Harrison Barnes,9064,1.1506,0.8499624906226556,0.9779668417104276,36,0.3522,44
1631109,Mark Williams,4827,1.2984,0.7510502567294227,0.9751636533374825,37,0.8354,50
203552,Seth Curry,4319,1.3126,0.7296840682547727,0.9577833079912147,38,0.9175,55
1629634,Brandon Clarke,5288,1.225,0.7677119628339141,0.9404471544715448,39,0.4625,80
1628384,OG Anunoby,10928,1.0764,0.8722860791826309,0.9389287356321839,40,0.3044,35
1629680,Matisse Thybulle,1316,2.0422,0.4513031550068587,0.9216513031550068,41,0.6752,187
1629021,Moritz Wagner,2282,1.5326,0.5878413189077795,0.9009256053580628,42,0.2216,197
1631131,Oscar Tshiebwe,1093,2.2036,0.4058670627552915,0.8943686594875603,43,0.9299,182
1630596,Evan Mobley,9051,1.0481,0.8497793634400526,0.8906537508215191,44,0.6262,21
202681,Kyrie Irving,7454,1.0784,0.823282527059863,0.8878278771813564,45,0.3701,64
1630573,Sam Hauser,6035,1.1216,0.7904387688277669,0.8865561231172233,46,0.4259,74
202692,Alec Burks,3377,1.2808,0.6785211975085392,0.869049949768937,47,0.5381,121
1629060,Rui Hachimura,7480,1.0483,0.8237885462555066,0.8635775330396476,48,0.3896,59
1630643,Jay Huff,3184,1.296,0.6655518394648829,0.8625551839464883,49,0.414,139
1630551,Justin Champagnie,5479,1.1111,0.7739793756180251,0.8599684842491877,50,0.8972,31
1628378,Donovan Mitchell,9308,1.0025,0.8533186651998533,0.8554519618628529,51,0.4699,26
1627751,Jakob Pöltl,7060,1.0462,0.815242494226328,0.8529066974595844,52,0.1848,105
1630314,Brandon Williams,2040,1.5199,0.5604395604395604,0.851812087912088,53,-0.1548,277
1629661,Cameron Johnson,7215,1.0392,0.8184912081678957,0.8505760635280771,54,0.5644,39
1630534,Ochai Agbaji,7355,1.0336,0.8213288665549973,0.8489255164712453,55,0.3991,61
1630700,Dyson Daniels,10870,0.9726,0.871692060946271,0.8478076984763433,56,0.5008,19
1629675,Naz Reid,9046,0.9765,0.8497088108209656,0.8297406537666729,57,0.9686,7
1629048,Goga Bitadze,5644,1.0343,0.7791275538376587,0.8058516289342904,58,0.7243,43
1626158,Richaun Holmes,2259,1.3308,0.5853848147188391,0.7790301114278311,59,0.4226,166
1641726,Dereck Lively II,3451,1.1322,0.683231043357751,0.7735541872896458,60,0.501,126
1630696,Dru Smith,1092,1.8654,0.40564635958395245,0.7566927191679049,61,1.1571,165
1641709,Ausar Thompson,5515,0.9746,0.77512297962052,0.7554348559381588,62,0.6755,53
1630193,Immanuel Quickley,3787,1.0585,0.7029886764432894,0.7441135140152219,63,-0.1235,250
203932,Aaron Gordon,5970,0.9402,0.7886393659180978,0.7414787318361956,64,0.3677,84
1629637,Jaxson Hayes,4526,0.9998,0.7388181521384264,0.7386703885079987,65,0.6704,72
202696,Nikola Vučević,9771,0.8572,0.8592911793158033,0.7365843989095066,66,0.4312,27
1627884,Derrick Jones Jr.,7733,0.8821,0.8285653059037823,0.7308774563377264,67,0.4192,51
1631245,Quenton Jackson,1621,1.4521,0.5032598571872089,0.730783638621546,68,-0.2047,305
1630169,Tyrese Haliburton,9847,0.8411,0.8602253865641653,0.7235355726391194,69,-0.1862,231
1626157,Karl-Anthony Towns,10077,0.8352,0.8629785047529331,0.7207596471696498,70,0.4707,23
1630162,Anthony Edwards,11610,0.8152,0.8788796366389099,0.7164626797880393,71,0.2064,48
203926,Doug McDermott,1386,1.5189,0.46416610850636303,0.7050219022103148,72,0.4282,212
1631197,Jared Rhoden,955,1.8573,0.37377690802348335,0.6942158512720156,73,-0.0496,279
1628415,Dillon Brooks,9518,0.809,0.8560892246806979,0.6925761827666846,74,0.1273,88
1642419,Jamison Battle,4336,0.9463,0.7304582210242587,0.6912326145552561,75,0.7934,66
1631216,Caleb Houstan,3110,1.0465,0.6602972399150743,0.6910010615711252,76,-0.2913,376
