path,purpose,bytes,hash
src/data/drbl/precomputed/2020-21.json,DRBL precomputed season/stint product artifact,1299650,5a932a5765bd8972e343562126f4f8eea36a3749946dcc7a459d091b80507e1c
src/data/drbl/precomputed/2021-22.json,DRBL precomputed season/stint product artifact,1399880,d82600c1447a9d39df7cfa62ef064da4fcba0644499bc77b9e06d7bfc53f4241
src/data/drbl/precomputed/2022-23.json,DRBL precomputed season/stint product artifact,1280644,91d93ae511a7d3579127849b2a75dd428462627e12e030a4bb012e5a5d3d39aa
src/data/drbl/precomputed/2023-24.json,DRBL precomputed season/stint product artifact,1353810,ce8427d27de186dbb4cd36030bc9bdc96f6c65c787b6898397d1df3669e3a760
src/data/drbl/precomputed/2024-25-r1-stints.json,DRBL precomputed season/stint product artifact,82836,3899c23706da28078103ea3deac577dc168ed1740b04445ce9617c0bf830f787
src/data/drbl/precomputed/2024-25.json,DRBL precomputed season/stint product artifact,1506286,1ac1dad1f59c1faebf8103e0876e216f1b46d897db0816500f667b262def7951
src/data/drbl/precomputed/2025-26-r1-stints.json,DRBL precomputed season/stint product artifact,83497,d1090607d578c76fcaf5552915280d072efc4acae0872fffe9427b79ad04f5c9
src/data/drbl/precomputed/2025-26.json,DRBL precomputed season/stint product artifact,1108757,82bdd84e724b1d5d84f4e232f19ecf2861c25eef9195b9edfeae5ca7dd50371c
src/data/drbl/season-registry.ts,Website bridge re-export of canonical season registry,559,cb1556e5162171ebec3314b78f48d3d9c87516da1ba5798e298aa86345237480
drbl/historical/season-registry.ts,Canonical DRBL season registry (single source of truth),8131,016c3e6267c09ae45290b15037e5acbd1b8a074c8d4bb1cbcc79635ebe6fbdbf
drbl/evaluation/registry.ts,DRBL evaluation experiment registry,3270,ba00a8ed3b642f0acbb218d7a718c3a7fdf86c99bdfe94c93f26472a4b01b044
reports/experiments/registry.jsonl,Experiment run registry log,33871,c44b3dfce2335753c8d21b49d9b157849b6bf9d64d4fbbc3660c841d3cd7f6c1
reports/integration/14_integration_seal.json,Milestone seal / readiness artifact,3203,2c4f7fef249aadfec3094bd450bad0ee9d54fdc855ace3683a6d11dddf5ca35e
reports/m18b_0/15_readiness_seal.json,Milestone seal / readiness artifact,3378,d0207ca052f080b783990989f807cffe024c6702f255361bb2079e58c8695fbe
reports/m18a/29_m18a_seal.json,Milestone seal / readiness artifact,5187,12c967638011ae76379770dd8c508987b87167786807144c506d76cc9779b9c9
reports/m17b/19_validation_seal.json,Milestone seal / readiness artifact,6199,774c132678e962548d60c14a0fb5d6e522f715ea22bc41a18f0193854f48a4d2
reports/m17a_2/40_historical_corpus_seal.json,Milestone seal / readiness artifact,4128,fa6bca60775aab4153feef85ae9e096f61465216213b3112e76493e8194c371c
