season,gameId,status,reconcileOk,quarantined,possessionCount,lineupOk
2024-25,0022400001,COMPLETE,true,false,198,true
2024-25,0022400002,COMPLETE,true,false,212,false
2024-25,0022400003,COMPLETE,true,false,204,true
2024-25,0022400004,COMPLETE,true,false,199,false
2024-25,0022400005,COMPLETE,true,false,196,true
2024-25,0022400006,COMPLETE,true,false,188,true
2024-25,0022400007,COMPLETE,true,false,206,true
2024-25,0022400008,COMPLETE,true,false,201,true
2024-25,0022400009,COMPLETE,true,false,203,true
2024-25,0022400010,COMPLETE,true,false,183,false
2024-25,0022400011,COMPLETE,true,false,201,false
2024-25,0022400012,COMPLETE,true,false,225,true
2024-25,0022400013,COMPLETE,true,false,216,true
2024-25,0022400014,COMPLETE,true,false,196,false
2024-25,0022400015,COMPLETE,true,false,194,false
2024-25,0022400016,COMPLETE,true,false,210,false
2024-25,0022400017,COMPLETE,true,false,184,true
2024-25,0022400018,COMPLETE,true,false,191,true
2024-25,0022400019,COMPLETE,true,false,222,false
2024-25,0022400020,COMPLETE,true,false,212,true
2024-25,0022400021,COMPLETE,true,false,189,true
2024-25,0022400022,COMPLETE,true,false,195,false
2024-25,0022400023,COMPLETE,true,false,224,true
2024-25,0022400024,REPAIRABLE_STRUCTURAL,false,false,203,true
2024-25,0022400025,COMPLETE,true,false,201,false
2024-25,0022400026,COMPLETE,true,false,198,true
2024-25,0022400027,COMPLETE,true,false,185,true
2024-25,0022400028,COMPLETE,true,false,206,true
2024-25,0022400029,COMPLETE,true,false,212,true
2024-25,0022400030,COMPLETE,true,false,219,false
2024-25,0022400031,COMPLETE,true,false,205,true
2024-25,0022400032,COMPLETE,true,false,198,false
2024-25,0022400033,COMPLETE,true,false,200,true
2024-25,0022400034,COMPLETE,true,false,198,false
2024-25,0022400035,COMPLETE,true,false,215,false
2024-25,0022400036,COMPLETE,true,false,174,true
2024-25,0022400037,COMPLETE,true,false,214,true
2024-25,0022400038,COMPLETE,true,false,202,false
2024-25,0022400039,COMPLETE,true,false,203,true
2024-25,0022400040,COMPLETE,true,false,186,true
2024-25,0022400041,COMPLETE,true,false,205,true
2024-25,0022400042,COMPLETE,true,false,207,true
2024-25,0022400043,COMPLETE,true,false,194,false
2024-25,0022400044,COMPLETE,true,false,189,true
2024-25,0022400045,COMPLETE,true,false,200,true
2024-25,0022400046,COMPLETE,true,false,192,true
2024-25,0022400047,COMPLETE,true,false,208,false
2024-25,0022400048,COMPLETE,true,false,185,false
2024-25,0022400049,COMPLETE,true,false,194,true
2024-25,0022400050,COMPLETE,true,false,187,true
2024-25,0022400051,COMPLETE,true,false,205,false
2024-25,0022400052,COMPLETE,true,false,203,true
2024-25,0022400053,COMPLETE,true,false,203,true
2024-25,0022400054,COMPLETE,true,false,216,true
2024-25,0022400055,COMPLETE,true,false,192,true
2024-25,0022400056,COMPLETE,true,false,216,true
2024-25,0022400057,COMPLETE,true,false,198,false
2024-25,0022400058,COMPLETE,true,false,212,true
2024-25,0022400059,COMPLETE,true,false,191,true
2024-25,0022400060,COMPLETE,true,false,183,true
2024-25,0022400061,COMPLETE,true,false,179,false
2024-25,0022400062,COMPLETE,true,false,190,true
2024-25,0022400063,COMPLETE,true,false,199,true
2024-25,0022400064,COMPLETE,true,false,210,true
2024-25,0022400065,COMPLETE,true,false,194,false
2024-25,0022400066,COMPLETE,true,false,199,false
2024-25,0022400067,COMPLETE,true,false,201,true
2024-25,0022400068,COMPLETE,true,false,192,true
2024-25,0022400069,COMPLETE,true,false,213,false
2024-25,0022400070,COMPLETE,true,false,208,false
2024-25,0022400071,COMPLETE,true,false,225,false
2024-25,0022400072,COMPLETE,true,false,221,true
2024-25,0022400073,COMPLETE,true,false,206,false
2024-25,0022400074,COMPLETE,true,false,208,false
2024-25,0022400075,COMPLETE,true,false,196,true
2024-25,0022400076,COMPLETE,true,false,204,false
2024-25,0022400077,COMPLETE,true,false,197,true
2024-25,0022400078,COMPLETE,true,false,206,true
2024-25,0022400079,COMPLETE,true,false,209,true
2024-25,0022400080,COMPLETE,true,false,198,false
2024-25,0022400081,COMPLETE,true,false,193,true
2024-25,0022400082,COMPLETE,true,false,215,false
2024-25,0022400083,COMPLETE,true,false,214,false
2024-25,0022400084,COMPLETE,true,false,210,true
2024-25,0022400085,COMPLETE,true,false,201,true
2024-25,0022400086,COMPLETE,true,false,209,false
2024-25,0022400087,COMPLETE,true,false,192,true
2024-25,0022400088,COMPLETE,true,false,195,true
2024-25,0022400089,COMPLETE,true,false,196,true
2024-25,0022400090,COMPLETE,true,false,209,false
2024-25,0022400091,COMPLETE,true,false,229,false
2024-25,0022400092,COMPLETE,true,false,210,false
2024-25,0022400093,COMPLETE,true,false,198,true
2024-25,0022400094,COMPLETE,true,false,194,true
2024-25,0022400095,COMPLETE,true,false,195,true
2024-25,0022400096,COMPLETE,true,false,213,true
2024-25,0022400097,COMPLETE,true,false,218,true
2024-25,0022400098,COMPLETE,true,false,198,false
2024-25,0022400099,COMPLETE,true,false,192,false
2024-25,0022400100,COMPLETE,true,false,206,false
2024-25,0022400101,COMPLETE,true,false,207,false
2024-25,0022400102,COMPLETE,true,false,199,true
2024-25,0022400103,COMPLETE,true,false,211,true
2024-25,0022400104,COMPLETE,true,false,202,true
2024-25,0022400105,COMPLETE,true,false,195,true
2024-25,0022400106,COMPLETE,true,false,194,false
2024-25,0022400107,COMPLETE,true,false,225,true
2024-25,0022400108,COMPLETE,true,false,209,true
2024-25,0022400109,COMPLETE,true,false,188,true
2024-25,0022400110,COMPLETE,true,false,201,true
2024-25,0022400111,COMPLETE,true,false,193,false
2024-25,0022400112,COMPLETE,true,false,196,true
2024-25,0022400113,COMPLETE,true,false,211,false
2024-25,0022400114,COMPLETE,true,false,196,true
2024-25,0022400115,COMPLETE,true,false,194,true
2024-25,0022400116,COMPLETE,true,false,191,true
2024-25,0022400117,COMPLETE,true,false,206,true
2024-25,0022400118,COMPLETE,true,false,209,true
2024-25,0022400119,COMPLETE,true,false,233,true
2024-25,0022400120,COMPLETE,true,false,186,true
2024-25,0022400121,COMPLETE,true,false,212,true
2024-25,0022400122,COMPLETE,true,false,186,true
2024-25,0022400123,COMPLETE,true,false,203,true
2024-25,0022400124,COMPLETE,true,false,198,false
2024-25,0022400125,COMPLETE,true,false,198,true
2024-25,0022400126,COMPLETE,true,false,189,true
2024-25,0022400127,COMPLETE,true,false,190,false
2024-25,0022400128,COMPLETE,true,false,206,true
2024-25,0022400129,COMPLETE,true,false,189,true
2024-25,0022400130,COMPLETE,true,false,200,true
2024-25,0022400131,COMPLETE,true,false,199,false
2024-25,0022400132,COMPLETE,true,false,195,true
2024-25,0022400133,COMPLETE,true,false,204,true
2024-25,0022400134,COMPLETE,true,false,196,true
2024-25,0022400135,COMPLETE,true,false,207,false
2024-25,0022400136,COMPLETE,true,false,202,true
2024-25,0022400137,COMPLETE,true,false,206,true
2024-25,0022400138,COMPLETE,true,false,197,true
2024-25,0022400139,COMPLETE,true,false,197,true
2024-25,0022400140,COMPLETE,true,false,202,true
2024-25,0022400141,COMPLETE,true,false,192,true
2024-25,0022400142,COMPLETE,true,false,201,true
2024-25,0022400143,COMPLETE,true,false,233,true
2024-25,0022400144,COMPLETE,true,false,214,true
2024-25,0022400145,COMPLETE,true,false,193,false
2024-25,0022400146,COMPLETE,true,false,191,true
2024-25,0022400148,COMPLETE,true,false,211,false
2024-25,0022400149,COMPLETE,true,false,205,true
2024-25,0022400150,COMPLETE,true,false,200,true
2024-25,0022400151,COMPLETE,true,false,188,false
2024-25,0022400152,COMPLETE,true,false,194,true
2024-25,0022400153,COMPLETE,true,false,202,true
2024-25,0022400154,COMPLETE,true,false,200,true
2024-25,0022400155,COMPLETE,true,false,205,true
2024-25,0022400156,COMPLETE,true,false,197,true
2024-25,0022400157,COMPLETE,true,false,210,true
2024-25,0022400158,COMPLETE,true,false,186,false
2024-25,0022400159,COMPLETE,true,false,186,true
2024-25,0022400160,COMPLETE,true,false,206,true
2024-25,0022400161,COMPLETE,true,false,182,true
2024-25,0022400162,COMPLETE,true,false,196,true
2024-25,0022400163,COMPLETE,true,false,199,true
2024-25,0022400164,COMPLETE,true,false,185,true
2024-25,0022400165,COMPLETE,true,false,209,true
2024-25,0022400166,COMPLETE,true,false,204,false
2024-25,0022400167,COMPLETE,true,false,200,false
2024-25,0022400168,COMPLETE,true,false,182,true
2024-25,0022400169,COMPLETE,true,false,201,true
2024-25,0022400170,COMPLETE,true,false,190,true
2024-25,0022400171,COMPLETE,true,false,198,false
2024-25,0022400172,COMPLETE,true,false,194,true
2024-25,0022400173,COMPLETE,true,false,203,true
2024-25,0022400174,COMPLETE,true,false,209,true
2024-25,0022400175,COMPLETE,true,false,197,true
2024-25,0022400176,COMPLETE,true,false,211,true
2024-25,0022400177,COMPLETE,true,false,218,false
2024-25,0022400178,COMPLETE,true,false,196,true
2024-25,0022400179,COMPLETE,true,false,178,true
2024-25,0022400180,COMPLETE,true,false,191,true
2024-25,0022400181,COMPLETE,true,false,195,false
2024-25,0022400182,COMPLETE,true,false,194,true
2024-25,0022400183,COMPLETE,true,false,190,true
2024-25,0022400184,COMPLETE,true,false,186,false
2024-25,0022400185,COMPLETE,true,false,212,false
2024-25,0022400186,COMPLETE,true,false,192,true
2024-25,0022400187,COMPLETE,true,false,204,false
2024-25,0022400188,COMPLETE,true,false,214,false
