season,gameId,sourcePlayerId,canonicalPlayerId,name,teamId
2024-25,0022400001,1627759,1627759,Jaylen Brown,1610612738
2024-25,0022400001,1628369,1628369,Jayson Tatum,1610612738
2024-25,0022400001,201143,201143,Al Horford,1610612738
2024-25,0022400001,1628401,1628401,Derrick White,1610612738
2024-25,0022400001,201950,201950,Jrue Holiday,1610612738
2024-25,0022400001,1630202,1630202,Payton Pritchard,1610612738
2024-25,0022400001,1629674,1629674,Neemias Queta,1610612738
2024-25,0022400001,1630573,1630573,Sam Hauser,1610612738
2024-25,0022400001,1628436,1628436,Luke Kornet,1610612738
2024-25,0022400001,1641775,1641775,Jordan Walsh,1610612738
2024-25,0022400001,1642258,1642258,Zaccharie Risacher,1610612737
2024-25,0022400001,1630552,1630552,Jalen Johnson,1610612737
2024-25,0022400001,203991,203991,Clint Capela,1610612737
2024-25,0022400001,1630700,1630700,Dyson Daniels,1610612737
2024-25,0022400001,1630811,1630811,Keaton Wallace,1610612737
2024-25,0022400001,1626204,1626204,Larry Nance Jr.,1610612737
2024-25,0022400001,1629726,1629726,Garrison Mathews,1610612737
2024-25,0022400001,1630168,1630168,Onyeka Okongwu,1610612737
2024-25,0022400001,1631223,1631223,David Roddy,1610612737
2024-25,0022400002,203501,203501,Tim Hardaway Jr.,1610612765
2024-25,0022400002,202699,202699,Tobias Harris,1610612765
2024-25,0022400002,1631105,1631105,Jalen Duren,1610612765
2024-25,0022400002,1631093,1631093,Jaden Ivey,1610612765
2024-25,0022400002,1630595,1630595,Cade Cunningham,1610612765
2024-25,0022400002,1627736,1627736,Malik Beasley,1610612765
2024-25,0022400002,1630191,1630191,Isaiah Stewart,1610612765
2024-25,0022400002,1631323,1631323,Simone Fontecchio,1610612765
2024-25,0022400002,1641842,1641842,Ronald Holland II,1610612765
2024-25,0022400002,1629312,1629312,Haywood Highsmith,1610612748
2024-25,0022400002,201567,201567,Kevin Love,1610612748
2024-25,0022400002,1628389,1628389,Bam Adebayo,1610612748
2024-25,0022400002,1629639,1629639,Tyler Herro,1610612748
2024-25,0022400002,1626179,1626179,Terry Rozier,1610612748
2024-25,0022400002,1626196,1626196,Josh Richardson,1610612748
2024-25,0022400002,1631107,1631107,Nikola Jović,1610612748
2024-25,0022400002,1631170,1631170,Jaime Jaquez Jr.,1610612748
2024-25,0022400002,1629130,1629130,Duncan Robinson,1610612748
2024-25,0022400002,1642276,1642276,Kel'el Ware,1610612748
2024-25,0022400002,1641796,1641796,Pelle Larsson,1610612748
2024-25,0022400003,1641783,1641783,Tristan da Silva,1610612753
2024-25,0022400003,1630532,1630532,Franz Wagner,1610612753
2024-25,0022400003,1629048,1629048,Goga Bitadze,1610612753
2024-25,0022400003,203484,203484,Kentavious Caldwell-Pope,1610612753
2024-25,0022400003,1630591,1630591,Jalen Suggs,1610612753
2024-25,0022400003,1641710,1641710,Anthony Black,1610612753
2024-25,0022400003,1628371,1628371,Jonathan Isaac,1610612753
2024-25,0022400003,203914,203914,Gary Harris,1610612753
2024-25,0022400003,1629021,1629021,Moritz Wagner,1610612753
2024-25,0022400003,1630175,1630175,Cole Anthony,1610612753
2024-25,0022400003,1641724,1641724,Jett Howard,1610612753
2024-25,0022400003,1631216,1631216,Caleb Houstan,1610612753
2024-25,0022400003,202709,202709,Cory Joseph,1610612753
2024-25,0022400003,1630243,1630243,Trevelin Queen,1610612753
2024-25,0022400003,1630182,1630182,Josh Green,1610612766
2024-25,0022400003,1629684,1629684,Grant Williams,1610612766
2024-25,0022400003,201959,201959,Taj Gibson,1610612766
2024-25,0022400003,1641706,1641706,Brandon Miller,1610612766
2024-25,0022400003,1630163,1630163,LaMelo Ball,1610612766
2024-25,0022400003,1631217,1631217,Moussa Diabaté,1610612766
2024-25,0022400003,1628998,1628998,Cody Martin,1610612766
2024-25,0022400003,203552,203552,Seth Curry,1610612766
2024-25,0022400003,1642275,1642275,Tidjane Salaün,1610612766
2024-25,0022400003,203995,203995,Vasilije Micić,1610612766
2024-25,0022400003,1641733,1641733,Nick Smith Jr.,1610612766
2024-25,0022400003,1631197,1631197,Jared Rhoden,1610612766
2024-25,0022400004,202331,202331,Paul George,1610612755
2024-25,0022400004,1628997,1628997,Caleb Martin,1610612755
2024-25,0022400004,203954,203954,Joel Embiid,1610612755
2024-25,0022400004,1626162,1626162,Kelly Oubre Jr.,1610612755
2024-25,0022400004,200768,200768,Kyle Lowry,1610612755
2024-25,0022400004,203083,203083,Andre Drummond,1610612755
2024-25,0022400004,1630288,1630288,Jeff Dowtin Jr.,1610612755
2024-25,0022400004,1627824,1627824,Guerschon Yabusele,1610612755
2024-25,0022400004,1642272,1642272,Jared McCain,1610612755
2024-25,0022400004,1641741,1641741,Ricky Council IV,1610612755
2024-25,0022400004,1641737,1641737,Adem Bona,1610612755
2024-25,0022400004,1628404,1628404,Josh Hart,1610612752
2024-25,0022400004,1628384,1628384,OG Anunoby,1610612752
2024-25,0022400004,1626157,1626157,Karl-Anthony Towns,1610612752
2024-25,0022400004,1628969,1628969,Mikal Bridges,1610612752
2024-25,0022400004,1628973,1628973,Jalen Brunson,1610612752
2024-25,0022400004,1630540,1630540,Miles McBride,1610612752
2024-25,0022400004,1630579,1630579,Jericho Sims,1610612752
