teamId,abbreviation,n,mean,median,sd,p5,p25,p75,p95,min,max
1610612743,DEN,17,2,2,0,2,2,2,2,2,2
1610612760,OKC,19,2,2,0,2,2,2,2,2,2
1610612753,ORL,16,2,2,0,2,2,2,2,2,2
1610612759,SAS,18,2,2,0,2,2,2,2,2,2
1610612746,LAC,17,2,2,0,2,2,2,2,2,2
1610612738,BOS,17,2,2,0,2,2,2,2,2,2
1610612750,MIN,17,2,2,0,2,2,2,2,2,2
1610612748,MIA,17,2,2,0,2,2,2,2,2,2
1610612763,MEM,19,2,2,0,2,2,2,2,2,2
1610612741,CHI,19,2,2,0,2,2,2,2,2,2
1610612758,SAC,19,2,2,0,2,2,2,2,2,2
1610612745,HOU,17,2,2,0,2,2,2,2,2,2
1610612739,CLE,18,2,2,0,2,2,2,2,2,2
1610612765,DET,18,2,2,0,2,2,2,2,2,2
1610612737,ATL,17,2,2,0,2,2,2,2,2,2
1610612754,IND,19,2,2,0,2,2,2,2,2,2
1610612752,NYK,19,2,2,0,2,2,2,2,2,2
1610612740,NOP,20,2,2,0,2,2,2,2,2,2
1610612764,WAS,17,2,2,0,2,2,2,2,2,2
1610612766,CHA,23,2,2,0,2,2,2,2,2,2
1610612749,MIL,19,2,2,0,2,2,2,2,2,2
1610612751,BKN,20,2,2,0,2,2,2,2,2,2
1610612744,GSW,21,2,2,0,2,2,2,2,2,2
1610612747,LAL,17,2,2,0,2,2,2,2,2,2
1610612756,PHX,17,2,2,0,2,2,2,2,2,2
1610612761,TOR,19,2,2,0,2,2,2,2,2,2
1610612755,PHI,24,2,2,0,2,2,2,2,2,2
1610612742,DAL,19,2,2,0,2,2,2,2,2,2
1610612762,UTA,18,2,2,0,2,2,2,2,2,2
1610612757,POR,18,2,2,0,2,2,2,2,2,2
