playerId,playerName,rawCombinedRate,pairedEquivalentRate,impact_combined_formula,impact_paired_formula,residual,seasonalImpactStored,residual_vs_stored_combined,DIAGNOSTIC_CANDIDATE
203999,Nikola Jokić,2.6742,5.3484,287.128854,287.128854,0,287.12,0.008853999999985263,true
1628983,Shai Gilgeous-Alexander,2.7644,5.5288,300.76672,300.76672,0,300.77,-0.003279999999961092,true
1630532,Franz Wagner,1.3266,2.6532,108.62200800000001,108.62200800000001,0,108.62,0.0020080000000035625,true
1641705,Victor Wembanyama,0.6765,1.353,40.752359999999996,40.752359999999996,0,40.75,0.002359999999995921,true
1626181,Norman Powell,2.1189,4.2378,170.71977299999998,170.71977299999998,0,170.72,-0.000227000000023736,true
1630202,Payton Pritchard,1.6565,3.313,149.499125,149.499125,0,149.5,-0.0008750000000077307,true
1629675,Naz Reid,0.9765,1.953,88.33418999999999,88.33418999999999,0,88.33,0.004189999999994143,true
202710,Jimmy Butler,1.8862,3.7724,131.46814,131.46814,0,131.47,-0.0018599999999935335,true
1628991,Jaren Jackson Jr.,1.3944,2.7888,135.438072,135.438072,0,135.44,-0.0019279999999923803,true
203897,Zach LaVine,0.7166,1.4332,78.03774,78.03774,0,78.04,-0.002260000000006812,true
1627826,Ivica Zubac,1.2934,2.5868,138.89822600000002,138.89822600000002,0,138.9,-0.001773999999983289,true
201942,DeMar DeRozan,0.7831,1.5662,89.73542900000001,89.73542900000001,0,89.74,-0.004570999999984338,true
1631165,Keon Ellis,1.5258,3.0516,122.41493400000002,122.41493400000002,0,122.42,-0.005065999999985138,true
1631128,Christian Braun,1.4143,2.8286,156.22357799999997,156.22357799999997,0,156.22,0.0035779999999761003,true
1631106,Tari Eason,1.7842,3.5684,104.12591200000001,104.12591200000001,0,104.12,0.005912000000009243,true
1628386,Jarrett Allen,1.4014,2.8028,135.30517,135.30517,0,135.3,0.005169999999992569,true
1627736,Malik Beasley,1.2254,2.4508,120.02793,120.02793,0,120.02,0.007930000000001769,true
1629631,De'Andre Hunter,1.5348,3.0696,112.50083999999998,112.50083999999998,0,112.5,0.0008399999999824104,true
1630700,Dyson Daniels,0.9726,1.9452,105.72162,105.72162,0,105.72,0.0016200000000026193,true
1627783,Pascal Siakam,1.2412,2.4824,128.26560800000001,128.26560800000001,0,128.27,-0.004391999999995733,true
1630596,Evan Mobley,1.0481,2.0962,94.86353100000001,94.86353100000001,0,94.86,0.0035310000000094988,true
203497,Rudy Gobert,1.3637,2.7274,130.710645,130.710645,0,130.71,0.000644999999991569,true
1626157,Karl-Anthony Towns,0.8352,1.6704,84.163104,84.163104,0,84.16,0.003104000000007545,true
1630552,Jalen Johnson,0.3305,0.661,17.83378,17.83378,0,17.83,0.003780000000002559,true
1628369,Jayson Tatum,0.5173,1.0346,54.766551,54.766551,0,54.76,0.00655100000000175,true
1628378,Donovan Mitchell,1.0025,2.005,93.31269999999999,93.31269999999999,0,93.31,0.0026999999999901547,true
