playerId,playerName,teamId,N_combined,N_paired,offensiveTeamPossessionsOnCourt,defensiveTeamPossessionsOnCourt,ratioCombinedToPaired,boardActualPossessions,combinedVsBoard,uniquePossessionIdsOnCourt,pairedExposureMethod,DIAGNOSTIC_CANDIDATE
203999,Nikola Jokić,1610612743,10737,5368.5,5383,5354,2,10737,0,10737,average_offensive_and_defensive_team_possessions_on_court,true
1628983,Shai Gilgeous-Alexander,1610612760,10880,5440,5461,5419,2,10880,0,10880,average_offensive_and_defensive_team_possessions_on_court,true
1630532,Franz Wagner,1610612753,8188,4094,4104,4084,2,8188,0,8188,average_offensive_and_defensive_team_possessions_on_court,true
1641705,Victor Wembanyama,1610612759,6024,3012,3027,2997,2,6024,0,6024,average_offensive_and_defensive_team_possessions_on_court,true
1626181,Norman Powell,1610612746,8057,4028.5,4029,4028,2,8057,0,8057,average_offensive_and_defensive_team_possessions_on_court,true
1630202,Payton Pritchard,1610612738,9025,4512.5,4524,4501,2,9025,0,9025,average_offensive_and_defensive_team_possessions_on_court,true
1629675,Naz Reid,1610612750,9046,4523,4532,4514,2,9046,0,9046,average_offensive_and_defensive_team_possessions_on_court,true
202710,Jimmy Butler,1610612748,6970,3485,3493,3477,2,6970,0,6970,average_offensive_and_defensive_team_possessions_on_court,true
1628991,Jaren Jackson Jr.,1610612763,9713,4856.5,4876,4837,2,9713,0,9713,average_offensive_and_defensive_team_possessions_on_court,true
203897,Zach LaVine,1610612741,10890,5445,5441,5449,2,10890,0,10890,average_offensive_and_defensive_team_possessions_on_court,true
1627826,Ivica Zubac,1610612746,10739,5369.5,5373,5366,2,10739,0,10739,average_offensive_and_defensive_team_possessions_on_court,true
201942,DeMar DeRozan,1610612758,11459,5729.5,5747,5712,2,11459,0,11459,average_offensive_and_defensive_team_possessions_on_court,true
1631165,Keon Ellis,1610612758,8023,4011.5,3983,4040,2,8023,0,8023,average_offensive_and_defensive_team_possessions_on_court,true
1631128,Christian Braun,1610612743,11046,5523,5526,5520,2,11046,0,11046,average_offensive_and_defensive_team_possessions_on_court,true
1631106,Tari Eason,1610612745,5836,2918,2902,2934,2,5836,0,5836,average_offensive_and_defensive_team_possessions_on_court,true
1628386,Jarrett Allen,1610612739,9655,4827.5,4820,4835,2,9655,0,9655,average_offensive_and_defensive_team_possessions_on_court,true
1627736,Malik Beasley,1610612765,9795,4897.5,4910,4885,2,9795,0,9795,average_offensive_and_defensive_team_possessions_on_court,true
1629631,De'Andre Hunter,1610612737,7330,3665,3664,3666,2,7330,0,7330,average_offensive_and_defensive_team_possessions_on_court,true
1630700,Dyson Daniels,1610612737,10870,5435,5421,5449,2,10870,0,10870,average_offensive_and_defensive_team_possessions_on_court,true
1627783,Pascal Siakam,1610612754,10334,5167,5164,5170,2,10334,0,10334,average_offensive_and_defensive_team_possessions_on_court,true
1630596,Evan Mobley,1610612739,9051,4525.5,4517,4534,2,9051,0,9051,average_offensive_and_defensive_team_possessions_on_court,true
203497,Rudy Gobert,1610612750,9585,4792.5,4787,4798,2,9585,0,9585,average_offensive_and_defensive_team_possessions_on_court,true
1626157,Karl-Anthony Towns,1610612752,10077,5038.5,5066,5011,2,10077,0,10077,average_offensive_and_defensive_team_possessions_on_court,true
1630552,Jalen Johnson,1610612737,5396,2698,2703,2693,2,5396,0,5396,average_offensive_and_defensive_team_possessions_on_court,true
1628369,Jayson Tatum,1610612738,10587,5293.5,5312,5275,2,10587,0,10587,average_offensive_and_defensive_team_possessions_on_court,true
1628378,Donovan Mitchell,1610612739,9308,4654,4650,4658,2,9308,0,9308,average_offensive_and_defensive_team_possessions_on_court,true
202696,Nikola Vučević,1610612741,9771,4885.5,4886,4885,2,9771,0,9771,average_offensive_and_defensive_team_possessions_on_court,true
1629636,Darius Garland,1610612739,9684,4842,4846,4838,2,9684,0,9684,average_offensive_and_defensive_team_possessions_on_court,true
1627734,Domantas Sabonis,1610612758,10119,5059.5,5069,5050,2,10119,0,10119,average_offensive_and_defensive_team_possessions_on_court,true
1630529,Herbert Jones,1610612740,2686,1343,1339,1347,2,2686,0,2686,average_offensive_and_defensive_team_possessions_on_court,true
1630551,Justin Champagnie,1610612764,5479,2739.5,2721,2758,2,5479,0,5479,average_offensive_and_defensive_team_possessions_on_court,true
1630183,Jaden McDaniels,1610612750,10534,5267,5261,5273,2,10534,0,10534,average_offensive_and_defensive_team_possessions_on_court,true
1629660,Ty Jerome,1610612739,5795,2897.5,2905,2890,2,5795,0,5795,average_offensive_and_defensive_team_possessions_on_court,true
1630168,Onyeka Okongwu,1610612737,8921,4460.5,4462,4459,2,8921,0,8921,average_offensive_and_defensive_team_possessions_on_court,true
1628384,OG Anunoby,1610612752,10928,5464,5465,5463,2,10928,0,10928,average_offensive_and_defensive_team_possessions_on_court,true
1629008,Michael Porter Jr.,1610612743,10812,5406,5410,5402,2,10812,0,10812,average_offensive_and_defensive_team_possessions_on_court,true
1628970,Miles Bridges,1610612766,8345,4172.5,4171,4174,2,8345,0,8345,average_offensive_and_defensive_team_possessions_on_court,true
203507,Giannis Antetokounmpo,1610612749,9335,4667.5,4669,4666,2,9335,0,9335,average_offensive_and_defensive_team_possessions_on_court,true
1629661,Cameron Johnson,1610612751,7215,3607.5,3610,3605,2,7215,0,7215,average_offensive_and_defensive_team_possessions_on_court,true
1630583,Santi Aldama,1610612763,7119,3559.5,3567,3552,2,7119,0,7119,average_offensive_and_defensive_team_possessions_on_court,true
1630530,Trey Murphy III,1610612740,7827,3913.5,3914,3913,2,7827,0,7827,average_offensive_and_defensive_team_possessions_on_court,true
1630541,Moses Moody,1610612744,6827,3413.5,3396,3431,2,6827,0,6827,average_offensive_and_defensive_team_possessions_on_court,true
1629048,Goga Bitadze,1610612753,5644,2822,2822,2822,2,5644,0,5644,average_offensive_and_defensive_team_possessions_on_court,true
203084,Harrison Barnes,1610612759,9064,4532,4553,4511,2,9064,0,9064,average_offensive_and_defensive_team_possessions_on_court,true
1628436,Luke Kornet,1610612738,5296,2648,2658,2638,2,5296,0,5296,average_offensive_and_defensive_team_possessions_on_court,true
1631105,Jalen Duren,1610612765,8369,4184.5,4180,4189,2,8369,0,8369,average_offensive_and_defensive_team_possessions_on_court,true
203076,Anthony Davis,1610612747,6970,3485,3477,3493,2,6970,0,6970,average_offensive_and_defensive_team_possessions_on_court,true
1630162,Anthony Edwards,1610612750,11610,5805,5799,5811,2,11610,0,11610,average_offensive_and_defensive_team_possessions_on_court,true
1642377,Jaylen Wells,1610612763,8654,4327,4319,4335,2,8654,0,8654,average_offensive_and_defensive_team_possessions_on_court,true
1631109,Mark Williams,1610612766,4827,2413.5,2423,2404,2,4827,0,4827,average_offensive_and_defensive_team_possessions_on_court,true
1627884,Derrick Jones Jr.,1610612746,7733,3866.5,3872,3861,2,7733,0,7733,average_offensive_and_defensive_team_possessions_on_court,true
201142,Kevin Durant,1610612756,9248,4624,4626,4622,2,9248,0,9248,average_offensive_and_defensive_team_possessions_on_court,true
1641709,Ausar Thompson,1610612765,5515,2757.5,2741,2774,2,5515,0,5515,average_offensive_and_defensive_team_possessions_on_court,true
1628401,Derrick White,1610612738,10451,5225.5,5250,5201,2,10451,0,10451,average_offensive_and_defensive_team_possessions_on_court,true
203552,Seth Curry,1610612766,4319,2159.5,2157,2162,2,4319,0,4319,average_offensive_and_defensive_team_possessions_on_court,true
1628449,Chris Boucher,1610612761,3459,1729.5,1736,1723,2,3459,0,3459,average_offensive_and_defensive_team_possessions_on_court,true
1630178,Tyrese Maxey,1610612755,7776,3888,3903,3873,2,7776,0,7776,average_offensive_and_defensive_team_possessions_on_court,true
