rowId,foldId,N,csvRawPB,reconRawPB,absResidual
F1_1627741,0,854,5.7892,5.789183330215507,0.00001666978449321732
F1_1628369,0,1311,3.5857,3.5857334266835115,0.00003342668351136169
F1_1626181,0,1082,4.0424,4.042387537457003,0.000012462542996694026
F1_201942,0,1263,2.7409,2.7409039330537524,0.0000039330537524584486
F1_1628401,0,1255,2.7333,2.733349932967865,0.00004993296786537371
F1_1628991,0,866,3.6702,3.6702097806553375,0.000009780655337632282
F1_1631106,0,704,4.393,4.393040163926883,0.00004016392688299675
F1_1629652,0,988,2.9819,2.9818672419781924,0.000032758021807577364
F1_203076,0,1074,2.7332,2.733249752998969,0.00004975299896914365
F1_1629675,0,817,3.2413,3.2412950358039154,0.000004964196084422667
F1_202696,0,1207,2.1509,2.1509330969839406,0.000033096983940605895
F1_1630202,0,1058,2.4401,2.4401395203158445,0.00003952031584431026
F1_1627747,0,676,3.7609,3.760895017976404,0.0000049820235958897285
F1_1628983,0,1180,1.977,1.9770323875843394,0.00003238758433932176
F1_203999,0,1322,1.7157,1.715660524636097,0.00003947536390302986
F1_201939,0,603,3.6961,3.696105436890733,0.0000054368907331792116
F1_1628378,0,1104,1.992,1.9919611043192402,0.00003889568075976513
F1_203081,0,1180,1.7832,1.783241672485337,0.000041672485337151954
F1_1629660,0,581,3.5829,3.5828518270854017,0.000048172914598243466
F1_1626157,0,890,2.2898,2.28975920713043,0.00004079286957026085
F1_1631260,0,379,5.2549,5.254879482817991,0.00002051718200934971
F1_202681,0,1176,1.6843,1.6843169331327514,0.000016933132751528746
F1_1628386,0,1178,1.6642,1.6641610637849265,0.000038936215073448466
F1_1631128,0,1247,1.5341,1.5340669595676801,0.00003304043231988629
F1_1627783,0,1086,1.7583,1.7582836384801552,0.0000163615198447431
F1_1630598,0,663,2.8449,2.8448790580027965,0.000020941997203482998
F1_1629599,0,732,2.5752,2.575247867687465,0.00004786768746489756
F1_1630643,0,615,3.0439,3.043901985363604,0.0000019853636041844425
F1_1630162,0,1181,1.5414,1.5414179558132157,0.000017955813215619898
F1_1627734,0,1258,1.4223,1.4222692268282953,0.00003077317170463445
F1_1631218,0,616,2.7666,2.76656495725348,0.000035042746520108636
F1_1629636,0,1119,1.5017,1.5017049861027871,0.000004986102787096769
F1_1630541,0,567,2.9383,2.9382959976041922,0.000004002395807667369
F1_203078,0,870,1.9013,1.9013493311293994,0.000049331129399421414
F1_1629673,0,691,2.3645,2.3645135975324227,0.000013597532422693348
F1_1641717,0,802,2.0207,2.020734256699448,0.00003425669944778775
F1_1630224,0,1098,1.463,1.4630268595700338,0.000026859570033677116
F1_201142,0,1275,1.2421,1.242116747603767,0.00001674760376690898
F1_1626164,0,1225,1.2922,1.292189877261219,0.000010122738780982132
F1_1631114,0,1129,1.3839,1.3839086712384863,0.000008671238486357424
F1_1626220,0,829,1.8782,1.8781645696269669,0.00003543037303321839
F1_203501,0,1046,1.4606,1.4606215785317629,0.000021578531762989073
F1_1629655,0,649,2.3315,2.3314729559679486,0.000027044032051559697
F1_1631172,0,437,3.4248,3.4248331696716523,0.000033169671652455435
