focalId,totalDelta,staticMainEffect,stateInteractionEffect,teammateCompositionInteractionEffect,opponentCompositionInteractionEffect,reconstructErr
1630595,0.06175740849014705,-0.039184849705020876,0.0969626954123788,0.003979562782789123,0,0
1631105,0.0870663831989039,0.043832092825417085,0.045489718963598144,-0.0022554285901113255,0,0
202699,0.13483913058071145,0.043433518018748035,0.0893493100948879,0.00205630246707551,0,0
203501,-0.01836548401426242,-0.08511090853089884,0.06827602900308638,-0.0015306044864499616,0,0
1626167,0.021676901038493443,0.0003388381877053072,0.020006229550999278,0.0013318332997888575,0,0
1627783,0.03727094121891519,-0.020885503303258633,0.056363649820525635,0.0017927947016481943,0,0
1630169,0.006768709416330508,-0.012945038959645178,0.017479006874125888,0.002234741501849798,0,0
1630595,0.017695601615492988,-0.039184849705020876,0.052623789640382064,0.004256661680131798,0,0
1631105,0.07782886987586658,0.043832092825417085,0.03548185129769153,-0.0014850742472420325,0,0
202699,0.09759865160600735,0.043433518018748035,0.05136760205722606,0.002797531530033249,0,0
203501,-0.06059149682239745,-0.08511090853089884,0.026641072413579242,-0.0021216607050778525,0,0
1630595,0.03706382679639778,-0.039184849705020876,0.07280766452454124,0.003441011976877417,0,0
1631105,0.07382092691706336,0.043832092825417085,0.03223220770543559,-0.002243373613789302,0,0
202699,0.10318618116969985,0.043433518018748035,0.05809443934361316,0.001658223807338648,0,0
203501,-0.05546554073125856,-0.08511090853089884,0.03127415851082628,-0.0016287907111860013,0,0
1630595,0.046610724190909794,-0.039184849705020876,0.08307489383892697,0.002720680057003705,0,0
1631105,0.0681441249549986,0.043832092825417085,0.02712169947469808,-0.0028096673451165717,0,0
202699,0.10099425368933641,0.043433518018748035,0.056837262166038786,0.000723473504549589,0,0
203501,-0.05910201575638629,-0.08511090853089884,0.027287829489975525,-0.0012789367154629752,0,0
1626167,0.015672185730491554,0.0003388381877053072,0.014047916443041125,0.0012854310997451222,0,0
1630169,-0.01550339426058974,-0.012945038959645178,-0.003921321362823506,0.0013629660618789444,0,0
1630595,0.037866804426527574,-0.039184849705020876,0.0748311877193043,0.0022204664122441476,0,0
202699,0.08497623781854423,0.043433518018748035,0.041323089130866714,0.0002196306689294773,0,0
1626167,0.02103658147980218,0.0003388381877053072,0.01929502954052758,0.0014027137515692915,0,0
1627783,0.03383291090378765,-0.020885503303258633,0.05279578370979687,0.001922630497249408,0,0
1630595,0.09355239030609626,-0.039184849705020876,0.13084988000179254,0.0018873600093245826,0,0
1626167,0.01644018302406443,0.0003388381877053072,0.014881708699107817,0.0012196361372513074,0,0
1627783,0.01972012495414554,-0.020885503303258633,0.038897202578318725,0.0017084256790854476,0,0
1630169,-0.009001677274412132,-0.012945038959645178,0.002415839662346875,0.0015275220228861725,0,0
1630595,0.06273453717847524,-0.039184849705020876,0.10008511502979359,0.0018342718537025303,0,0
1631105,0.06239590306865428,0.043832092825417085,0.022130193089398866,-0.003566382846161677,0,0
202699,0.10242300157858944,0.043433518018748035,0.05945762008364527,-0.0004681365238038693,0,0
203501,-0.058850519671860044,-0.08511090853089884,0.027059355960502247,-0.0007989671014634503,0,0
1630595,0.05354203596401384,-0.039184849705020876,0.09109309623213144,0.0016337894369032816,0,0
1631105,0.05746511277395451,0.043832092825417085,0.01719491517577631,-0.0035618952272388803,0,0
202699,0.09063978683434423,0.043433518018748035,0.047822595205433506,-0.0006163263898372998,0,0
203501,-0.07266148969059583,-0.08511090853089884,0.013284937018128048,-0.0008355181778250418,0,0
1626167,0.018804648927991666,0.0003388381877053072,0.016380917897024665,0.0020848928432616945,0,0
1627783,0.015204042657764521,-0.020885503303258633,0.032993518068874135,0.0030960278921490186,0,0
1630169,-0.04336786604634103,-0.012945038959645178,-0.031667132759713335,0.0012443056730174764,0,0
1630595,0.1391462807164939,-0.039184849705020876,0.17668745557339965,0.0016436748481151262,0,0
1631105,0.08178722686441732,0.043832092825417085,0.04268208597168802,-0.004726951932687776,0,0
202699,0.17151095619962667,0.043433518018748035,0.12949106791028747,-0.0014136297294088337,0,0
203501,0.01999199039470768,-0.08511090853089884,0.10497425132419282,0.000128647601413702,0,0
1626167,0.035112894567899046,0.0003388381877053072,0.03184682562924759,0.0029272307509461476,0,0
1627783,0.0623329095948066,-0.020885503303258633,0.07904302297720633,0.004175389920858901,0,0
1630169,-0.019360177792695894,-0.012945038959645178,-0.009497265534613452,0.003082126701562735,0,0
1630595,0.13220278081608228,-0.039184849705020876,0.17051441783735502,0.0008732126837481188,0,0
1631105,0.07086432588136762,0.043832092825417085,0.03213021736121337,-0.005097984305262822,0,0
202699,0.1529909648999706,0.043433518018748035,0.11180877978848036,-0.00225133290725778,0,0
203501,-0.00242663909361263,-0.08511090853089884,0.08237530128587475,0.0003089681514114554,0,0
1626167,0.029876176553470007,0.0003388381877053072,0.026722304777356126,0.002815033588408574,0,0
1627783,0.044782093330036965,-0.020885503303258633,0.06157657573499942,0.0040910208982961795,0,0
1630169,-0.035130564483438556,-0.012945038959645178,-0.024560432746392462,0.0023749072225990897,0,0
1630595,0.08012209737355726,-0.039184849705020876,0.11802200743630291,0.0012849396422752292,0,0
202699,0.1102814631447881,0.043433518018748035,0.06812443471395739,-0.0012764895879173344,0,0
202699,0.08604985346697792,0.043433518018748035,0.04449996492544359,-0.001883629477213701,0,0
1627783,0.004123263090555361,-0.020885503303258633,0.02019103298488922,0.0048177334089247745,0,0
1630595,-0.029043949508385864,-0.039184849705020876,0.006698142060743116,0.0034427581358918964,0,0
202699,0.2445324900329353,0.043433518018748035,0.1988967608686946,0.002202211145492695,0,0
1626167,0.03878064124736184,0.0003388381877053072,0.03589145925885246,0.002550343800804068,0,0
1627783,-0.019590140975976895,-0.020885503303258633,-0.0026163920777106976,0.003911754404992436,0,0
1630169,-0.03362219303991758,-0.012945038959645178,-0.022268886516444715,0.0015917324361723196,0,0
1630595,-0.04670797144989992,-0.039184849705020876,-0.010580639158293971,0.0030575174134149273,0,0
203501,-0.1494811082060249,-0.08511090853089884,-0.06209669984542048,-0.002273499829705565,0,0
1626167,0.038696311069299945,0.0003388381877053072,0.03542494878150855,0.0029325241000860893,0,0
1627783,-0.025737038696957676,-0.020885503303258633,-0.009398065577551417,0.004546530183852375,0,0
1630169,-0.053432293239290184,-0.012945038959645178,-0.041783572195222184,0.0012963179155771809,0,0
