season,gameId,class,pbpValid,boxValid
1996-97,0029600082,BOX_MISSING,YES,NO
1996-97,0029600087,BOTH_MISSING,NO,NO
1996-97,0029600088,BOTH_MISSING,NO,NO
1996-97,0029600080,BOTH_MISSING,NO,NO
1996-97,0029600095,BOTH_MISSING,NO,NO
1996-97,0029600094,BOTH_MISSING,NO,NO
1996-97,0029600090,BOTH_MISSING,NO,NO
1996-97,0029600091,BOTH_MISSING,NO,NO
1996-97,0029600092,BOTH_MISSING,NO,NO
1996-97,0029600089,BOTH_MISSING,NO,NO
1996-97,0029600093,BOTH_MISSING,NO,NO
1996-97,0029600096,BOTH_MISSING,NO,NO
1996-97,0029600102,BOTH_MISSING,NO,NO
1996-97,0029600099,BOTH_MISSING,NO,NO
1996-97,0029600097,BOTH_MISSING,NO,NO
1996-97,0029600098,BOTH_MISSING,NO,NO
1996-97,0029600100,BOTH_MISSING,NO,NO
1996-97,0029600103,BOTH_MISSING,NO,NO
1996-97,0029600101,BOTH_MISSING,NO,NO
1996-97,0029600112,BOTH_MISSING,NO,NO
1996-97,0029600108,BOTH_MISSING,NO,NO
1996-97,0029600113,BOTH_MISSING,NO,NO
1996-97,0029600105,BOTH_MISSING,NO,NO
1996-97,0029600110,BOTH_MISSING,NO,NO
1996-97,0029600106,BOTH_MISSING,NO,NO
1996-97,0029600104,BOTH_MISSING,NO,NO
1996-97,0029600107,BOTH_MISSING,NO,NO
1996-97,0029600111,BOTH_MISSING,NO,NO
1996-97,0029600109,BOTH_MISSING,NO,NO
1996-97,0029600118,BOTH_MISSING,NO,NO
1996-97,0029600114,BOTH_MISSING,NO,NO
1996-97,0029600115,BOTH_MISSING,NO,NO
1996-97,0029600117,BOTH_MISSING,NO,NO
1996-97,0029600120,BOTH_MISSING,NO,NO
1996-97,0029600116,BOTH_MISSING,NO,NO
1996-97,0029600119,BOTH_MISSING,NO,NO
1996-97,0029600121,BOTH_MISSING,NO,NO
1996-97,0029600122,BOTH_MISSING,NO,NO
1996-97,0029600123,BOTH_MISSING,NO,NO
1996-97,0029600126,BOTH_MISSING,NO,NO
1996-97,0029600127,BOTH_MISSING,NO,NO
1996-97,0029600124,BOTH_MISSING,NO,NO
1996-97,0029600125,BOTH_MISSING,NO,NO
1996-97,0029600128,BOTH_MISSING,NO,NO
1996-97,0029600129,BOTH_MISSING,NO,NO
1996-97,0029600136,BOTH_MISSING,NO,NO
1996-97,0029600135,BOTH_MISSING,NO,NO
1996-97,0029600133,BOTH_MISSING,NO,NO
1996-97,0029600134,BOTH_MISSING,NO,NO
1996-97,0029600130,BOTH_MISSING,NO,NO
1996-97,0029600137,BOTH_MISSING,NO,NO
1996-97,0029600132,BOTH_MISSING,NO,NO
1996-97,0029600131,BOTH_MISSING,NO,NO
1996-97,0029600144,BOTH_MISSING,NO,NO
