candidate,quartile,n,mean_N,mean_sigma,mean_abs_error,cov50,cov80,cov95,width80,width95,WIS
U0,Q1,406,395.0295566502463,2.4652784160203414,2.9172129891773007,0.34236453201970446,0.6133004926108374,0.8226600985221675,5.242983145070153,9.723410337716267,7.4399120531652185
U0,Q2,406,1286.5714285714287,2.44993079365834,1.815182817821142,0.49507389162561577,0.7758620689655172,0.9458128078817734,5.239230440895356,9.637805907054686,4.185579514404473
U0,Q3,406,2298.256157635468,2.480838640443958,1.3836033188418142,0.5665024630541872,0.874384236453202,0.9852216748768473,5.2455263385182125,9.805123983146164,3.1048286625897927
U0,Q4,406,3988.036945812808,2.628555273196125,1.3189587733384913,0.5812807881773399,0.8990147783251231,0.9876847290640394,5.309514809021749,10.535718594302862,3.0147216683190363
U1,Q1,406,395.0295566502463,3.818211866969978,2.9172129891773007,0.5024630541871922,0.770935960591133,0.9187192118226601,8.903393202340768,14.823102117286782,6.976454979970851
U1,Q2,406,1286.5714285714287,1.751039607634967,1.815182817821142,0.37438423645320196,0.6674876847290641,0.854679802955665,4.09206720426726,6.776077346163243,4.292916885015502
U1,Q3,406,2298.256157635468,1.3343274347427843,1.3836033188418142,0.3448275862068966,0.6354679802955665,0.8719211822660099,3.1058639812326057,5.190170916317879,3.1581708214528823
U1,Q4,406,3988.036945812808,1.1660133061077431,1.3189587733384913,0.3054187192118227,0.583743842364532,0.8596059113300493,2.639073164048289,4.67327491928786,3.070006588884219
U2,Q1,406,395.0295566502463,3.006606707047779,2.9172129891773007,0.4433497536945813,0.6921182266009852,0.8719211822660099,6.944924465444964,11.588208458129808,7.072773837243211
U2,Q2,406,1286.5714285714287,1.9245092363754488,1.815182817821142,0.43842364532019706,0.7216748768472906,0.9039408866995073,4.475456929813351,7.410317506440679,4.231282728902725
U2,Q3,406,2298.256157635468,1.7643408509336282,1.3836033188418142,0.4630541871921182,0.7832512315270936,0.9507389162561576,4.075575349340736,6.789709409206086,3.044322201747868
U2,Q4,406,3988.036945812808,1.6794544272784544,1.3189587733384913,0.4605911330049261,0.7733990147783252,0.9532019704433498,3.7719977672914444,6.486927913684462,2.907856606474293
