foldId,playerId,rawPB,publishedDrblP,N,target,historyGameCount,futureGameCount,asOfDate
0,1627741,5.7892,4.69,854,0.7344838855936098,122,127,2024-11-07
0,1628369,3.5857,3.11,1311,0.8893159703637129,122,127,2024-11-07
0,1626181,4.0424,3.41,1082,0.46494157892722515,122,127,2024-11-07
0,201942,2.7409,2.37,1263,-0.09901171247559633,122,127,2024-11-07
0,1628401,2.7333,2.36,1255,0.6860777584554882,122,127,2024-11-07
0,1628991,3.6702,2.98,866,3.2350341607056907,122,127,2024-11-07
0,1631106,4.393,3.42,704,3.4830784560528962,122,127,2024-11-07
0,1629652,2.9819,2.48,988,-0.39551680133064515,122,127,2024-11-07
0,203076,2.7332,2.3,1074,2.0328635302640117,122,127,2024-11-07
0,1629675,3.2413,2.6,817,0.020996583028065265,122,127,2024-11-07
0,202696,2.1509,1.85,1207,0.5760546588729417,122,127,2024-11-07
0,1630202,2.4401,2.05,1058,1.356400352975897,122,127,2024-11-07
0,1627747,3.7609,2.9,676,0.15749749604988467,122,127,2024-11-07
0,1628983,1.977,1.69,1180,3.0027908502257943,122,127,2024-11-07
0,203999,1.7157,1.49,1322,4.894362966854347,122,127,2024-11-07
0,201939,3.6961,2.78,603,2.3776738953543397,122,127,2024-11-07
0,1628378,1.992,1.69,1104,2.3001285345200686,122,127,2024-11-07
0,203081,1.7832,1.52,1180,-1.3469852816954382,122,127,2024-11-07
0,1629660,3.5829,2.67,581,5.491045387115312,122,127,2024-11-07
0,1626157,2.2898,1.87,890,2.282713159710559,122,127,2024-11-07
0,1631260,5.2549,3.44,379,0.772439659934705,122,127,2024-11-07
0,202681,1.6843,1.44,1176,3.7364053730237328,122,127,2024-11-07
0,1628386,1.6642,1.42,1178,1.6099842096131487,122,127,2024-11-07
0,1631128,1.5341,1.32,1247,2.2772966192293453,122,127,2024-11-07
0,1627783,1.7583,1.48,1086,2.1052950151825622,122,127,2024-11-07
0,1630598,2.8449,2.19,663,-1.9545413906438767,122,127,2024-11-07
0,1629599,2.5752,2.02,732,0.7798627434772415,122,127,2024-11-07
0,1630643,3.0439,2.3,615,2.5500066739684275,122,127,2024-11-07
0,1630162,1.5414,1.32,1181,1.785380202536791,122,127,2024-11-07
0,1627734,1.4223,1.23,1258,-0.013884191174575624,122,127,2024-11-07
0,1631218,2.7666,2.09,616,-0.41809715548232945,122,127,2024-11-07
0,1629636,1.5017,1.27,1119,0.632127560480067,122,127,2024-11-07
0,1630541,2.9383,2.17,567,-2.031111245122503,122,127,2024-11-07
0,203078,1.9013,1.55,870,0.13394755580850382,122,127,2024-11-07
0,1629673,2.3645,1.83,691,-0.18927102531439122,122,127,2024-11-07
0,1641717,2.0207,1.62,802,-0.19622479404744736,122,127,2024-11-07
0,1630224,1.463,1.24,1098,-1.032714478514999,122,127,2024-11-07
0,201142,1.2421,1.07,1275,5.875215657047719,122,127,2024-11-07
0,1626164,1.2922,1.11,1225,-0.12680779508613926,122,127,2024-11-07
0,1631114,1.3839,1.18,1129,1.8281418397741533,122,127,2024-11-07
0,1626220,1.8782,1.51,829,-1.700817095714504,122,127,2024-11-07
0,203501,1.4606,1.23,1046,-2.939620913292639,122,127,2024-11-07
0,1629655,2.3315,1.78,649,2.07847232840502,122,127,2024-11-07
0,1631172,3.4248,2.35,437,-3.3168778213602987,122,127,2024-11-07
0,203471,1.3126,1.11,1118,-0.7356231951854842,122,127,2024-11-07
0,200768,2.2461,1.72,651,-4.098827675792633,122,127,2024-11-07
0,1629639,1.8245,1.46,797,1.7006831297265947,122,127,2024-11-07
0,1627739,2.1669,1.67,668,0.6686097966576828,122,127,2024-11-07
0,1628449,2.2768,1.72,611,1.8460199336063956,122,127,2024-11-07
0,1630596,1.2664,1.07,1092,1.9101506737176228,122,127,2024-11-07
0,203507,1.3607,1.14,1007,1.590216027584092,122,127,2024-11-07
0,1630241,1.7889,1.42,763,-1.1669183537347023,122,127,2024-11-07
0,201143,1.516,1.23,856,1.2935073671802064,122,127,2024-11-07
0,1630198,1.6525,1.29,724,0.7444480047693214,122,127,2024-11-07
0,1641726,2.1273,1.57,562,1.7438714464484897,122,127,2024-11-07
0,1630188,2.1806,1.6,547,-1.5563008213994818,122,127,2024-11-07
0,1630533,1.8732,1.42,632,-2.688192058764841,122,127,2024-11-07
0,1630625,4.6517,2.58,249,-0.9735309995709599,122,127,2024-11-07
0,202691,1.19,0.99,972,-1.6620958938686003,122,127,2024-11-07
0,1628415,1.1031,0.92,1038,3.2613664553016566,122,127,2024-11-07
0,203924,0.9333,0.8,1215,-0.7846903543415523,122,127,2024-11-07
0,1630591,1.0289,0.87,1098,-2.0221468981800648,122,127,2024-11-07
0,1630700,1.2322,1.01,889,0.5198637307658487,122,127,2024-11-07
0,1630532,1.01,0.85,1076,4.744988825117992,122,127,2024-11-07
0,203937,1.8204,1.34,556,-1.6008439799013168,122,127,2024-11-07
0,203944,0.9606,0.81,1041,0.08123672209743889,122,127,2024-11-07
