fold,candidate,WIS,cov50,cov80,cov95,width80,width95,Q1_PI80,Q1_PI95
F2,Q0,4.252079189440401,0.48586118251928023,0.8071979434447301,0.9151670951156813,5.193533618561102,8.677750445452707,0.6946564885496184,0.8244274809160306
F2,Q1,4.222208252346377,0.40359897172236503,0.6452442159383034,0.8483290488431876,4.626504178242671,7.013744534619369,0.7633587786259542,0.9083969465648855
F2,Q2,4.160809138081738,0.4781491002570694,0.7609254498714653,0.910025706940874,4.735588452655804,7.449452850066762,0.7099236641221374,0.8702290076335878
F3,Q0,4.518902077422684,0.5221674876847291,0.7758620689655172,0.9310344827586207,5.17940219304932,9.541623993592204,0.5925925925925926,0.8425925925925926
F3,Q1,4.476857674213939,0.3916256157635468,0.6896551724137931,0.8620689655172413,4.624627837757802,7.316294523290823,0.7592592592592593,0.9166666666666666
F3,Q2,4.451789905303074,0.45566502463054187,0.7487684729064039,0.896551724137931,4.808723899283216,7.51367659589061,0.6481481481481481,0.8333333333333334
F4,Q0,4.867058297713667,0.4830097087378641,0.7718446601941747,0.9344660194174758,5.275358892776737,10.38157308192239,0.5376344086021505,0.7956989247311828
F4,Q1,4.765037421516734,0.3567961165048544,0.662621359223301,0.8762135922330098,4.721801808875814,8.20713230226446,0.7419354838709677,0.9032258064516129
F4,Q2,4.733605268684957,0.4199029126213592,0.7427184466019418,0.9077669902912622,5.019299372545946,8.288071454173876,0.6129032258064516,0.8602150537634409
F5,Q0,4.1019806810511295,0.4940047961630695,0.8081534772182254,0.9592326139088729,5.382627553911076,11.012670281510106,0.5945945945945946,0.8243243243243243
F5,Q1,4.030614777512776,0.3764988009592326,0.6594724220623501,0.9160671462829736,4.762374180681059,8.857854106620339,0.8378378378378378,0.9594594594594594
F5,Q2,3.9494371265044146,0.434052757793765,0.7817745803357314,0.947242206235012,5.169910698123502,8.862226761628907,0.7162162162162162,0.918918918918919
