candidate,quartile,n,mean_N,MAE,RMSE,median_abs_error,P80_abs_error,P95_abs_error,PI50_coverage,PI80_coverage,PI95_coverage,PI50_width,PI80_width,PI95_width,WIS
Q0,Q1,406,395.0295566502463,2.9172129891773007,4.307517361001477,1.8479852035723165,4.546617252548211,8.962322339405738,0.34236453201970446,0.6133004926108374,0.8226600985221675,2.6478964324423155,5.242983145070153,9.723410337716267,7.4399120531652185
Q0,Q2,406,1286.5714285714287,1.815182817821142,2.5058541970505197,1.3447711322643134,2.846879272853285,4.736458080635904,0.49507389162561577,0.7758620689655172,0.9458128078817734,2.6465443934636084,5.239230440895356,9.637805907054686,4.185579514404473
Q0,Q3,406,2298.256157635468,1.3836033188418142,1.7865856073040511,1.144133311874857,2.1916528345573525,3.269533851773102,0.5665024630541872,0.874384236453202,0.9852216748768473,2.651715114817682,5.2455263385182125,9.805123983146164,3.1048286625897927
Q0,Q4,406,3988.036945812808,1.3189587733384913,1.7121183112140166,1.0836096846260823,1.9908726821471516,3.273157634071089,0.5812807881773399,0.8990147783251231,0.9876847290640394,2.6572160131495717,5.309514809021749,10.535718594302862,3.0147216683190363
Q1,Q1,406,395.0295566502463,2.9172129891773007,4.307517361001477,1.8479852035723165,4.546617252548211,8.962322339405738,0.5024630541871922,0.770935960591133,0.9187192118226601,4.372092937793379,8.903393202340768,14.823102117286782,6.976454979970851
Q1,Q2,406,1286.5714285714287,1.815182817821142,2.5058541970505197,1.3447711322643134,2.846879272853285,4.736458080635904,0.37438423645320196,0.6674876847290641,0.854679802955665,2.014987434844886,4.09206720426726,6.776077346163243,4.292916885015502
Q1,Q3,406,2298.256157635468,1.3836033188418142,1.7865856073040511,1.144133311874857,2.1916528345573525,3.269533851773102,0.3448275862068966,0.6354679802955665,0.8719211822660099,1.5205221842649854,3.1058639812326057,5.190170916317879,3.1581708214528823
Q1,Q4,406,3988.036945812808,1.3189587733384913,1.7121183112140166,1.0836096846260823,1.9908726821471516,3.273157634071089,0.3054187192118227,0.583743842364532,0.8596059113300493,1.2734246371369504,2.639073164048289,4.67327491928786,3.070006588884219
Q2,Q1,406,395.0295566502463,2.9172129891773007,4.307517361001477,1.8479852035723165,4.546617252548211,8.962322339405738,0.3768472906403941,0.6724137931034483,0.8669950738916257,2.9890090816715613,6.5541149015345,11.209352479943675,7.122514856730681
Q2,Q2,406,1286.5714285714287,1.815182817821142,2.5058541970505197,1.3447711322643134,2.846879272853285,4.736458080635904,0.4433497536945813,0.729064039408867,0.8940886699507389,2.3764073402885404,4.587288734206268,7.271591010914979,4.230549050786413
Q2,Q3,406,2298.256157635468,1.3836033188418142,1.7865856073040511,1.144133311874857,2.1916528345573525,3.269533851773102,0.4827586206896552,0.7980295566502463,0.9482758620689655,2.246338834373702,4.326343809872732,6.758075746690178,3.0394841608250434
Q2,Q4,406,3988.036945812808,1.3189587733384913,1.7121183112140166,1.0836096846260823,1.9908726821471516,3.273157634071089,0.4827586206896552,0.8349753694581281,0.9532019704433498,2.0966062826811007,4.281735100688279,6.925078928279875,2.9058315097795093
M16I_U2,Q1,406,395.0295566502463,2.9172129891773007,4.307517361001477,1.8479852035723165,4.546617252548211,8.962322339405738,0.4433497536945813,0.6921182266009852,0.8719211822660099,3.5854922953968535,6.944924465444964,11.588208458129808,7.072773837243211
M16I_U2,Q2,406,1286.5714285714287,1.815182817821142,2.5058541970505197,1.3447711322643134,2.846879272853285,4.736458080635904,0.43842364532019706,0.7216748768472906,0.9039408866995073,2.322572262460364,4.475456929813351,7.410317506440679,4.231282728902725
M16I_U2,Q3,406,2298.256157635468,1.3836033188418142,1.7865856073040511,1.144133311874857,2.1916528345573525,3.269533851773102,0.4630541871921182,0.7832512315270936,0.9507389162561576,2.105154509960352,4.075575349340736,6.789709409206086,3.044322201747868
M16I_U2,Q4,406,3988.036945812808,1.3189587733384913,1.7121183112140166,1.0836096846260823,1.9908726821471516,3.273157634071089,0.4605911330049261,0.7733990147783252,0.9532019704433498,1.9111623323355156,3.7719977672914444,6.486927913684462,2.907856606474293
