candidate,n,RMSE,MAE,Pearson,Spearman,R2,calibrationIntercept,calibrationSlope
M16C_P,419,2.409176880654843,1.7535410774334381,0.3689320376237677,0.39980456674339354,0.1195452349109668,0.2716266197833243,1.4271016240133199
M16C_P,,2.8621620293295016,,,,,,
M16C_P,,2.3552826771785975,,,,,,
M16C_P,,2.6376713917495063,,,,,,
M16C_P,,2.1685782923084918,,,,,,
M16C_P,,1.9104247446164953,,,,,,
M16C_LN,419,2.5495854963539877,1.8658355215662197,0.1629229644836527,0.1952006290405989,0.013927529118402115,0.46569044385161623,2.0004059550020465
M16C_LN,,2.06363054091724,,,,,,
M16C_LN,,3.387045497356718,,,,,,
M16C_LN,,2.6966523791493415,,,,,,
M16C_LN,,2.396958820958351,,,,,,
M16C_LN,,1.9306084238041528,,,,,,
M16C_B,419,2.5722982717101,1.8942050748847827,0.022078961950926772,0.0024461783662889053,-0.003719418585748757,0.08392032263197452,0.6560633855680782
M16C_B,,2.7676888893620952,,,,,,
M16C_B,,2.9137307557073395,,,,,,
M16C_B,,2.196392338801834,,,,,,
M16C_B,,2.6829984808626577,,,,,,
M16C_B,,2.2188880919800997,,,,,,
M16C_P_LN,419,2.409449082044345,1.7543925172234909,0.36855321860546036,0.3977417507752893,0.11934626691367933,0.27161819769986983,1.4253412983819356
M16C_P_LN,,2.874368001442584,,,,,,
M16C_P_LN,,2.36014504756054,,,,,,
M16C_P_LN,,2.7307966019280787,,,,,,
M16C_P_LN,,2.0142096005302346,,,,,,
M16C_P_LN,,1.9261107307584289,,,,,,
M16C_P_B,419,2.4094358701877994,1.7540476277928247,0.3676471336134619,0.39795366045837094,0.11935592475536194,0.2601479599536978,1.4186491649079636
M16C_P_B,,2.8698774825728743,,,,,,
M16C_P_B,,2.3501943323707257,,,,,,
M16C_P_B,,2.588943249462038,,,,,,
M16C_P_B,,2.235538214144005,,,,,,
M16C_P_B,,1.8963058620393312,,,,,,
M16C_LN_B,419,2.548122297312155,1.8642481997110258,0.1523483338638189,0.16534713872987958,0.01505901208426863,0.33153359563074153,1.7131607156218316
M16C_LN_B,,2.281698947717294,,,,,,
M16C_LN_B,,3.2474062414004097,,,,,,
M16C_LN_B,,2.8318578675008217,,,,,,
M16C_LN_B,,2.164145207234101,,,,,,
M16C_LN_B,,1.9986436876622913,,,,,,
M16C_P_LN_B,419,2.40972237041833,1.7549142416491232,0.36719745514075486,0.39601449925529814,0.11914648176153109,0.2594691451817986,1.4164697463774025
M16C_P_LN_B,,2.8634183167345926,,,,,,
M16C_P_LN_B,,2.374099551268743,,,,,,
M16C_P_LN_B,,2.586465765202985,,,,,,
M16C_P_LN_B,,2.223849145901436,,,,,,
M16C_P_LN_B,,1.8951166668626493,,,,,,
