key,n,mean,median,sd,min,max
1610612737,15,-0.00013423533333333337,-0.00000612,0.0005244075224589704,-0.00206372,0.00023106
1610612738,16,0.000038153124999999994,-0.00003926,0.0005001547447380505,-0.00059482,0.00165169
1610612739,16,0.0002157075,0.00002103,0.0005365879631348899,-0.00023026,0.00191444
1610612740,19,-0.000039353157894736844,0.00000926,0.000284576548984861,-0.0010793,0.00030704
1610612741,17,-0.0001443935294117647,0.00000344,0.0005990326868322175,-0.00251252,0.0002594
1610612742,17,-0.000020815882352941186,0.00002877,0.00039611711698107405,-0.00078852,0.00081896
1610612743,15,0.000046772,0.00002403,0.0004169155708006119,-0.00128005,0.00074642
1610612744,15,0.00002939133333333334,0.0000341,0.00012203968222763539,-0.00021778,0.00030179
1610612745,16,-0.00024719937500000005,-0.000029775,0.0008535180122108492,-0.00309398,0.00090963
1610612746,16,0.00007499375,-0.000022595000000000003,0.00036243569462173224,-0.00043643,0.00109628
1610612747,15,0.00011583933333333332,0.00002396,0.0006349443566745742,-0.00164389,0.00129471
1610612748,16,-0.00016036625,-0.000025005,0.0006029401555386219,-0.00245178,0.00020518
1610612749,17,0.000024430588235294118,0.00004132,0.00044042842009691627,-0.00130922,0.00113198
1610612750,15,0.00027730066666666666,0.00003586,0.000780443908464635,-0.0010734,0.00269763
1610612751,15,0.000002047333333333333,0.0000498,0.00019184260887392964,-0.00057195,0.00029524
1610612752,14,0.000017447142857142854,1.450000000000001e-7,0.0001998678324160591,-0.00049996,0.00044252
1610612753,16,0.000006746250000000003,4.85e-7,0.00020027689578665207,-0.00044606,0.00059922
1610612754,16,-0.00021226687500000002,-0.00004538,0.00045819380488389887,-0.00174708,0.00007601
1610612755,16,0.000141855,0.00000388,0.0006679644505510753,-0.0002025,0.00270254
1610612756,15,-0.000024072000000000003,-0.00000172,0.00015895963823981651,-0.00050675,0.00025432
1610612757,15,-0.00013143799999999994,-0.00000153,0.00033233055787273004,-0.00128689,0.00014942
1610612758,15,0.000013259333333333339,0.00002683,0.00019590887093975324,-0.00033457,0.00047181
1610612759,15,-0.0000037133333333333284,0.00000669,0.00011319264526559232,-0.0002852,0.00018562
1610612760,16,-0.000302203125,0.000009725,0.0007051761413090239,-0.00213311,0.00016698
1610612761,16,-0.000018743750000000012,-0.000016015,0.00036798502625573986,-0.00124579,0.00062963
1610612762,17,0.000012571764705882357,-0.00001105,0.00018856699974015458,-0.00027488,0.00063204
1610612763,17,-0.00004585588235294118,-0.00002578,0.0002723858741923222,-0.00102771,0.00039337
1610612764,16,-0.00005571749999999999,0.000007545,0.00023109455509325613,-0.00089376,0.00013296
1610612765,14,0.00007543571428571427,-0.000009235,0.00033193188437892935,-0.00014777,0.00124475
1610612766,18,-0.000015209444444444451,-0.000013245,0.00025118668330927416,-0.00070136,0.00055083
