player,playerId,oldWAR,newWAR,warUnitFixedOnly,oldWarInputRate,newWarInputRate,oldPossessionsUsed,actualOnCourtPossessions,replacementLevel,pointsPerWin,rateCalibrationSlope,rateFactor,diagnosedScaleError,absWarChange
Nikola Jokić,203999,3.151883333333333,6.152495666925538,2.442418819188192,2.81,7.078439081879945,3365,3365,0,38.714285714285715,2.5190174668611904,2.51901746686119,POINTS_PER_WIN_UNIT_MISMATCH,3.000612333592205
Nikola Vučević,202696,2.5115794,4.902618447903459,1.9462423394833948,1.9797,4.986898879145099,3806,3806,0,38.714285714285715,2.5190174668611904,2.519017466861191,POINTS_PER_WIN_UNIT_MISMATCH,2.3910390479034587
Franz Wagner,1630532,2.3663664,4.619161778098234,1.8337156605166052,2.1204,5.341324636732469,3348,3348,0,38.714285714285715,2.5190174668611904,2.519017466861191,POINTS_PER_WIN_UNIT_MISMATCH,2.252795378098234
Norman Powell,1626181,2.347314666666667,4.581972677365628,1.8189523247232473,2.4752,6.235072033974819,2845,2845,0,38.714285714285715,2.5190174668611904,2.5190174668611904,POINTS_PER_WIN_UNIT_MISMATCH,2.234658010698961
Isaiah Collier,1642268,-2.2644459,-4.420212334764073,-1.7547366752767528,-5.3533,-13.48505620534801,1269,1269,0,38.714285714285715,2.5190174668611904,2.51901746686119,POINTS_PER_WIN_UNIT_MISMATCH,2.1557664347640726
Trae Young,1629027,-2.191967333333333,-4.278733726515574,-1.698572472324723,-1.6078,-4.050076283219422,4090,4090,0,38.714285714285715,2.5190174668611904,2.519017466861191,POINTS_PER_WIN_UNIT_MISMATCH,2.086766393182241
Josh Giddey,1630581,-2.1776321666666667,-4.250751392947393,-1.6874640405904058,-2.2535,-5.676605861571693,2899,2899,0,38.714285714285715,2.5190174668611904,2.5190174668611904,POINTS_PER_WIN_UNIT_MISMATCH,2.0731192262807263
Jayson Tatum,1628369,2.106927333333333,4.112735123083125,1.6326743173431733,1.6766,4.2233846849394725,3770,3770,0,38.714285714285715,2.5190174668611904,2.5190174668611913,POINTS_PER_WIN_UNIT_MISMATCH,2.0058077897497917
De'Andre Hunter,1629631,2.0691213666666664,4.038937643449064,1.603378180811808,2.9743,7.492313651685238,2087,2087,0,38.714285714285715,2.5190174668611904,2.51901746686119,POINTS_PER_WIN_UNIT_MISMATCH,1.9698162767823972
Shai Gilgeous-Alexander,1628983,2.0642156,4.0293615567200884,1.5995766642066418,1.6374,4.124639200238513,3782,3782,0,38.714285714285715,2.5190174668611904,2.519017466861191,POINTS_PER_WIN_UNIT_MISMATCH,1.9651459567200886
Tyler Herro,1629639,2.0599076666666667,4.020952444337522,1.5962384132841327,1.7809,4.486118206733094,3470,3470,0,38.714285714285715,2.5190174668611904,2.5190174668611904,POINTS_PER_WIN_UNIT_MISMATCH,1.961044777670855
Domantas Sabonis,1627734,1.9644074666666669,3.8345354661211584,1.5222345682656828,1.4912,3.7563588465834075,3952,3952,0,38.714285714285715,2.5190174668611904,2.5190174668611904,POINTS_PER_WIN_UNIT_MISMATCH,1.8701279994544915
Pascal Siakam,1627783,1.9257998666666665,3.759173193286272,1.4923172398523985,1.5061,3.793892206839639,3836,3836,0,38.714285714285715,2.5190174668611904,2.51901746686119,POINTS_PER_WIN_UNIT_MISMATCH,1.8333733266196055
Kevin Porter Jr.,1629645,-1.9053936,-3.7193400351496684,-1.4765042656826568,-2.8242,-7.114209129909374,2024,2024,0,38.714285714285715,2.5190174668611904,2.5190174668611904,POINTS_PER_WIN_UNIT_MISMATCH,1.8139464351496684
Bam Adebayo,1628389,-1.8955924333333334,-3.7002080974888574,-1.4689092656826568,-1.7011,-4.285100612877571,3343,3343,0,38.714285714285715,2.5190174668611904,2.5190174668611904,POINTS_PER_WIN_UNIT_MISMATCH,1.804615664155524
Russell Westbrook,201566,-1.8523322666666666,-3.6157639858834756,-1.435386627306273,-2.0018,-5.042569165162731,2776,2776,0,38.714285714285715,2.5190174668611904,2.5190174668611904,POINTS_PER_WIN_UNIT_MISMATCH,1.763431719216809
Kyrie Irving,202681,1.8471958666666668,3.6057377014682537,1.4314063911439114,1.5797,3.9792918924006226,3508,3508,0,38.714285714285715,2.5190174668611904,2.51901746686119,POINTS_PER_WIN_UNIT_MISMATCH,1.7585418348015869
Dejounte Murray,1627749,-1.8386258666666666,-3.58900900871877,-1.4247654317343172,-3.4604,-8.716808042326463,1594,1594,0,38.714285714285715,2.5190174668611904,2.5190174668611904,POINTS_PER_WIN_UNIT_MISMATCH,1.7503831420521034
Dillon Brooks,1628415,1.834853333333333,3.5816450004316613,1.421842066420664,1.658,4.176530960055853,3320,3320,0,38.714285714285715,2.5190174668611904,2.5190174668611904,POINTS_PER_WIN_UNIT_MISMATCH,1.7467916670983283
Buddy Hield,1627741,1.7805484666666664,3.4756415664446907,1.379760804428044,2.3114,5.822456972902955,2311,2311,0,38.714285714285715,2.5190174668611904,2.519017466861191,POINTS_PER_WIN_UNIT_MISMATCH,1.6950930997780242
Davion Mitchell,1630558,-1.7647618333333335,-3.444825961009207,-1.3675276199261992,-1.7965,-4.525414879216129,2947,2947,0,38.714285714285715,2.5190174668611904,2.5190174668611904,POINTS_PER_WIN_UNIT_MISMATCH,1.6800641276758737
Payton Pritchard,1630202,1.75489,3.4255560815801,1.3598778597785979,1.695,4.269734606329718,3106,3106,0,38.714285714285715,2.5190174668611904,2.5190174668611895,POINTS_PER_WIN_UNIT_MISMATCH,1.6706660815800998
Keyonte George,1641718,-1.7481599999999997,-3.41241908015606,-1.354662730627306,-1.728,-4.352862182736137,3035,3035,0,38.714285714285715,2.5190174668611904,2.5190174668611904,POINTS_PER_WIN_UNIT_MISMATCH,1.6642590801560602
Karl-Anthony Towns,1626157,1.7240200666666667,3.36529778170491,1.3359565092250922,1.5154,3.817319069281448,3413,3413,0,38.714285714285715,2.5190174668611904,2.51901746686119,POINTS_PER_WIN_UNIT_MISMATCH,1.6412777150382434
Christian Braun,1631128,1.6984210666666668,3.315328376139679,1.3161196457564575,1.4426,3.6339345976939534,3532,3532,0,38.714285714285715,2.5190174668611904,2.5190174668611904,POINTS_PER_WIN_UNIT_MISMATCH,1.6169073094730122
Cameron Johnson,1629661,1.6965286,3.3116342695579633,1.3146531586715866,1.4943,3.764167800730677,3406,3406,0,38.714285714285715,2.5190174668611904,2.519017466861191,POINTS_PER_WIN_UNIT_MISMATCH,1.6151056695579633
Jimmy Butler,202710,1.6522646666666667,3.2252307992409306,1.2803526937269372,2.3785,5.991483044929341,2084,2084,0,38.714285714285715,2.5190174668611904,2.5190174668611904,POINTS_PER_WIN_UNIT_MISMATCH,1.5729661325742639
