teamId,playerName,nbaPlayerId,espnPlayerId,drbl100,actualPossessions,drblRank,sampleRoute,joinStatus
1610612737,"Nickeil Alexander-Walker",1629638,4278039,0.85,11222,53,/players/4278039?season=2025-26,approved_alias
1610612738,"Derrick White",1628401,3078576,-0.13,10487,339,/players/3078576?season=2025-26,approved_alias
1610612739,"Donovan Mitchell",1628378,3908809,1.38,9900,12,/players/3908809?season=2025-26,approved_alias
1610612740,"Trey Murphy III",1630530,4397688,1.04,9748,36,/players/4397688?season=2025-26,approved_alias
1610612741,"Matas Buzelis",1641824,4711294,-0.02,9543,300,/players/4711294?season=2025-26,approved_alias
1610612742,"Cooper Flagg",1642843,5041939,0.26,9629,183,/players/5041939?season=2025-26,approved_alias
1610612743,"Jamal Murray",1627750,3936299,0.70,10970,74,/players/3936299?season=2025-26,approved_alias
1610612744,"Brandin Podziemski",1641764,4709138,0.14,9658,228,/players/4709138?season=2025-26,approved_alias
1610612745,"Amen Thompson",1641708,4684740,0.39,12012,139,/players/4684740?season=2025-26,approved_alias
1610612746,"James Harden",201935,3992,0.02,9878,283,/players/3992?season=2025-26,approved_alias
1610612747,"Luka Dončić",1629029,3945274,1.09,9501,27,/players/3945274?season=2025-26,approved_alias
1610612748,"Bam Adebayo",1628389,4066261,0.03,10045,282,/players/4066261?season=2025-26,approved_alias
1610612749,"Ryan Rollins",1631157,4591725,0.19,9777,207,/players/4591725?season=2025-26,approved_alias
1610612750,"Julius Randle",203944,3064514,-0.03,11066,302,/players/3064514?season=2025-26,approved_alias
1610612751,"Nic Claxton",1629651,4278067,-0.13,7832,338,/players/4278067?season=2025-26,approved_alias
1610612752,"Mikal Bridges",1628969,3147657,0.60,10732,92,/players/3147657?season=2025-26,approved_alias
1610612753,"Desmond Bane",1630217,4066320,1.00,11232,38,/players/4066320?season=2025-26,approved_alias
1610612754,"Pascal Siakam",1627783,3149673,0.40,8690,138,/players/3149673?season=2025-26,approved_alias
1610612755,"Tyrese Maxey",1630178,4431678,1.33,10951,15,/players/4431678?season=2025-26,approved_alias
1610612756,"Royce O'Neale",1626220,2583632,0.04,9346,273,/players/2583632?season=2025-26,approved_alias
1610612757,"Toumani Camara",1641739,4431736,0.35,11640,148,/players/4431736?season=2025-26,approved_alias
1610612758,"DeMar DeRozan",201942,3978,0.20,9893,206,/players/3978?season=2025-26,approved_alias
1610612759,"Julian Champagnie",1630577,4592479,0.70,9440,73,/players/4592479?season=2025-26,approved_alias
1610612760,"Shai Gilgeous-Alexander",1628983,4278073,2.77,9235,1,/players/4278073?season=2025-26,approved_alias
1610612761,"Scottie Barnes",1630567,4433134,0.04,11123,270,/players/4433134?season=2025-26,approved_alias
1610612762,"Ace Bailey",1642846,4873138,-0.78,8566,516,/players/4873138?season=2025-26,approved_alias
1610612763,"Jaylen Wells",1642377,5112087,0.20,7600,204,/players/5112087?season=2025-26,approved_alias
1610612764,"CJ McCollum",203468,2490149,0.27,9636,177,/players/2490149?season=2025-26,approved_alias
1610612765,"Cade Cunningham",1630595,4432166,0.15,8786,223,/players/4432166?season=2025-26,approved_alias
1610612766,"Kon Knueppel",1642851,5061575,1.17,10376,23,/players/5061575?season=2025-26,approved_alias
