season,rawLineupCompleteness,lineupPossessions,lineupComplete5v5,openingStarterCoverage,periodResetCoverage,otCoverage
1996-97,0.6110130653172237,213619,130524,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
1997-98,0.5965191205214773,213854,127568,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
1998-99,0.6019784242707481,128385,77285,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
1999-00,0.6062093653162983,220409,133614,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2000-01,0.6010899132140411,216164,129934,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2001-02,0.605970399955208,214324,129874,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2002-03,0.586254933828651,215350,126250,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2003-04,0.5921630859375,212992,126126,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2004-05,0.6272451325526259,222704,139690,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2005-06,0.5978755210709108,221419,132381,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2006-07,0.5891417754592394,225046,132584,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2007-08,0.5899309892718881,225762,133184,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2008-09,0.5695580430807653,224230,127712,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2009-10,0.5743665919530321,226197,129920,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2010-11,0.6015601693745519,224591,135105,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2011-12,0.6225902690645476,179325,111646,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2012-13,0.5601408845806191,224581,125797,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2013-14,0.5623684084340658,229403,129009,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2014-15,0.5411560198813756,228958,123902,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2015-16,0.5068032312670081,233345,118260,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2016-17,0.49536010371532874,234488,116156,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2017-18,0.5227532247832523,236450,123605,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2018-19,0.46700886990801577,243520,113726,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2019-20,0.7301002976963498,200204,146169,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2020-21,0.9913124375161995,216056,214179,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2021-22,0.9885275208292331,243888,241090,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2022-23,0.9862234396019385,246796,243396,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
2023-24,0.9864326042373089,244778,241457,INFERRED_FROM_BOX_STARTERS,PARTIAL_HISTORICAL,PARTIAL_HISTORICAL
