season,playerId,player,fusedRateRaw,posteriorAbilityRate,posteriorDelta,shrinkageMagnitude,reliability,possessions,priorMean,priorStrength
2024-25,203999,Nikola Jokić,1.56,1.5315,-0.02849999999999997,0.02849999999999997,0.9817134497577032,10737,0,200
2024-25,1628983,Shai Gilgeous-Alexander,1.32,1.2962,-0.023800000000000043,0.023800000000000043,0.9819494584837545,10880,0,200
2024-25,1630532,Franz Wagner,1.35,1.3178,-0.032200000000000006,0.032200000000000006,0.9761564139246542,8188,0,200
2024-25,1641705,Victor Wembanyama,1.7584,1.7019,-0.056499999999999995,0.056499999999999995,0.967866323907455,6024,0,200
2024-25,1626181,Norman Powell,1.2,1.1709,-0.029099999999999904,0.029099999999999904,0.9757781276492673,8057,0,200
2024-25,1630202,Payton Pritchard,1.01,0.9881,-0.02190000000000003,0.02190000000000003,0.978319783197832,9025,0,200
2024-25,1629675,Naz Reid,0.99,0.9686,-0.021399999999999975,0.021399999999999975,0.9783690244430023,9046,0,200
2024-25,202710,Jimmy Butler,1.36,1.3221,-0.037900000000000045,0.037900000000000045,0.9721059972105998,6970,0,200
2024-25,1628991,Jaren Jackson Jr.,0.89,0.872,-0.018000000000000016,0.018000000000000016,0.9798244729143549,9713,0,200
2024-25,203897,Zach LaVine,0.67,0.6579,-0.0121,0.0121,0.981965734896303,10890,0,200
2024-25,1627826,Ivica Zubac,0.68,0.6676,-0.012400000000000078,0.012400000000000078,0.9817167931255142,10739,0,200
2024-25,201942,DeMar DeRozan,0.62,0.6094,-0.010599999999999943,0.010599999999999943,0.982845870143237,11459,0,200
2024-25,1631165,Keon Ellis,0.94,0.9171,-0.02289999999999992,0.02289999999999992,0.9756779764076371,8023,0,200
2024-25,1631128,Christian Braun,0.58,0.5697,-0.010299999999999976,0.010299999999999976,0.9822158989863062,11046,0,200
2024-25,1631106,Tari Eason,1.28,1.2376,-0.04239999999999999,0.04239999999999999,0.9668654738237243,5836,0,200
2024-25,1628386,Jarrett Allen,0.65,0.6368,-0.01319999999999999,0.01319999999999999,0.9797057331303907,9655,0,200
2024-25,1627736,Malik Beasley,0.62,0.6076,-0.012399999999999967,0.012399999999999967,0.9799899949974987,9795,0,200
2024-25,1629631,De'Andre Hunter,0.89,0.8664,-0.023600000000000065,0.023600000000000065,0.9734395750332006,7330,0,200
2024-25,1630700,Dyson Daniels,0.51,0.5008,-0.009199999999999986,0.009199999999999986,0.98193315266486,10870,0,200
2024-25,1627783,Pascal Siakam,0.55,0.5396,-0.010400000000000076,0.010400000000000076,0.981013859882286,10334,0,200
2024-25,1630596,Evan Mobley,0.64,0.6262,-0.013800000000000034,0.013800000000000034,0.9783807155983137,9051,0,200
2024-25,203497,Rudy Gobert,0.57,0.5583,-0.011699999999999933,0.011699999999999933,0.9795605518650996,9585,0,200
2024-25,1626157,Karl-Anthony Towns,0.48,0.4707,-0.009299999999999975,0.009299999999999975,0.9805390678213487,10077,0,200
2024-25,1630552,Jalen Johnson,1.1136,1.0738,-0.039799999999999836,0.039799999999999836,0.9642601858470335,5396,0,200
2024-25,1628369,Jayson Tatum,0.41,0.4024,-0.007599999999999996,0.007599999999999996,0.9814591638082878,10587,0,200
2024-25,1628378,Donovan Mitchell,0.48,0.4699,-0.010099999999999998,0.010099999999999998,0.97896508203618,9308,0,200
2024-25,202696,Nikola Vučević,0.44,0.4312,-0.008799999999999975,0.008799999999999975,0.9799418313108014,9771,0,200
2024-25,1629636,Darius Garland,0.44,0.4311,-0.008900000000000019,0.008900000000000019,0.9797652772157022,9684,0,200
2024-25,1627734,Domantas Sabonis,0.39,0.3824,-0.007599999999999996,0.007599999999999996,0.9806182769648222,10119,0,200
2024-25,1630529,Herbert Jones,2.2956,2.1365,-0.15910000000000002,0.15910000000000002,0.9306999306999307,2686,0,200
2024-25,1630551,Justin Champagnie,0.93,0.8972,-0.03280000000000005,0.03280000000000005,0.9647825321359395,5479,0,200
2024-25,1630183,Jaden McDaniels,0.35,0.3435,-0.00649999999999995,0.00649999999999995,0.9813676169182038,10534,0,200
2024-25,1629660,Ty Jerome,0.86,0.8313,-0.028699999999999948,0.028699999999999948,0.9666388657214345,5795,0,200
2024-25,1630168,Onyeka Okongwu,0.46,0.4499,-0.010099999999999998,0.010099999999999998,0.9780725797609912,8921,0,200
2024-25,1628384,OG Anunoby,0.31,0.3044,-0.005599999999999994,0.005599999999999994,0.9820273184759166,10928,0,200
2024-25,1629008,Michael Porter Jr.,0.31,0.3044,-0.005599999999999994,0.005599999999999994,0.9818379949146385,10812,0,200
2024-25,1628970,Miles Bridges,0.48,0.4688,-0.011199999999999988,0.011199999999999988,0.9765944997074313,8345,0,200
2024-25,203507,Giannis Antetokounmpo,0.4,0.3916,-0.008400000000000019,0.008400000000000019,0.9790246460409019,9335,0,200
2024-25,1629661,Cameron Johnson,0.58,0.5644,-0.015599999999999947,0.015599999999999947,0.9730276466621712,7215,0,200
2024-25,1630583,Santi Aldama,0.59,0.5739,-0.016100000000000003,0.016100000000000003,0.9726738625495286,7119,0,200
2024-25,1630530,Trey Murphy III,0.5,0.4875,-0.012500000000000011,0.012500000000000011,0.9750840911922263,7827,0,200
2024-25,1630541,Moses Moody,0.59,0.5732,-0.016799999999999926,0.016799999999999926,0.9715383520705849,6827,0,200
2024-25,1629048,Goga Bitadze,0.75,0.7243,-0.025699999999999945,0.025699999999999945,0.9657768651608487,5644,0,200
2024-25,203084,Harrison Barnes,0.36,0.3522,-0.007799999999999974,0.007799999999999974,0.9784110535405872,9064,0,200
2024-25,1628436,Luke Kornet,0.81,0.7805,-0.02950000000000008,0.02950000000000008,0.9636098981077147,5296,0,200
2024-25,1631105,Jalen Duren,0.4,0.3907,-0.00930000000000003,0.00930000000000003,0.9766600536818766,8369,0,200
2024-25,203076,Anthony Davis,0.53,0.5152,-0.014800000000000035,0.014800000000000035,0.9721059972105998,6970,0,200
2024-25,1630162,Anthony Edwards,0.21,0.2064,-0.003599999999999992,0.003599999999999992,0.983065198983912,11610,0,200
2024-25,1642377,Jaylen Wells,0.37,0.3616,-0.008400000000000019,0.008400000000000019,0.9774113395075672,8654,0,200
2024-25,1631109,Mark Williams,0.87,0.8354,-0.034599999999999964,0.034599999999999964,0.9602148398647304,4827,0,200
2024-25,1627884,Derrick Jones Jr.,0.43,0.4192,-0.010799999999999976,0.010799999999999976,0.9747888566746502,7733,0,200
2024-25,201142,Kevin Durant,0.31,0.3034,-0.006599999999999995,0.006599999999999995,0.97883149872989,9248,0,200
2024-25,1641709,Ausar Thompson,0.7,0.6755,-0.024499999999999966,0.024499999999999966,0.9650043744531933,5515,0,200
2024-25,1628401,Derrick White,0.24,0.2355,-0.004500000000000004,0.004500000000000004,0.9812224204300066,10451,0,200
2024-25,203552,Seth Curry,0.96,0.9175,-0.04249999999999998,0.04249999999999998,0.9557424208895774,4319,0,200
2024-25,1628449,Chris Boucher,1.27,1.2006,-0.06940000000000013,0.06940000000000013,0.9453402569007926,3459,0,200
2024-25,1630178,Tyrese Maxey,0.38,0.3705,-0.009500000000000008,0.009500000000000008,0.9749247743229689,7776,0,200
2024-25,1629655,Daniel Gafford,0.71,0.6834,-0.026599999999999957,0.026599999999999957,0.9625818521983162,5145,0,200
2024-25,1629060,Rui Hachimura,0.4,0.3896,-0.01040000000000002,0.01040000000000002,0.9739583333333334,7480,0,200
2024-25,1627827,Dorian Finney-Smith,0.42,0.4087,-0.011299999999999977,0.011299999999999977,0.9731867542566027,7259,0,200
2024-25,1630534,Ochai Agbaji,0.41,0.3991,-0.010899999999999965,0.010899999999999965,0.9735274652547982,7355,0,200
2024-25,201939,Stephen Curry,0.26,0.2546,-0.005400000000000016,0.005400000000000016,0.9792401909902428,9434,0,200
2024-25,1630198,Isaiah Joe,0.48,0.466,-0.013999999999999957,0.013999999999999957,0.9708624708624709,6664,0,200
2024-25,202681,Kyrie Irving,0.38,0.3701,-0.00990000000000002,0.00990000000000002,0.9738698719623726,7454,0,200
2024-25,1630174,Aaron Nesmith,0.82,0.7848,-0.0351999999999999,0.0351999999999999,0.9571183533447685,4464,0,200
2024-25,1642419,Jamison Battle,0.83,0.7934,-0.036599999999999966,0.036599999999999966,0.9559082892416225,4336,0,200
2024-25,1629012,Collin Sexton,0.37,0.3601,-0.00990000000000002,0.00990000000000002,0.9732477260567148,7276,0,200
2024-25,1629599,Amir Coffey,0.38,0.3696,-0.01040000000000002,0.01040000000000002,0.9727371864776445,7136,0,200
2024-25,1628381,John Collins,0.63,0.6063,-0.023700000000000054,0.023700000000000054,0.9623564840956146,5113,0,200
2024-25,1631117,Walker Kessler,0.36,0.3503,-0.009699999999999986,0.009699999999999986,0.9731291146043262,7243,0,200
2024-25,1630215,Jared Butler,0.76,0.7267,-0.033299999999999996,0.033299999999999996,0.9562458980529425,4371,0,200
2024-25,1629637,Jaxson Hayes,0.7,0.6704,-0.02959999999999996,0.02959999999999996,0.9576809140922556,4526,0,200
2024-25,1627936,Alex Caruso,0.76,0.726,-0.03400000000000003,0.03400000000000003,0.955237242614145,4268,0,200
2024-25,1630573,Sam Hauser,0.44,0.4259,-0.014100000000000001,0.014100000000000001,0.9679230152365678,6035,0,200
2024-25,1641717,Cason Wallace,0.28,0.2729,-0.007100000000000051,0.007100000000000051,0.9746867485128464,7701,0,200
2024-25,1629006,Josh Okogie,1.41,1.3065,-0.10349999999999993,0.10349999999999993,0.9265785609397944,2524,0,200
2024-25,1631108,Max Christie,0.2,0.1955,-0.004500000000000004,0.004500000000000004,0.9776286353467561,8740,0,200
2024-25,1629018,Gary Trent Jr.,0.25,0.2437,-0.0063,0.0063,0.9747729566094854,7728,0,200
2024-25,1628973,Jalen Brunson,0.16,0.1566,-0.003400000000000014,0.003400000000000014,0.9790312434472636,9338,0,200
2024-25,1629634,Brandon Clarke,0.48,0.4625,-0.01749999999999996,0.01749999999999996,0.9635568513119533,5288,0,200
2024-25,1628404,Josh Hart,0.07,0.0688,-0.0012000000000000066,0.0012000000000000066,0.9831847990583488,11694,0,200
2024-25,1626220,Royce O'Neale,0.26,0.2532,-0.006800000000000028,0.006800000000000028,0.9737945492662474,7432,0,200
2024-25,204001,Kristaps Porziņģis,0.51,0.4905,-0.019500000000000017,0.019500000000000017,0.9617956064947469,5035,0,200
2024-25,203932,Aaron Gordon,0.38,0.3677,-0.012299999999999978,0.012299999999999978,0.9675850891410048,5970,0,200
2024-25,1629627,Zion Williamson,0.8,0.7584,-0.04160000000000008,0.04160000000000008,0.9480114374837536,3647,0,200
2024-25,1629026,Kenrich Williams,0.56,0.5368,-0.0232,0.0232,0.9586092715231788,4632,0,200
2024-25,1629130,Duncan Robinson,0.26,0.2529,-0.007099999999999995,0.007099999999999995,0.9728445349626612,7165,0,200
2024-25,1628415,Dillon Brooks,0.13,0.1273,-0.002700000000000008,0.002700000000000008,0.9794196336694793,9518,0,200
2024-25,1630167,Obi Toppin,0.32,0.3103,-0.009699999999999986,0.009699999999999986,0.9696094818416654,6381,0,200
2024-25,1629029,Luka Dončić,0.24,0.2337,-0.0063,0.0063,0.9735729386892178,7368,0,200
2024-25,1631217,Moussa Diabaté,0.5,0.4804,-0.019600000000000006,0.019600000000000006,0.9607149872323708,4891,0,200
2024-25,1630182,Josh Green,0.21,0.2047,-0.005299999999999999,0.005299999999999999,0.9749530369442705,7785,0,200
2024-25,1631133,Jabari Walker,0.93,0.8743,-0.05570000000000008,0.05570000000000008,0.9401197604790419,3140,0,200
2024-25,1629639,Tyler Herro,0.07,0.0687,-0.0013000000000000095,0.0013000000000000095,0.9819836050806233,10901,0,200
2024-25,1630572,Sandro Mamukelashvili,1.12,1.0422,-0.07780000000000009,0.07780000000000009,0.9305555555555556,2680,0,200
2024-25,1629640,Keldon Johnson,0.21,0.2045,-0.005500000000000005,0.005500000000000005,0.9740428293316029,7505,0,200
2024-25,1629656,Quentin Grimes,0.16,0.1562,-0.003799999999999998,0.003799999999999998,0.9763677183032021,8263,0,200
2024-25,1630598,Aaron Wiggins,0.21,0.2043,-0.005699999999999983,0.005699999999999983,0.9730494542514486,7221,0,200
2024-25,1628379,Luke Kennard,0.27,0.2617,-0.00830000000000003,0.00830000000000003,0.969386193173121,6333,0,200
2024-25,1630577,Julian Champagnie,0.16,0.1561,-0.0039000000000000146,0.0039000000000000146,0.9753603548108907,7917,0,200
2024-25,202699,Tobias Harris,0.09,0.0881,-0.001899999999999999,0.001899999999999999,0.9792207792207792,9425,0,200
2024-25,203952,Andrew Wiggins,0.17,0.1657,-0.004300000000000026,0.004300000000000026,0.9744604775890691,7631,0,200
2024-25,1641708,Amen Thompson,0.1,0.0978,-0.0022000000000000075,0.0022000000000000075,0.978448275862069,9080,0,200
2024-25,203081,Damian Lillard,0.12,0.1172,-0.002799999999999997,0.002799999999999997,0.9770536943552088,8516,0,200
