nbaTeamId,canonicalTeamId,abbr,fullName,brandKey,route,resolved,sourceFile
1610612737,1,ATL,"Atlanta Hawks",atl,/teams/1,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612738,2,BOS,"Boston Celtics",bos,/teams/2,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612740,3,NOP,"New Orleans Pelicans",nop,/teams/3,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612741,4,CHI,"Chicago Bulls",chi,/teams/4,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612739,5,CLE,"Cleveland Cavaliers",cle,/teams/5,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612742,6,DAL,"Dallas Mavericks",dal,/teams/6,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612743,7,DEN,"Denver Nuggets",den,/teams/7,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612765,8,DET,"Detroit Pistons",det,/teams/8,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612744,9,GSW,"Golden State Warriors",gsw,/teams/9,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612745,10,HOU,"Houston Rockets",hou,/teams/10,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612754,11,IND,"Indiana Pacers",ind,/teams/11,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612746,12,LAC,"LA Clippers",lac,/teams/12,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612747,13,LAL,"Los Angeles Lakers",lal,/teams/13,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612748,14,MIA,"Miami Heat",mia,/teams/14,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612749,15,MIL,"Milwaukee Bucks",mil,/teams/15,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612750,16,MIN,"Minnesota Timberwolves",min,/teams/16,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612751,17,BKN,"Brooklyn Nets",bkn,/teams/17,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612752,18,NYK,"New York Knicks",nyk,/teams/18,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612753,19,ORL,"Orlando Magic",orl,/teams/19,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612755,20,PHI,"Philadelphia 76ers",phi,/teams/20,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612756,21,PHX,"Phoenix Suns",phx,/teams/21,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612757,22,POR,"Portland Trail Blazers",por,/teams/22,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612758,23,SAC,"Sacramento Kings",sac,/teams/23,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612759,24,SAS,"San Antonio Spurs",sas,/teams/24,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612760,25,OKC,"Oklahoma City Thunder",okc,/teams/25,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612762,26,UTA,"Utah Jazz",uta,/teams/26,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612764,27,WAS,"Washington Wizards",was,/teams/27,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612761,28,TOR,"Toronto Raptors",tor,/teams/28,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612763,29,MEM,"Memphis Grizzlies",mem,/teams/29,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
1610612766,30,CHA,"Charlotte Hornets",cha,/teams/30,Y,src/data/providers/nba/nba-team-meta.ts + src/data/identity/team-map.ts
