season,playerId,N,teamCount,rawRateFinite,validatedRateFinite,metadataAvailable,classification,reason,setDiff
2024-25,1626143,15,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=15 < public minimumActualPossessions=50,A-B
2024-25,1627746,42,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=42 < public minimumActualPossessions=50,A-B
2024-25,1629056,29,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=29 < public minimumActualPossessions=50,A-B
2024-25,1629667,33,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=33 < public minimumActualPossessions=50,A-B
2024-25,1630164,23,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=23 < public minimumActualPossessions=50,A-B
2024-25,1630644,39,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=39 < public minimumActualPossessions=50,A-B
2024-25,1630678,26,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=26 < public minimumActualPossessions=50,A-B
2024-25,1631214,13,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=13 < public minimumActualPossessions=50,A-B
2024-25,1641815,23,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=23 < public minimumActualPossessions=50,A-B
2024-25,1642385,46,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=46 < public minimumActualPossessions=50,A-B
2024-25,1642389,9,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=9 < public minimumActualPossessions=50,A-B
2024-25,1642399,19,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=19 < public minimumActualPossessions=50,A-B
2024-25,1642434,29,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=29 < public minimumActualPossessions=50,A-B
2024-25,1642439,43,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=43 < public minimumActualPossessions=50,A-B
2025-26,1630649,27,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=27 < public minimumActualPossessions=50,A-B
2025-26,1641732,29,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=29 < public minimumActualPossessions=50,A-B
2025-26,1641787,33,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=33 < public minimumActualPossessions=50,A-B
2025-26,1642280,19,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=19 < public minimumActualPossessions=50,A-B
2025-26,1642468,9,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=9 < public minimumActualPossessions=50,A-B
2025-26,1642855,28,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=28 < public minimumActualPossessions=50,A-B
2025-26,1643257,44,1,true,true,false,LOW_EXPOSURE_PLAYER,seasonN=44 < public minimumActualPossessions=50,A-B
