season,teamId,W0TeamPoints,W1TeamPoints,teamTotalPlayerAppearanceExposure,playerStintRows,netPoints,wins
2024-25,1610612737,127.12450687572156,88.22270861388566,83894,21,-85,40
2024-25,1610612738,363.9375740658586,340.1676642516193,79533,18,747,61
2024-25,1610612739,475.48518274516584,445.95009757526026,82354,21,782,64
2024-25,1610612740,-190.12675707309114,-127.57979329247776,81672,25,-773,21
2024-25,1610612741,71.4427375738389,51.964098457695194,84695,22,-128,39
2024-25,1610612742,23.168570331784213,15.814785929769904,81893,24,-98,39
2024-25,1610612743,221.63047276537583,243.71322380631028,82708,17,319,50
2024-25,1610612744,274.3117333662177,223.0216072700879,81334,23,270,48
2024-25,1610612745,266.6435660801442,227.76215754708738,80468,18,385,52
2024-25,1610612746,373.34920952939854,325.28476322089693,80655,23,382,50
2024-25,1610612747,32.16721364337397,67.50861392468856,80493,24,100,50
2024-25,1610612748,43.31336796604888,35.17884850807725,79189,21,26,36
2024-25,1610612749,92.42684262105354,117.23227360493104,80873,23,195,47
2024-25,1610612750,370.1165136830263,331.9480683250768,80751,20,410,49
2024-25,1610612751,-224.33231762671215,-158.6049382165231,79644,24,-583,26
2024-25,1610612752,172.15017340655757,196.22773965051775,80347,21,336,51
2024-25,1610612753,120.48547461408154,95.7694820930067,79135,17,-10,41
2024-25,1610612754,280.7888889765813,215.47058797166176,80921,22,175,49
2024-25,1610612755,-126.22085688122087,-66.84408951284273,80387,30,-511,24
2024-25,1610612756,18.70255939199838,13.1759468415098,80735,20,-246,36
2024-25,1610612757,10.712735711812037,8.121664294673497,81746,19,-243,36
2024-25,1610612758,206.66323974875706,181.65735645177023,81618,25,39,40
2024-25,1610612759,75.84897449662589,47.75019727417106,80042,21,-218,33
2024-25,1610612760,544.6650831829546,490.67353231861364,81537,19,1040,67
2024-25,1610612761,-29.920188756642368,-25.27783196930671,82656,23,-352,30
2024-25,1610612762,-234.01559132472616,-188.8605136112449,82929,20,-766,17
2024-25,1610612763,303.36975815752595,271.20070265849006,85159,21,398,48
2024-25,1610612764,-317.57948603508,-293.5083954741362,82278,24,-1000,18
2024-25,1610612765,154.08347190185006,122.52971611484281,82667,21,156,44
2024-25,1610612766,-131.65951836086106,-74.5544956653351,80572,27,-747,19
