season,teamId,selectedRateSource,selectedTeamPoints,PPW,selectedTeamWAR,actualWins,actualNetPoints,note
2024-25,1610612737,W0,127.12450687572156,37.490662671779255,3.3908311514433,40,-85,development_evidence_only
2024-25,1610612738,W0,363.9375740658586,37.490662671779255,9.707419077972427,61,747,development_evidence_only
2024-25,1610612739,W0,475.48518274516584,37.490662671779255,12.68276282305041,64,782,development_evidence_only
2024-25,1610612740,W0,-190.12675707309114,37.490662671779255,-5.071309588139322,21,-773,development_evidence_only
2024-25,1610612741,W0,71.4427375738389,37.490662671779255,1.9056141578318047,39,-128,development_evidence_only
2024-25,1610612742,W0,23.168570331784213,37.490662671779255,0.6179824169718979,39,-98,development_evidence_only
2024-25,1610612743,W0,221.63047276537583,37.490662671779255,5.91161790618884,50,319,development_evidence_only
2024-25,1610612744,W0,274.3117333662177,37.490662671779255,7.316801406466024,48,270,development_evidence_only
2024-25,1610612745,W0,266.6435660801442,37.490662671779255,7.112266017129052,52,385,development_evidence_only
2024-25,1610612746,W0,373.34920952939854,37.490662671779255,9.958458531340758,50,382,development_evidence_only
2024-25,1610612747,W0,32.16721364337397,37.490662671779255,0.8580060033878124,50,100,development_evidence_only
2024-25,1610612748,W0,43.31336796604888,37.490662671779255,1.1553108128614809,36,26,development_evidence_only
2024-25,1610612749,W0,92.42684262105354,37.490662671779255,2.4653296590200564,47,195,development_evidence_only
2024-25,1610612750,W0,370.1165136830263,37.490662671779255,9.872231838719351,49,410,development_evidence_only
2024-25,1610612751,W0,-224.33231762671215,37.490662671779255,-5.983685046879052,26,-583,development_evidence_only
2024-25,1610612752,W0,172.15017340655757,37.490662671779255,4.591814631650722,51,336,development_evidence_only
2024-25,1610612753,W0,120.48547461408154,37.490662671779255,3.2137461977906265,41,-10,development_evidence_only
2024-25,1610612754,W0,280.7888889765813,37.490662671779255,7.489568574309103,49,175,development_evidence_only
2024-25,1610612755,W0,-126.22085688122087,37.490662671779255,-3.3667278166366588,24,-511,development_evidence_only
2024-25,1610612756,W0,18.70255939199838,37.490662671779255,0.4988591307583521,36,-246,development_evidence_only
2024-25,1610612757,W0,10.712735711812037,37.490662671779255,0.28574410128727656,36,-243,development_evidence_only
2024-25,1610612758,W0,206.66323974875706,37.490662671779255,5.512392287061944,40,39,development_evidence_only
2024-25,1610612759,W0,75.84897449662589,37.490662671779255,2.0231430732676934,33,-218,development_evidence_only
2024-25,1610612760,W0,544.6650831829546,37.490662671779255,14.528019628549972,67,1040,development_evidence_only
2024-25,1610612761,W0,-29.920188756642368,37.490662671779255,-0.7980704160549432,30,-352,development_evidence_only
2024-25,1610612762,W0,-234.01559132472616,37.490662671779255,-6.2419699905939305,17,-766,development_evidence_only
2024-25,1610612763,W0,303.36975815752595,37.490662671779255,8.091875057356205,48,398,development_evidence_only
2024-25,1610612764,W0,-317.57948603508,37.490662671779255,-8.470895508447093,18,-1000,development_evidence_only
2024-25,1610612765,W0,154.08347190185006,37.490662671779255,4.109915934290352,44,156,development_evidence_only
2024-25,1610612766,W0,-131.65951836086106,37.490662671779255,-3.511794910468907,19,-747,development_evidence_only
