season,teamId,ActualNetPoints,R1BaselineNetPoints,ApproachBAttributedNetPoints_accounting,ApproachBPlayerStableSum,UnassignedNetResidual,reconstructed,residual,absResidual,W0TeamPoints,W1TeamPoints
2024-25,1610612737,-85,-86.62256569857709,114.14485685138521,114.14485685138416,-112.52229115281048,-85.00000000000236,2.3590018827235326e-12,2.3590018827235326e-12,127.12450687572156,88.22270861388566
2024-25,1610612738,747,488.1985306480765,360.3086689934872,360.30866899348615,-101.50719964158128,746.9999999999823,1.77351466845721e-11,1.77351466845721e-11,363.9375740658586,340.1676642516193
2024-25,1610612739,782,434.1917001036454,474.8756953748551,474.8756953748596,-127.06739547847252,782.000000000028,-2.7966962079517543e-11,2.7966962079517543e-11,475.48518274516584,445.95009757526026
2024-25,1610612740,-773,-466.8409342849918,-196.81780896787348,-196.81780896787154,-109.3412567471632,-773.0000000000285,2.8535396268125623e-11,2.8535396268125623e-11,-190.12675707309114,-127.57979329247776
2024-25,1610612741,-128,-150.93903767476695,128.31561897052148,128.3156189705212,-105.37658129574359,-127.99999999998906,-1.0942358130705543e-11,1.0942358130705543e-11,71.4427375738389,51.964098457695194
2024-25,1610612742,-98,-2.175958644305865,10.565289725716866,10.565289725716225,-106.38933108137353,-97.99999999996253,-3.7474023883987684e-11,3.7474023883987684e-11,23.168570331784213,15.814785929769904
2024-25,1610612743,319,208.6429515489108,221.63047276537122,221.63047276537614,-111.27342431423524,319.0000000000468,-4.6782133722444996e-11,4.6782133722444996e-11,221.63047276537583,243.71322380631028
2024-25,1610612744,270,110.08012761469035,268.2988467104465,268.29884671044584,-108.37897432512145,270.00000000001546,-1.546140993013978e-11,1.546140993013978e-11,274.3117333662177,223.0216072700879
2024-25,1610612745,385,224.89624054806518,264.375377571482,264.3753775714804,-104.27161811956815,384.999999999979,2.0975221559638157e-11,2.0975221559638157e-11,266.6435660801442,227.76215754708738
2024-25,1610612746,382,166.57279746290624,314.8621198795287,314.8621198795282,-99.43491734243656,381.99999999999835,1.6484591469634324e-12,1.6484591469634324e-12,373.34920952939854,325.28476322089693
2024-25,1610612747,100,177.29193506643787,44.265508124893586,44.26550812489206,-121.55744319133936,99.9999999999921,7.901235221652314e-12,7.901235221652314e-12,32.16721364337397,67.50861392468856
2024-25,1610612748,26,92.38393180476851,58.63346582626622,58.63346582626802,-125.0173976310228,26.000000000011923,-1.1922907106054481e-11,1.1922907106054481e-11,43.31336796604888,35.17884850807725
2024-25,1610612749,195,113.45478792720496,154.2514147559799,154.25141475598065,-72.70620268320619,194.99999999997868,2.1316282072803006e-11,2.1316282072803006e-11,92.42684262105354,117.23227360493104
2024-25,1610612750,410,148.24343803680677,370.6994088276856,370.69940882768435,-108.94284686448684,410.0000000000055,-5.5138116294983774e-12,5.5138116294983774e-12,370.1165136830263,331.9480683250768
2024-25,1610612751,-583,-276.5339092633076,-175.76019403404453,-175.76019403404285,-130.7058967026372,-582.9999999999893,-1.0686562745831907e-11,1.0686562745831907e-11,-224.33231762671215,-158.6049382165231
2024-25,1610612752,336,267.5064829056719,168.8605204801571,168.8605204801558,-100.36700338582591,336.00000000000307,-3.069544618483633e-12,3.069544618483633e-12,172.15017340655757,196.22773965051775
2024-25,1610612753,-10,-13.536632569599533,120.48547461408118,120.48547461408178,-116.94884204453764,-10.00000000005599,5.5990767577895895e-11,5.5990767577895895e-11,120.48547461408154,95.7694820930067
2024-25,1610612754,175,1.9135514853187487,270.74915605936224,270.7491560593644,-97.66270754470253,174.99999999997846,2.1543655748246238e-11,2.1543655748246238e-11,280.7888889765813,215.47058797166176
2024-25,1610612755,-511,-267.5969542460225,-127.05666059133188,-127.05666059133328,-116.34638516263506,-510.9999999999894,-1.057287590811029e-11,1.057287590811029e-11,-126.22085688122087,-66.84408951284273
2024-25,1610612756,-246,-137.81791824314678,-19.63520439558198,-19.635204395582413,-88.54687736123748,-245.99999999996624,-3.376499080331996e-11,3.376499080331996e-11,18.70255939199838,13.1759468415098
2024-25,1610612757,-243,-140.82226486827312,6.566973817166314,6.5669738171662875,-108.74470894888016,-242.99999999998698,-1.3017142919125035e-11,1.3017142919125035e-11,10.712735711812037,8.121664294673497
2024-25,1610612758,39,-63.50100722066418,222.5251362290689,222.52513622906778,-120.02412900839526,39.00000000000945,-9.450218385609332e-12,9.450218385609332e-12,206.66323974875706,181.65735645177023
2024-25,1610612759,-218,-149.73742817178572,31.66634529875614,31.66634529875349,-99.92891712696657,-217.99999999999613,-3.865352482534945e-12,3.865352482534945e-12,75.84897449662589,47.75019727417106
