family,window,evidenceClass,raw_a,raw_b,eb_a,eb_b
SEASON_TO_NEXT,2020-21->2021-22,HISTORICAL_REPEATED_VALIDATION,0.039293740792698914,0.20982677015107218,0.003948494275471158,0.5383355899642991
SEASON_TO_NEXT,2021-22->2022-23,HISTORICAL_REPEATED_VALIDATION,-0.055226612960417275,0.41715151563480013,-0.11973781645009118,0.864206791949791
SEASON_TO_NEXT,2022-23->2023-24,HISTORICAL_REPEATED_VALIDATION,-0.0483569125624974,0.29737324396416676,-0.08466099942927842,0.7043825958133804
SEASON_TO_NEXT,2023-24->2024-25,HISTORICAL_REPEATED_VALIDATION_WITH_DEV_CONTAMINATION_NOTE,-0.03603066214830127,0.3545702340517679,-0.10306469615818198,0.806047878768344
SEASON_TO_NEXT,2024-25->2025-26,PREVIOUSLY_CONSUMED_REPLICATION,-0.0498079787246817,0.272024454827456,-0.10502017230070004,0.8114122535298142
EARLY_LATE,2020-21,PRIMARY,-0.06947097780467738,0.33554623354302027,-0.1555576246893284,0.9443963633538836
EARLY_LATE,2021-22,PRIMARY,-0.21301292840040606,0.239999605467094,-0.2634336719099367,0.8458310051941554
EARLY_LATE,2022-23,PRIMARY,-0.17551661958153492,0.4095359245448589,-0.24279245504694436,1.0920875557454393
EARLY_LATE,2023-24,PRIMARY,-0.11468590158286471,0.46306633773262335,-0.226575572993001,1.1742752881286498
EARLY_LATE,2024-25,PRIMARY,-0.0908377887124731,0.3609331785716962,-0.1750238474162212,1.0773883775499156
EARLY_LATE,2025-26,PREVIOUSLY_CONSUMED_REPLICATION,-0.06335273775531906,0.46886278499969714,-0.12956924550633095,1.1163931675924321
