bin,n,meanPrediction,meanY,medianY,residual,RMSE
decile_1,41,-1.4141441847112555,-1.9569067442527914,-2.2895992471569757,-0.542762559541536,3.0000150135106503
decile_2,42,-0.9414802748073873,-1.583504001206121,-1.024748967356041,-0.6420237263987337,2.7208626944425736
decile_3,42,-0.695997707311597,-0.6545768518612389,-0.5177619260570964,0.04142085545035812,2.438740864095832
decile_4,42,-0.4756169230678672,-0.14164463407671204,-0.2557253639190339,0.33397228899115516,2.2687564824423707
decile_5,42,-0.3033800718306529,-0.12519207480227287,0.4334936308522562,0.17818799702838004,1.7834788807819515
decile_6,42,-0.15547264128389737,0.48295964611766123,0.614363103304643,0.6384322874015587,3.2762514896619748
decile_7,42,-0.007050302362740503,0.5918689660061209,0.6200936687443055,0.5989192683688614,2.3317400151455905
decile_8,42,0.197754503555352,0.6277886725604465,0.72764797474944,0.43003416900509445,1.9920974176761725
decile_9,42,0.44001889371113445,1.0797962551445328,1.0750291992190788,0.6397773614333984,2.211231528555932
decile_10,42,0.9435992838755448,0.9488272378143751,0.6615665510322555,0.005227953938830243,1.552385434357782
bottom_5pct,20,-1.6259222314802328,-1.9013652589900356,,-0.27544302750980276,3.110701183109156
bottom_10pct,41,-1.4141441847112555,-1.9569067442527914,,-0.542762559541536,3.0000150135106503
top_10pct,41,0.9519414274778872,0.9254504961529713,,-0.02649093132491598,1.5579142105192607
top_5pct,20,1.17006885964657,1.151214394359481,,-0.018854465287089006,1.7467183733958787
DIAGNOSTIC_linear_on_VAL,,,,,,2.3864051243569673
DIAGNOSTIC_quadratic_on_VAL,,,,,,2.369362664527398
