teamId,abbreviation,teamPlayerWAR,actualWins,games,pointDifferential,netRating
1610612760,OKC,54.749470087092156,68,82,1055,12.72
1610612739,CLE,67.41704288876385,64,82,782,9.54
1610612738,BOS,60.05712608267599,61,82,747,9.51
1610612745,HOU,33.96754388445735,52,82,370,4.34
1610612752,NYK,33.871454813859884,51,82,336,4.09
1610612746,LAC,21.533921569275257,50,82,382,4.77
1610612743,DEN,30.79006255746702,50,82,319,3.77
1610612754,IND,12.903081688921933,50,82,183,2.3
1610612747,LAL,17.970118738005347,50,82,100,1.22
1610612750,MIN,54.23753460820163,49,82,410,5.19
1610612763,MEM,34.85686316267498,48,82,398,4.72
1610612744,GSW,35.83808844369728,48,82,271,3.28
1610612749,MIL,19.63046414065794,48,82,203,2.47
1610612765,DET,29.862352116454282,44,82,156,1.93
1610612753,ORL,23.648296987367736,41,82,-10,-0.08
1610612758,SAC,32.17783026715651,40,82,39,0.51
1610612737,ATL,31.469721087794177,40,82,-93,-1
1610612741,CHI,27.588758002212572,39,82,-131,-1.49
1610612742,DAL,19.64811089267006,39,82,-98,-1.15
1610612755,PHI,3.9894776099661184,24,82,-508,-6.42
1610612759,SAS,34.008828918633014,34,82,-226,-2.71
1610612757,POR,0.9769055008308456,36,82,-244,-2.8
1610612756,PHX,17.323068300352006,36,82,-246,-3.04
1610612761,TOR,-0.7758240211960121,30,82,-352,-4.41
1610612751,BKN,13.550613559211861,26,82,-583,-7.21
1610612740,NOP,9.431957353337877,21,82,-779,-9.62
1610612766,CHA,24.620239843199688,19,82,-747,-9.28
1610612764,WAS,-8.663822537868066,18,82,-1020,-12.33
1610612762,UTA,-13.050194931749829,17,82,-766,-9.37
1610612748,MIA,30.86138015536812,37,82,45,0.54
