path,role,hash_at_a229,hash_at_latest,equal,scientifically_relevant
drbl/evaluation/m16c-dataset.ts,normalized_game_loader,1b2b3020fe9441711fefcb35f27df8c061647ea34a6493f7a679066be24722ab,1b2b3020fe9441711fefcb35f27df8c061647ea34a6493f7a679066be24722ab,YES,YES
drbl/evaluation/metrics.ts,corr_helpers,15ac245f77884e8605db242cd950cafac18b1ab5409ec1bbd01d35f3fe717c37,15ac245f77884e8605db242cd950cafac18b1ab5409ec1bbd01d35f3fe717c37,YES,YES
drbl/research/m18/lineup-impact.ts,m18_lineup_target_engine,e3ba858613b25e3477e186441ac1859b38914ce7e99eaade2d232ea36c4ab4f5,e3ba858613b25e3477e186441ac1859b38914ce7e99eaade2d232ea36c4ab4f5,YES,YES
src/data/drbl/precomputed/2020-21.json,DRBL_pred_source,d448cd225fb89f949662602f5a5ae4fe9fc419b664162640603f8bfaa9a49f14,d448cd225fb89f949662602f5a5ae4fe9fc419b664162640603f8bfaa9a49f14,YES,YES
src/data/drbl/precomputed/2021-22.json,DRBL_pred_source,f02be84c13e97cc5430d2ae839c7d60572ba5df9808c16540998363ca1dc49f4,f02be84c13e97cc5430d2ae839c7d60572ba5df9808c16540998363ca1dc49f4,YES,YES
src/data/drbl/precomputed/2022-23.json,DRBL_pred_source,f0d607a9edf018181572b8b94369e16032520e5d19f235e39958c6229ecb6ba2,f0d607a9edf018181572b8b94369e16032520e5d19f235e39958c6229ecb6ba2,YES,YES
src/data/drbl/precomputed/2023-24.json,DRBL_pred_source,6194b9d6454169567717c218ab695e6a0de52b15d3a4aca746c5d660be62143d,6194b9d6454169567717c218ab695e6a0de52b15d3a4aca746c5d660be62143d,YES,YES
src/data/drbl/precomputed/2024-25.json,DRBL_pred_source,1ac1dad1f59c1faebf8103e0876e216f1b46d897db0816500f667b262def7951,1ac1dad1f59c1faebf8103e0876e216f1b46d897db0816500f667b262def7951,YES,YES
reports/m17a_2/41_model_health.json,seal_gate,04b58fa9dbeef4f9e7608fe8e65f257f783e1666cbe68f2d67fd3bb20d58f8d0,04b58fa9dbeef4f9e7608fe8e65f257f783e1666cbe68f2d67fd3bb20d58f8d0,YES,YES
reports/m17b/20_model_health.json,seal_gate,f0737426b8653d531d60cd9aa71cc4f3b8aae233585283097b803cd6682fc946,f0737426b8653d531d60cd9aa71cc4f3b8aae233585283097b803cd6682fc946,YES,YES
reports/m18a/29_m18a_seal.json,seal_gate,eee794c0503518a6e69f27ede070fd1e5253b51691f3a67a3d34d2d116f07f44,eee794c0503518a6e69f27ede070fd1e5253b51691f3a67a3d34d2d116f07f44,YES,YES
reports/m18b_0/15_readiness_seal.json,seal_gate,da2e58c175f4e9defd0891d86e8ec7496c96409886bb481fcac5434c0d7304b7,da2e58c175f4e9defd0891d86e8ec7496c96409886bb481fcac5434c0d7304b7,YES,YES
src/lib/player-team-context.ts,product_display_identity,ABSENT,d118284fa95f8dbc2a2867a915657539c6080cfe1bf0ec3cfb7d4ff818c6d36b,NO,NO
src/lib/drbl-public-labels.ts,public_r1_labels,ABSENT,7797e5f2996363fa1ce35272a82bbad9c184fed2b3752b29eb62f2364890f8bf,NO,NO
src/data/providers/nba-data-provider.ts,product_board_provider,da1e56b35f023ae908147542a920a73c50393e79b38ef386f97963e465541652,1a1d50b1d34668cec120b8b0d02a42985bae64469bc42c1bfe3ed5f3fe9b0178,NO,NO
src/lib/player-destination.ts,product_player_merge,1268d52ce0e3c0e04bb36e01c0cf4c0fadccc67ded8027a34f815c2ec9dc2426,7434572b24f5b4e57e974bbbb8a7b3da71758710b24456098d54e46dff4e8e3f,NO,NO
scripts/drbl-m17c.ts,m17c_orchestrator_research_only,6cca446e78030a52e2e807adc27ab2521ca145caee4a59939675e388849d4099,6cca446e78030a52e2e807adc27ab2521ca145caee4a59939675e388849d4099,YES,YES
reports/m17c/external_snapshots/modern_RAPTOR_by_player.csv,external_frozen_snapshot,cb64bd15492b540e5a376fcebddc1ba77b94847ee33ab26811d4123ef5fd7160,cb64bd15492b540e5a376fcebddc1ba77b94847ee33ab26811d4123ef5fd7160,YES,YES
reports/m17c/external_snapshots/bref_advanced_2020-21.html,external_frozen_snapshot,4f1b73d0260615b3144759e70fd34fbc522131daa55e39cb28cacb581d61da49,4f1b73d0260615b3144759e70fd34fbc522131daa55e39cb28cacb581d61da49,YES,YES
reports/m17c/external_snapshots/bref_advanced_2021-22.html,external_frozen_snapshot,5e03a62b80239eb00a7f26c7c086b80db8c84522d537dc1cf1d96848588ac8f8,5e03a62b80239eb00a7f26c7c086b80db8c84522d537dc1cf1d96848588ac8f8,YES,YES
reports/m17c/external_snapshots/bref_advanced_2022-23.html,external_frozen_snapshot,381744d65310016292052fe45a1d288ca42eda5edd28ec7f7606a61d4c9bd83a,381744d65310016292052fe45a1d288ca42eda5edd28ec7f7606a61d4c9bd83a,YES,YES
reports/m17c/external_snapshots/bref_advanced_2023-24.html,external_frozen_snapshot,a63bf010ff7b5533cedc81f3ac3b43046a9dfa92b351d2419d780b3555323e67,a63bf010ff7b5533cedc81f3ac3b43046a9dfa92b351d2419d780b3555323e67,YES,YES
