status,path,class
M,package.json,TEST
A,reports/product_completeness_v1_3/00_freeze.json,REPORT/DOCS
A,reports/product_completeness_v1_3/01_temporal_identity_reproduction.csv,REPORT/DOCS
A,reports/product_completeness_v1_3/02_player_brand_lineage.md,REPORT/DOCS
A,reports/product_completeness_v1_3/03_player_team_context_contract.md,REPORT/DOCS
A,reports/product_completeness_v1_3/04_team_change_test_matrix.csv,REPORT/DOCS
A,reports/product_completeness_v1_3/05_all_team_change_coverage.csv,REPORT/DOCS
A,reports/product_completeness_v1_3/06_multi_team_policy.md,REPORT/DOCS
A,reports/product_completeness_v1_3/07_cache_state_audit.md,REPORT/DOCS
A,reports/product_completeness_v1_3/08_visual_qa_index.md,REPORT/DOCS
A,reports/product_completeness_v1_3/09_current_regression.json,REPORT/DOCS
A,reports/product_completeness_v1_3/10_historical_regression.json,REPORT/DOCS
A,reports/product_completeness_v1_3/11_identity_regression.json,REPORT/DOCS
A,reports/product_completeness_v1_3/12_game_regression.json,REPORT/DOCS
A,reports/product_completeness_v1_3/13_engineering_results.json,REPORT/DOCS
A,reports/product_completeness_v1_3/14_remaining_debt.md,REPORT/DOCS
A,reports/product_completeness_v1_3/15_product_health.json,REPORT/DOCS
A,reports/product_completeness_v1_3/16_full_audit.md,REPORT/DOCS
A,reports/product_completeness_v1_3/17_p17_3_seal.json,REPORT/DOCS
A,reports/product_completeness_v1_3/visual_qa/current-team-context.txt,REPORT/DOCS
A,reports/product_completeness_v1_3/visual_qa/multi-team-aggregate.txt,REPORT/DOCS
A,reports/product_completeness_v1_3/visual_qa/old-team-season-context.txt,REPORT/DOCS
A,reports/product_completeness_v1_3/visual_qa/season-switch-after.txt,REPORT/DOCS
A,reports/product_completeness_v1_3/visual_qa/season-switch-before.txt,REPORT/DOCS
A,reports/product_completeness_v1_3/visual_qa/specific-stint-team.txt,REPORT/DOCS
A,reports/project_workbook_v2_2/DRBL_PROJECT_WORKBOOK_V2_2.zip,REPORT/DOCS
A,reports/project_workbook_v2_2/PLAYER_TEAM_CONTEXT_CONTRACT.md,REPORT/DOCS
A,reports/project_workbook_v2_2/PLAYER_TEMPORAL_TEAM_IDENTITY.md,REPORT/DOCS
A,reports/project_workbook_v2_2/TEAM_CHANGE_REGRESSION.md,REPORT/DOCS
A,reports/project_workbook_v2_2/TRADED_PLAYER_UX.md,REPORT/DOCS
A,reports/project_workbook_v2_2/critical_source_snapshot/src/app/players/[playerId]/page.tsx,REPORT/DOCS
A,reports/project_workbook_v2_2/critical_source_snapshot/src/components/players/player-core-island.tsx,REPORT/DOCS
A,reports/project_workbook_v2_2/critical_source_snapshot/src/components/players/player-destination-identity.tsx,REPORT/DOCS
A,reports/project_workbook_v2_2/critical_source_snapshot/src/components/players/player-games-island.tsx,REPORT/DOCS
A,reports/project_workbook_v2_2/critical_source_snapshot/src/lib/player-destination.ts,REPORT/DOCS
A,reports/project_workbook_v2_2/critical_source_snapshot/src/lib/player-team-context.ts,REPORT/DOCS
A,scripts/p17-3-temporal-identity-audit.ts,TEST
M,scripts/test-compare-drbl.ts,TEST
M,scripts/test-learn-drbl-page.ts,TEST
A,scripts/test-player-team-context.ts,TEST
A,scripts/test-r1-wins-sort-equivalence.ts,TEST
M,src/analytics/career-resume.ts,PLAYER_IDENTITY_PRESENTATION
M,src/analytics/compare-player-seasons.ts,PUBLIC_METRIC_LABEL
M,src/analytics/compare-players.ts,PUBLIC_METRIC_LABEL
M,src/app/explore/players/page.tsx,PUBLIC_METRIC_LABEL
M,src/app/learn/drbl/page.tsx,LEARN/COPY
M,src/app/players/[playerId]/page.tsx,PLAYER_IDENTITY_PRESENTATION
M,src/components/brand/team-wash-card.tsx,PLAYER_IDENTITY_PRESENTATION
M,src/components/explore/drbl-season-support-notice.tsx,PUBLIC_METRIC_LABEL
M,src/components/explore/player-season-table.tsx,PUBLIC_METRIC_LABEL
M,src/components/players/player-core-island.tsx,PLAYER_IDENTITY_PRESENTATION
M,src/components/players/player-destination-identity.tsx,PLAYER_IDENTITY_PRESENTATION
M,src/components/players/player-games-island.tsx,PLAYER_IDENTITY_PRESENTATION
M,src/components/players/player-season-rank-view.tsx,PLAYER_IDENTITY_PRESENTATION
M,src/components/teams/team-roster-section.tsx,PUBLIC_METRIC_LABEL
M,src/content/learn/registry.ts,LEARN/COPY
M,src/data/providers/nba-data-provider.ts,PLAYER_IDENTITY_PRESENTATION
M,src/data/queries/percentiles.ts,PUBLIC_METRIC_LABEL
A,src/lib/drbl-public-labels.ts,LEARN/COPY
M,src/lib/learn-column-concepts.ts,LEARN/COPY
M,src/lib/player-destination.ts,PLAYER_IDENTITY_PRESENTATION
M,src/lib/player-explore-sort.ts,PUBLIC_METRIC_LABEL
M,src/lib/player-percentile-metrics.ts,PUBLIC_METRIC_LABEL
M,src/lib/player-savant.ts,PUBLIC_METRIC_LABEL
M,src/lib/player-season-sort.ts,PUBLIC_METRIC_LABEL
M,src/lib/player-stat-comps.ts,PRODUCT_PRESENTATION
M,src/lib/player-stat-views.ts,PUBLIC_METRIC_LABEL
A,src/lib/player-team-context.ts,PLAYER_IDENTITY_PRESENTATION
M,src/lib/stat-glossary.ts,LEARN/COPY
M,src/query-engine/coverage.ts,PUBLIC_METRIC_LABEL
M,src/query-engine/drbl-vocabulary.ts,LEARN/COPY
M,src/query-engine/execute.ts,PUBLIC_METRIC_LABEL
