candidate,quartile,nRows,meanSigma,MAE,RMSE,PI50,PI80,PI95,PI80_width,PI95_width,WIS
F0,Q1,406,3.006606707047779,2.9172129891773007,4.307517361001477,0.4433497536945813,0.6921182266009852,0.8719211822660099,6.944924465444964,11.588208458129808,7.072773837243211
F0,Q2,406,1.9245092363754488,1.815182817821142,2.5058541970505197,0.43842364532019706,0.7216748768472906,0.9039408866995073,4.475456929813351,7.410317506440679,4.231282728902725
F0,Q3,406,1.7643408509336282,1.3836033188418142,1.7865856073040511,0.4630541871921182,0.7832512315270936,0.9507389162561576,4.075575349340736,6.789709409206086,3.044322201747868
F0,Q4,406,1.6794544272784544,1.3189587733384913,1.7121183112140166,0.4605911330049261,0.7733990147783252,0.9532019704433498,3.7719977672914444,6.486927913684462,2.907856606474293
F1,Q1,406,3.0017508519864515,2.9172129891773007,4.307517361001477,0.4408866995073892,0.687192118226601,0.8596059113300493,6.942474923293195,11.373265194172351,7.104683492962832
F1,Q2,406,1.910033802482756,1.815182817821142,2.5058541970505197,0.43349753694581283,0.7019704433497537,0.8990147783251231,4.447813202376465,7.207019883837767,4.237940077300635
F1,Q3,406,1.7510698479914144,1.3836033188418142,1.7865856073040511,0.45566502463054187,0.7783251231527094,0.9458128078817734,4.0481224921389645,6.636557667667578,3.0422299824236942
F1,Q4,406,1.6875229344132312,1.3189587733384913,1.7121183112140166,0.4605911330049261,0.7783251231527094,0.9532019704433498,3.7920419198579327,6.477279287460537,2.9065719324562123
F2,Q1,406,3.0061312049659694,2.9172129891773007,4.307517361001477,0.4433497536945813,0.6921182266009852,0.8719211822660099,6.939352866344364,11.593999865605186,7.073397617428196
F2,Q2,406,1.9249044041459629,1.815182817821142,2.5058541970505197,0.43842364532019706,0.7216748768472906,0.9039408866995073,4.472803303918041,7.418116463936761,4.231287307578216
F2,Q3,406,1.7647023739200145,1.3836033188418142,1.7865856073040511,0.4630541871921182,0.7832512315270936,0.9507389162561576,4.074106022267856,6.79518497022309,3.0444746072344047
F2,Q4,406,1.6794544272784544,1.3189587733384913,1.7121183112140166,0.4605911330049261,0.7733990147783252,0.9532019704433498,3.7719977672914444,6.486927913684462,2.907856606474293
F3,Q1,406,3.010205173141808,2.9172129891773007,4.307517361001477,0.43349753694581283,0.6945812807881774,0.8694581280788177,6.969777563980987,11.576865341352597,7.066568208936069
F3,Q2,406,1.888892048982393,1.815182817821142,2.5058541970505197,0.4211822660098522,0.7068965517241379,0.8990147783251231,4.407765832130376,7.258551394950842,4.23401336308343
F3,Q3,406,1.7445755586633507,1.3836033188418142,1.7865856073040511,0.45320197044334976,0.7684729064039408,0.9482758620689655,4.046832712269352,6.695064479862878,3.0517619489717704
F3,Q4,406,1.6666936364232863,1.3189587733384913,1.7121183112140166,0.45566502463054187,0.7684729064039408,0.9458128078817734,3.737496496794864,6.42350249419851,2.9086558748964473
F_ALL,Q1,406,3.0056186938755727,2.9172129891773007,4.307517361001477,0.43103448275862066,0.6945812807881774,0.8620689655172413,6.959270824142485,11.380380619451612,7.097672724850298
F_ALL,Q2,406,1.8866136245678478,1.815182817821142,2.5058541970505197,0.41379310344827586,0.7044334975369458,0.8916256157635468,4.402788241553248,7.106339853268813,4.2421548316586986
F_ALL,Q3,406,1.734207473328561,1.3836033188418142,1.7865856073040511,0.45073891625615764,0.770935960591133,0.9433497536945813,4.021709339491359,6.560692135448998,3.049250398479019
F_ALL,Q4,406,1.6666936364232863,1.3189587733384913,1.7121183112140166,0.45566502463054187,0.7684729064039408,0.9458128078817734,3.737496496794864,6.42350249419851,2.9086558748964473
