candidate,fold,WIS,PI50,PI80,PI95,Q1_PI80,Q1_PI95,meanSigma
F0,F2,4.146738479932795,0.4884318766066838,0.7686375321336761,0.9203084832904884,0.732824427480916,0.8702290076335878,1.9745372091209952
F0,F3,4.446739634923042,0.4630541871921182,0.7339901477832512,0.9088669950738916,0.6481481481481481,0.8425925925925926,2.050684069097832
F0,F4,4.716457155717753,0.42718446601941745,0.7257281553398058,0.9077669902912622,0.6236559139784946,0.8602150537634409,2.1230213022873654
F0,F5,3.9433900560314576,0.4292565947242206,0.7434052757793765,0.9424460431654677,0.7702702702702703,0.9324324324324325,2.2178812303111615
F1,F2,4.183265965824489,0.46786632390745503,0.7429305912596401,0.9023136246786633,0.7175572519083969,0.8473282442748091,1.939859409129757
F1,F3,4.446739634923042,0.4630541871921182,0.7339901477832512,0.9088669950738916,0.6481481481481481,0.8425925925925926,2.050684069097832
F1,F4,4.716782475366682,0.42961165048543687,0.7281553398058253,0.9077669902912622,0.6236559139784946,0.8602150537634409,2.125105436133692
F1,F5,3.943255670581914,0.4316546762589928,0.7410071942446043,0.9376498800959233,0.7702702702702703,0.9054054054054054,2.2242847901163274
F2,F2,4.147553365086746,0.4884318766066838,0.7686375321336761,0.9203084832904884,0.732824427480916,0.8702290076335878,1.9748306862471816
F2,F3,4.446739634923042,0.4630541871921182,0.7339901477832512,0.9088669950738916,0.6481481481481481,0.8425925925925926,2.050684069097832
F2,F4,4.716457155717753,0.42718446601941745,0.7257281553398058,0.9077669902912622,0.6236559139784946,0.8602150537634409,2.1230213022873654
F2,F5,3.9433900560314576,0.4292565947242206,0.7434052757793765,0.9424460431654677,0.7702702702702703,0.9324324324324325,2.2178812303111615
F3,F2,4.149170547058674,0.4652956298200514,0.7403598971722365,0.9125964010282777,0.7175572519083969,0.8549618320610687,1.9522354057785116
F3,F3,4.444784724955959,0.4630541871921182,0.7413793103448276,0.9039408866995073,0.6574074074074074,0.8425925925925926,2.046561946323793
F3,F4,4.72245620924607,0.4199029126213592,0.720873786407767,0.9101941747572816,0.6236559139784946,0.8709677419354839,2.1026939557258997
F3,F5,3.9417358642280353,0.4172661870503597,0.7362110311750599,0.935251798561151,0.7972972972972973,0.9324324324324325,2.1999403658830445
F_ALL,F2,4.187510341924172,0.4524421593830334,0.7403598971722365,0.8920308483290489,0.7175572519083969,0.8320610687022901,1.9342493041324427
F_ALL,F3,4.444784724955959,0.4630541871921182,0.7413793103448276,0.9039408866995073,0.6574074074074074,0.8425925925925926,2.046561946323793
F_ALL,F4,4.72245620924607,0.4199029126213592,0.720873786407767,0.9101941747572816,0.6236559139784946,0.8709677419354839,2.1026939557258997
F_ALL,F5,3.9417358642280353,0.4172661870503597,0.7362110311750599,0.935251798561151,0.7972972972972973,0.9324324324324325,2.1999403658830445
