candidate,quartile,level,coverage,nominal,absDev
F0,Q1,50,0.4433497536945813,0.5,0.056650246305418706
F0,Q1,80,0.6921182266009852,0.8,0.10788177339901484
F0,Q1,95,0.8719211822660099,0.95,0.07807881773399006
F0,Q2,50,0.43842364532019706,0.5,0.061576354679802936
F0,Q2,80,0.7216748768472906,0.8,0.07832512315270945
F0,Q2,95,0.9039408866995073,0.95,0.046059113300492616
F0,Q3,50,0.4630541871921182,0.5,0.036945812807881784
F0,Q3,80,0.7832512315270936,0.8,0.016748768472906406
F0,Q3,95,0.9507389162561576,0.95,0.000738916256157629
F0,Q4,50,0.4605911330049261,0.5,0.0394088669950739
F0,Q4,80,0.7733990147783252,0.8,0.026600985221674867
F0,Q4,95,0.9532019704433498,0.95,0.0032019704433497997
F1,Q1,50,0.4408866995073892,0.5,0.05911330049261082
F1,Q1,80,0.687192118226601,0.8,0.11280788177339907
F1,Q1,95,0.8596059113300493,0.95,0.09039408866995069
F1,Q2,50,0.43349753694581283,0.5,0.06650246305418717
F1,Q2,80,0.7019704433497537,0.8,0.09802955665024637
F1,Q2,95,0.8990147783251231,0.95,0.050985221674876846
F1,Q3,50,0.45566502463054187,0.5,0.04433497536945813
F1,Q3,80,0.7783251231527094,0.8,0.021674876847290636
F1,Q3,95,0.9458128078817734,0.95,0.004187192118226601
F1,Q4,50,0.4605911330049261,0.5,0.0394088669950739
F1,Q4,80,0.7783251231527094,0.8,0.021674876847290636
F1,Q4,95,0.9532019704433498,0.95,0.0032019704433497997
F2,Q1,50,0.4433497536945813,0.5,0.056650246305418706
F2,Q1,80,0.6921182266009852,0.8,0.10788177339901484
F2,Q1,95,0.8719211822660099,0.95,0.07807881773399006
F2,Q2,50,0.43842364532019706,0.5,0.061576354679802936
F2,Q2,80,0.7216748768472906,0.8,0.07832512315270945
F2,Q2,95,0.9039408866995073,0.95,0.046059113300492616
F2,Q3,50,0.4630541871921182,0.5,0.036945812807881784
F2,Q3,80,0.7832512315270936,0.8,0.016748768472906406
F2,Q3,95,0.9507389162561576,0.95,0.000738916256157629
F2,Q4,50,0.4605911330049261,0.5,0.0394088669950739
F2,Q4,80,0.7733990147783252,0.8,0.026600985221674867
F2,Q4,95,0.9532019704433498,0.95,0.0032019704433497997
F3,Q1,50,0.43349753694581283,0.5,0.06650246305418717
F3,Q1,80,0.6945812807881774,0.8,0.10541871921182266
F3,Q1,95,0.8694581280788177,0.95,0.08054187192118223
F3,Q2,50,0.4211822660098522,0.5,0.0788177339901478
F3,Q2,80,0.7068965517241379,0.8,0.09310344827586214
F3,Q2,95,0.8990147783251231,0.95,0.050985221674876846
F3,Q3,50,0.45320197044334976,0.5,0.046798029556650245
F3,Q3,80,0.7684729064039408,0.8,0.03152709359605921
F3,Q3,95,0.9482758620689655,0.95,0.0017241379310344307
F3,Q4,50,0.45566502463054187,0.5,0.04433497536945813
F3,Q4,80,0.7684729064039408,0.8,0.03152709359605921
F3,Q4,95,0.9458128078817734,0.95,0.004187192118226601
F_ALL,Q1,50,0.43103448275862066,0.5,0.06896551724137934
F_ALL,Q1,80,0.6945812807881774,0.8,0.10541871921182266
F_ALL,Q1,95,0.8620689655172413,0.95,0.08793103448275863
F_ALL,Q2,50,0.41379310344827586,0.5,0.08620689655172414
F_ALL,Q2,80,0.7044334975369458,0.8,0.0955665024630542
F_ALL,Q2,95,0.8916256157635468,0.95,0.058374384236453136
F_ALL,Q3,50,0.45073891625615764,0.5,0.04926108374384236
F_ALL,Q3,80,0.770935960591133,0.8,0.029064039408867037
F_ALL,Q3,95,0.9433497536945813,0.95,0.006650246305418661
F_ALL,Q4,50,0.45566502463054187,0.5,0.04433497536945813
F_ALL,Q4,80,0.7684729064039408,0.8,0.03152709359605921
F_ALL,Q4,95,0.9458128078817734,0.95,0.004187192118226601
