candidate,feature,featureQuartile,n,meanFeature,meanSigma,MAE,RMSE,PI80,PI95,WIS
F1,R1,FQ1,406,0.6957559190600758,1.7408024610131057,1.3856129189793915,1.8392371293089993,0.7733990147783252,0.9458128078817734,3.062741354870229
F1,R1,FQ2,406,1.2007087098490654,1.8206094694703925,1.5927194613312365,2.1800707224220233,0.7389162561576355,0.9261083743842364,3.6002479054168277
F1,R1,FQ3,406,1.7792181212837155,1.9179661831871173,1.7599892126004266,2.539769063272561,0.7266009852216748,0.9088669950738916,4.14345967036792
F1,R1,FQ4,406,4.059000582907934,2.8709993232032374,2.696636306267699,4.046148767492155,0.7068965517241379,0.8768472906403941,6.484976554488403
F2,R2,FQ1,406,0.30817470824037385,1.8791581131167745,1.586245996112236,2.4597344016257177,0.7758620689655172,0.9507389162561576,3.646270365818578
F2,R2,FQ2,406,0.9319425630158866,1.9196051836640164,1.680334423023232,2.2748870531216445,0.729064039408867,0.9187192118226601,3.787015092055983
F2,R2,FQ3,406,1.7400356518896678,1.9457019166862939,1.758050504588794,2.5319157796894474,0.7339901477832512,0.9137931034482759,4.116305952811531
F2,R2,FQ4,406,4.650994575161922,2.6307271968433135,2.41032697545449,3.649828265765833,0.7315270935960592,0.896551724137931,5.707424728029008
F3,R3,FQ1,406,32.534981711516664,2.2438546637037486,2.0044241740913917,2.88183509706941,0.7118226600985221,0.9113300492610837,4.652098164891924
F3,R3,FQ2,406,37.808086944356816,2.0035993202854194,1.9150022256859778,2.7572936065973344,0.7068965517241379,0.8990147783251231,4.456485128298325
F3,R3,FQ3,406,41.39587231114973,1.979289290761336,1.8306160669084255,2.8795687182159893,0.7315270935960592,0.9113300492610837,4.302495643739455
F3,R3,FQ4,406,47.100782589281316,2.0836231424603366,1.6849154324929594,2.5995558761860647,0.7881773399014779,0.9408866995073891,3.8499204589580187
F_ALL,R1,FQ1,406,0.6957559190600758,1.722477335796546,1.3856129189793915,1.8392371293089993,0.7758620689655172,0.9408866995073891,3.0674820438001973
F_ALL,R1,FQ2,406,1.2007087098490654,1.8045417821817875,1.5927194613312365,2.1800707224220233,0.7364532019704434,0.9211822660098522,3.605426400984015
F_ALL,R1,FQ3,406,1.7792181212837155,1.897876154736584,1.7599892126004266,2.539769063272561,0.7192118226600985,0.9064039408866995,4.145103381740766
F_ALL,R1,FQ4,406,4.059000582907934,2.8682381554803538,2.696636306267699,4.046148767492155,0.7068965517241379,0.874384236453202,6.479722003359487
F_ALL,R2,FQ1,406,0.30817470824037385,1.8408109712388843,1.586245996112236,2.4597344016257177,0.7660098522167488,0.9433497536945813,3.653319040610875
F_ALL,R2,FQ2,406,0.9319425630158866,1.87996518799924,1.680334423023232,2.2748870531216445,0.7093596059113301,0.8990147783251231,3.810524653011757
F_ALL,R2,FQ3,406,1.7400356518896678,1.905932002260235,1.758050504588794,2.5319157796894474,0.7241379310344828,0.9039408866995073,4.129759939402753
F_ALL,R2,FQ4,406,4.650994575161922,2.6664252666969097,2.41032697545449,3.649828265765833,0.7389162561576355,0.896551724137931,5.704130196859076
F_ALL,R3,FQ1,406,32.534981711516664,2.2368135598596566,2.0044241740913917,2.88183509706941,0.7093596059113301,0.9014778325123153,4.662163062717154
F_ALL,R3,FQ2,406,37.808086944356816,1.9989634162186722,1.9150022256859778,2.7572936065973344,0.7068965517241379,0.8990147783251231,4.466433298671666
F_ALL,R3,FQ3,406,41.39587231114973,1.975744687804032,1.8306160669084255,2.8795687182159893,0.7364532019704434,0.9088669950738916,4.307314432912474
F_ALL,R3,FQ4,406,47.100782589281316,2.0816117643129095,1.6849154324929594,2.5995558761860647,0.7857142857142857,0.9334975369458128,3.861823035583169
