candidate,fold,WIS,PI50,PI80,PI95,Q1_PI80,Q1_PI95
U2,F2,4.146738479932795,0.4884318766066838,0.7686375321336761,0.9203084832904884,0.732824427480916,0.8702290076335878
U2,F3,4.446739634923042,0.4630541871921182,0.7339901477832512,0.9088669950738916,0.6481481481481481,0.8425925925925926
U2,F4,4.716457155717753,0.42718446601941745,0.7257281553398058,0.9077669902912622,0.6236559139784946,0.8602150537634409
U2,F5,3.9433900560314576,0.4292565947242206,0.7434052757793765,0.9424460431654677,0.7702702702702703,0.9324324324324325
M1,F2,4.16655629647698,0.4832904884318766,0.7737789203084833,0.9434447300771208,0.7175572519083969,0.9236641221374046
M1,F3,4.42512512525043,0.5123152709359606,0.7536945812807881,0.916256157635468,0.6666666666666666,0.9074074074074074
M1,F4,4.762332338660499,0.4587378640776699,0.7281553398058253,0.9029126213592233,0.5913978494623656,0.8602150537634409
M1,F5,3.971481266465463,0.4556354916067146,0.7553956834532374,0.947242206235012,0.7027027027027027,0.9054054054054054
M2,F2,4.151417728537393,0.48586118251928023,0.7763496143958869,0.9357326478149101,0.7251908396946565,0.8931297709923665
M2,F3,4.443945781880609,0.5073891625615764,0.7266009852216748,0.8768472906403941,0.6574074074074074,0.8611111111111112
M2,F4,4.729255874201821,0.41262135922330095,0.7135922330097088,0.8907766990291263,0.6129032258064516,0.8817204301075269
M2,F5,3.9425598522591114,0.4460431654676259,0.750599520383693,0.9448441247002398,0.7297297297297297,0.9324324324324325
