candidate,quartile,level,coverage,nominal,absDev
U2,Q1,50,0.4433497536945813,0.5,0.056650246305418706
U2,Q1,80,0.6921182266009852,0.8,0.10788177339901484
U2,Q1,95,0.8719211822660099,0.95,0.07807881773399006
U2,Q2,50,0.43842364532019706,0.5,0.061576354679802936
U2,Q2,80,0.7216748768472906,0.8,0.07832512315270945
U2,Q2,95,0.9039408866995073,0.95,0.046059113300492616
U2,Q3,50,0.4630541871921182,0.5,0.036945812807881784
U2,Q3,80,0.7832512315270936,0.8,0.016748768472906406
U2,Q3,95,0.9507389162561576,0.95,0.000738916256157629
U2,Q4,50,0.4605911330049261,0.5,0.0394088669950739
U2,Q4,80,0.7733990147783252,0.8,0.026600985221674867
U2,Q4,95,0.9532019704433498,0.95,0.0032019704433497997
Q2,Q1,50,0.3768472906403941,0.5,0.12315270935960593
Q2,Q1,80,0.6724137931034483,0.8,0.12758620689655176
Q2,Q1,95,0.8669950738916257,0.95,0.08300492610837429
Q2,Q2,50,0.4433497536945813,0.5,0.056650246305418706
Q2,Q2,80,0.729064039408867,0.8,0.07093596059113305
Q2,Q2,95,0.8940886699507389,0.95,0.055911330049261077
Q2,Q3,50,0.4827586206896552,0.5,0.017241379310344807
Q2,Q3,80,0.7980295566502463,0.8,0.0019704433497537144
Q2,Q3,95,0.9482758620689655,0.95,0.0017241379310344307
Q2,Q4,50,0.4827586206896552,0.5,0.017241379310344807
Q2,Q4,80,0.8349753694581281,0.8,0.03497536945812807
Q2,Q4,95,0.9532019704433498,0.95,0.0032019704433497997
M1,Q1,50,0.39901477832512317,0.5,0.10098522167487683
M1,Q1,80,0.6724137931034483,0.8,0.12758620689655176
M1,Q1,95,0.9014778325123153,0.95,0.048522167487684675
M1,Q2,50,0.46798029556650245,0.5,0.03201970443349755
M1,Q2,80,0.7364532019704434,0.8,0.06354679802955665
M1,Q2,95,0.9137931034482759,0.95,0.036206896551724044
M1,Q3,50,0.5221674876847291,0.5,0.022167487684729092
M1,Q3,80,0.7881773399014779,0.8,0.011822660098522175
M1,Q3,95,0.9482758620689655,0.95,0.0017241379310344307
M1,Q4,50,0.5197044334975369,0.5,0.019704433497536922
M1,Q4,80,0.812807881773399,0.8,0.012807881773398977
M1,Q4,95,0.9458128078817734,0.95,0.004187192118226601
M2,Q1,50,0.39655172413793105,0.5,0.10344827586206895
M2,Q1,80,0.6822660098522167,0.8,0.1177339901477833
M2,Q1,95,0.8891625615763546,0.95,0.06083743842364531
M2,Q2,50,0.4630541871921182,0.5,0.036945812807881784
M2,Q2,80,0.7339901477832512,0.8,0.06600985221674882
M2,Q2,95,0.916256157635468,0.95,0.033743842364531984
M2,Q3,50,0.5197044334975369,0.5,0.019704433497536922
M2,Q3,80,0.7783251231527094,0.8,0.021674876847290636
M2,Q3,95,0.9211822660098522,0.95,0.028817733990147754
M2,Q4,50,0.47044334975369456,0.5,0.029556650246305438
M2,Q4,80,0.770935960591133,0.8,0.029064039408867037
M2,Q4,95,0.9211822660098522,0.95,0.028817733990147754
