player,playerId,oldRank,newRank,oldWar,newWar,possessions,creationPer100,connectionPer100,executionPer100
Shai Gilgeous-Alexander,1628983,1,1,10.01,10.01,9235,1.29,0.08,6.86
Kawhi Leonard,202695,2,2,8.16,8.16,8540,0.96,0.03,6.37
Jalen Duren,1631105,3,3,6.64,6.64,8146,0.83,0.01,5.96
Tyrese Maxey,1630178,4,4,5.55,5.55,10951,0.78,0.05,4.91
Victor Wembanyama,1641705,5,5,5.45,5.45,7784,1.1,0.03,5.14
Kevin Durant,201142,6,6,5.32,5.32,11517,0.8,0.03,6.09
Donovan Mitchell,1628378,7,7,5.29,5.29,9900,0.94,0.08,5.35
Nikola Jokić,203999,8,8,5.18,5.18,9758,1.08,0.1,5.39
Anthony Edwards,1630162,9,9,4.91,4.91,8938,0.96,0.05,5.61
Lauri Markkanen,1628374,10,10,4.79,4.79,6266,1.04,0.03,4.79
Kon Knueppel,1642851,11,11,4.68,4.68,10376,0.5,0.05,4.61
Desmond Bane,1630217,12,12,4.29,4.29,11232,0.56,0.05,4.42
Norman Powell,1626181,13,13,4.16,4.16,7564,1.08,0.03,4.5
Luka Dončić,1629029,14,14,4.04,4.04,9501,1.42,0.07,5.4
Zion Williamson,1629627,15,15,4.02,4.02,7789,1.21,0.04,5
Trey Murphy III,1630530,16,16,3.95,3.95,9748,0.58,0.04,3.89
Chet Holmgren,1631096,17,17,3.8,3.8,8379,0.61,0.02,3.88
Ayo Dosunmu,1630245,18,18,3.79,3.79,8119,0.39,0.04,4.34
Nickeil Alexander-Walker,1629638,19,19,3.63,3.63,11222,0.62,0.03,3.93
Isaiah Joe,1630198,20,20,3.62,3.62,6182,0.47,0.01,3.49
Giannis Antetokounmpo,203507,21,21,3.61,3.61,4232,1.65,0.08,7.09
Neemias Queta,1629674,22,22,3.58,3.58,7536,0.41,0.01,3.45
Jimmy Butler III,202710,23,23,3.53,3.53,4853,1.12,0.05,4.35
Javonte Green,1629750,24,24,3.36,3.36,6387,0.47,0.02,2.54
OG Anunoby,1628384,25,25,3.35,3.35,8823,0.55,0.04,3.23
Keldon Johnson,1629640,26,26,3.32,3.32,8028,0.54,0.02,3.83
Sandro Mamukelashvili,1630572,27,27,3.17,3.17,7199,0.45,0.03,3.38
Stephen Curry,201939,28,28,3,3,5745,0.83,0.04,5.66
Michael Porter Jr.,1629008,29,29,2.98,2.98,6830,0.84,0.04,5
Moses Moody,1630541,30,30,2.96,2.96,6468,0.5,0.02,3.01
Jamal Murray,1627750,31,31,2.92,2.91,10970,0.77,0.06,4.99
Tim Hardaway Jr.,203501,32,32,2.88,2.88,8754,0.57,0.01,3.07
Tre Jones,1630200,33,33,2.79,2.79,7641,0.75,0.09,3.38
Mark Williams,1631109,34,34,2.72,2.72,5935,0.67,0.02,3.73
Sam Merrill,1630241,35,35,2.62,2.62,5636,0.3,0.04,3.5
Julian Champagnie,1630577,36,36,2.59,2.59,9440,0.41,0.02,2.37
Luke Kennard,1628379,37,37,2.58,2.58,6978,0.19,0.04,3.57
Saddiq Bey,1630180,39,38,2.52,2.52,9453,0.66,0.03,3.26
Payton Pritchard,1630202,38,39,2.52,2.52,10030,0.37,0.03,4.11
Jarrett Allen,1628386,40,40,2.51,2.51,6448,0.76,0.02,3.83
Robert Williams III,1629057,41,41,2.48,2.48,4265,0.47,0.02,3.27
Mikal Bridges,1628969,42,42,2.48,2.48,10732,0.27,0.05,2.92
Ja'Kobe Walter,1642266,43,43,2.42,2.42,6062,0.37,0.02,2.34
Jalen Brunson,1628973,44,44,2.42,2.42,10268,0.8,0.1,5.05
Kel'el Ware,1642276,45,45,2.4,2.4,7445,0.34,0.01,3.17
Reed Sheppard,1642263,46,46,2.38,2.38,8653,0.26,0.04,3.65
Duncan Robinson,1629130,47,47,2.37,2.37,8698,0.3,0.02,2.87
Daniel Gafford,1629655,48,48,2.33,2.33,4980,0.65,0.01,3.29
Jaxson Hayes,1629637,49,49,2.33,2.33,4934,0.62,0.02,3.48
Cason Wallace,1641717,50,50,2.26,2.26,8408,0.26,0.03,1.82
Sam Hauser,1630573,51,51,2.24,2.24,7898,0.12,0.03,2.73
Ryan Kalkbrenner,1641750,52,52,2.22,2.22,6205,0.39,0.01,3.27
Naji Marshall,1630230,53,53,2.2,2.2,9293,0.79,0.06,2.92
Tristan da Silva,1641783,54,54,2.19,2.19,7730,0.3,0.04,2.63
Tobias Harris,202699,55,55,2.19,2.19,6969,0.44,0.03,3.44
Jerami Grant,203924,56,56,2.14,2.14,7350,0.91,0.03,4.06
Miles McBride,1630540,57,57,2.13,2.13,4395,0.31,0.04,3.45
Ziaire Williams,1630533,58,58,2.12,2.12,5297,0.7,0.02,2.25
Vít Krejčí,1630249,59,59,2.07,2.07,5966,0.31,0.02,2.67
Collin Sexton,1629012,60,60,2.06,2.06,6787,0.79,0.05,4.2
Justin Champagnie,1630551,61,61,2.02,2.02,5788,0.47,0.05,2.81
Rudy Gobert,203497,62,62,1.98,1.98,9903,0.53,0.01,2.39
Mitchell Robinson,1629011,63,63,1.98,1.98,4669,0.46,0.02,2.13
Paul Reed,1630194,64,64,1.91,1.91,3883,0.5,0,4.25
Marvin Bagley III,1628963,65,65,1.91,1.91,5149,0.69,0.02,3.71
Brandon Miller,1641706,66,66,1.89,1.89,8072,0.71,0.04,4.46
Luka Garza,1630568,67,67,1.85,1.85,4589,0.43,0.01,4.01
John Collins,1628381,68,68,1.84,1.84,7593,0.5,0.02,3.62
Matisse Thybulle,1629680,69,69,1.79,1.79,2049,0.28,0.03,2.4
Jaren Jackson Jr.,1628991,70,70,1.78,1.78,5984,0.73,0.02,3.78
Gary Payton II,1627780,71,71,1.78,1.78,4658,0.29,0.02,3.85
Amen Thompson,1641708,72,72,1.75,1.75,12012,0.64,0.04,3.7
