rank,playerId,playerName,actualPossessions,drblWar,seasonalImpact,drbl100,drblP,creationValuePer100,connectionValuePer100,conversionOpportunityPer100,executionValuePer100,turnoverValuePer100,defensiveValuePer100,finalRankingScore,rankingMode,sequentialAttributionVersion
1,1628983,Shai Gilgeous-Alexander,9235,10.01,300.44,1.27,3.18,1.29,0.08,-3.3,6.86,-1.81,0.18,10.01461,season_value,drbl-seq-attr-v1
2,202695,Kawhi Leonard,8540,8.16,244.92,1.11,2.8,0.96,0.03,-2.75,6.37,-1.84,0.13,8.163961,season_value,drbl-seq-attr-v1
3,1631105,Jalen Duren,8146,6.64,199.3,0.95,2.39,0.83,0.01,-2.15,5.96,-1.86,-0.33,6.643228,season_value,drbl-seq-attr-v1
4,1630178,Tyrese Maxey,10951,5.55,166.51,0.6,1.49,0.78,0.05,-2.28,4.91,-1.8,-0.1,5.5504,season_value,drbl-seq-attr-v1
5,1641705,Victor Wembanyama,7784,5.45,163.4,0.81,2.05,1.1,0.03,-2.57,5.14,-2.23,0.66,5.446515,season_value,drbl-seq-attr-v1
6,201142,Kevin Durant,11517,5.32,159.53,0.54,1.36,0.8,0.03,-2.27,6.09,-2.52,-0.69,5.317826,season_value,drbl-seq-attr-v1
7,1628378,Donovan Mitchell,9900,5.29,158.7,0.63,1.57,0.94,0.08,-2.18,5.35,-2.26,-0.27,5.290007,season_value,drbl-seq-attr-v1
8,203999,Nikola Jokić,9758,5.18,155.31,0.62,1.56,1.08,0.1,-1.88,5.39,-2.81,-0.24,5.176958,season_value,drbl-seq-attr-v1
9,1630162,Anthony Edwards,8938,4.91,147.18,0.64,1.61,0.96,0.05,-2.3,5.61,-2.23,-0.39,4.906018,season_value,drbl-seq-attr-v1
10,1628374,Lauri Markkanen,6266,4.79,143.76,0.88,2.22,1.04,0.03,-1.69,4.79,-1.15,-0.66,4.791885,season_value,drbl-seq-attr-v1
11,1642851,Kon Knueppel,10376,4.68,140.35,0.53,1.33,0.5,0.05,-1.31,4.61,-1.8,-0.67,4.678338,season_value,drbl-seq-attr-v1
12,1630217,Desmond Bane,11232,4.29,128.84,0.45,1.13,0.56,0.05,-1.87,4.42,-1.58,-0.4,4.294571,season_value,drbl-seq-attr-v1
13,1626181,Norman Powell,7564,4.16,124.76,0.64,1.61,1.08,0.03,-1.85,4.5,-1.63,-0.44,4.158773,season_value,drbl-seq-attr-v1
14,1629029,Luka Dončić,9501,4.04,121.17,0.5,1.25,1.42,0.07,-2.41,5.4,-2.95,-0.2,4.039083,season_value,drbl-seq-attr-v1
15,1629627,Zion Williamson,7789,4.02,120.55,0.6,1.51,1.21,0.04,-2.11,5,-1.82,-0.74,4.018428,season_value,drbl-seq-attr-v1
16,1630530,Trey Murphy III,9748,3.95,118.58,0.47,1.19,0.58,0.04,-1.32,3.89,-1.44,-0.5,3.952802,season_value,drbl-seq-attr-v1
17,1631096,Chet Holmgren,8379,3.8,113.96,0.53,1.33,0.61,0.02,-1.73,3.88,-1.58,0.18,3.798554,season_value,drbl-seq-attr-v1
18,1630245,Ayo Dosunmu,8119,3.79,113.74,0.54,1.37,0.39,0.04,-1.41,4.34,-1.41,-0.48,3.791184,season_value,drbl-seq-attr-v1
19,1629638,Nickeil Alexander-Walker,11222,3.63,108.88,0.38,0.95,0.62,0.03,-1.55,3.93,-1.68,-0.33,3.629468,season_value,drbl-seq-attr-v1
20,1630198,Isaiah Joe,6182,3.62,108.47,0.67,1.7,0.47,0.01,-1.22,3.49,-0.87,-0.09,3.615545,season_value,drbl-seq-attr-v1
21,203507,Giannis Antetokounmpo,4232,3.61,108.2,0.95,2.44,1.65,0.08,-2.98,7.09,-2.99,-0.27,3.606574,season_value,drbl-seq-attr-v1
22,1629674,Neemias Queta,7536,3.58,107.32,0.55,1.39,0.41,0.01,-1.35,3.45,-1.21,0.13,3.577296,season_value,drbl-seq-attr-v1
23,202710,Jimmy Butler III,4853,3.53,106.04,0.82,2.1,1.12,0.05,-1.66,4.35,-1.49,-0.13,3.534621,season_value,drbl-seq-attr-v1
24,1629750,Javonte Green,6387,3.36,100.77,0.6,1.53,0.47,0.02,-0.9,2.54,-1.07,0.57,3.359144,season_value,drbl-seq-attr-v1
25,1628384,OG Anunoby,8823,3.35,100.58,0.44,1.11,0.55,0.04,-1.17,3.23,-1.56,0.08,3.352546,season_value,drbl-seq-attr-v1
26,1629640,Keldon Johnson,8028,3.32,99.57,0.48,1.21,0.54,0.02,-1.66,3.83,-1.07,-0.39,3.318949,season_value,drbl-seq-attr-v1
