playerId,player,score400_original,scoreFull_fixedFit,scoreFull_refit,deltaEvidence,deltaRefit,deltaTotal,status,note
203999,Nikola Jokić,1.0022,,1.5315,,,0.5293000000000001,NOT_IDENTIFIABLE_FIXED_FIT,"FIXED_FIT_MORE_DATA for fusion requires applying frozen 400-game fold betas — framework ready, run deferred to validation harness"
1628983,Shai Gilgeous-Alexander,0.266,,1.2962,,,1.0302,NOT_IDENTIFIABLE_FIXED_FIT,"FIXED_FIT_MORE_DATA for fusion requires applying frozen 400-game fold betas — framework ready, run deferred to validation harness"
1630532,Franz Wagner,0.6134,,1.3178,,,0.7044000000000001,NOT_IDENTIFIABLE_FIXED_FIT,"FIXED_FIT_MORE_DATA for fusion requires applying frozen 400-game fold betas — framework ready, run deferred to validation harness"
1641705,Victor Wembanyama,0.0187,,1.7019,,,1.6832,NOT_IDENTIFIABLE_FIXED_FIT,"FIXED_FIT_MORE_DATA for fusion requires applying frozen 400-game fold betas — framework ready, run deferred to validation harness"
1626181,Norman Powell,0.2985,,1.1709,,,0.8724000000000001,NOT_IDENTIFIABLE_FIXED_FIT,"FIXED_FIT_MORE_DATA for fusion requires applying frozen 400-game fold betas — framework ready, run deferred to validation harness"
1630202,Payton Pritchard,0.837,,0.9881,,,0.1511,NOT_IDENTIFIABLE_FIXED_FIT,"FIXED_FIT_MORE_DATA for fusion requires applying frozen 400-game fold betas — framework ready, run deferred to validation harness"
1629675,Naz Reid,0.4651,,0.9686,,,0.5035000000000001,NOT_IDENTIFIABLE_FIXED_FIT,"FIXED_FIT_MORE_DATA for fusion requires applying frozen 400-game fold betas — framework ready, run deferred to validation harness"
202710,Jimmy Butler,0.8493,,1.3221,,,0.4728,NOT_IDENTIFIABLE_FIXED_FIT,"FIXED_FIT_MORE_DATA for fusion requires applying frozen 400-game fold betas — framework ready, run deferred to validation harness"
1628991,Jaren Jackson Jr.,0.5942,,0.872,,,0.27780000000000005,NOT_IDENTIFIABLE_FIXED_FIT,"FIXED_FIT_MORE_DATA for fusion requires applying frozen 400-game fold betas — framework ready, run deferred to validation harness"
203897,Zach LaVine,-0.1608,,0.6579,,,0.8187,NOT_IDENTIFIABLE_FIXED_FIT,"FIXED_FIT_MORE_DATA for fusion requires applying frozen 400-game fold betas — framework ready, run deferred to validation harness"
1627826,Ivica Zubac,-0.1519,,0.6676,,,0.8195,NOT_IDENTIFIABLE_FIXED_FIT,"FIXED_FIT_MORE_DATA for fusion requires applying frozen 400-game fold betas — framework ready, run deferred to validation harness"
201942,DeMar DeRozan,0.5011,,0.6094,,,0.10830000000000006,NOT_IDENTIFIABLE_FIXED_FIT,"FIXED_FIT_MORE_DATA for fusion requires applying frozen 400-game fold betas — framework ready, run deferred to validation harness"
1631165,Keon Ellis,0.0829,,0.9171,,,0.8342,NOT_IDENTIFIABLE_FIXED_FIT,"FIXED_FIT_MORE_DATA for fusion requires applying frozen 400-game fold betas — framework ready, run deferred to validation harness"
