panelId,focalId,side,baseCredit,leaveMean,leaveSD,leaveMin,leaveMax,maxAbsDelta
0022400640:0022400640-p0145:def:1630596,1630596,def,0.09026021858113231,0.09026021858113231,0.018015011688968224,0.06465177472920192,0.11304695579216673,0.025608443851930396
0022400709:0022400709-p0095:def:1629028,1629028,def,-0.1194407576250045,-0.11944075762500445,0.02084628076765052,-0.1416425594192703,-0.09214891173715278,0.027291845887851718
0022400682:0022400682-p0096:def:1630567,1630567,def,0.009538207828844736,0.00953820782884481,0.014787973141181595,-0.013269667142743358,0.027150932574441677,0.022807874971588094
0022400626:0022400626-p0111:def:1628370,1628370,def,-0.08517001097405674,-0.08517001097405652,0.04016494730363704,-0.12550593263039156,-0.04517824980376384,0.04033592165633482
0022400687:0022400687-p0148:def:1641718,1641718,def,-0.06135044586618266,-0.06135044586618266,0.020245214121597056,-0.0829304972458964,-0.034965888284027136,0.02638455758215552
0022400618:0022400618-p0157:def:1629012,1629012,def,0.012928667149846751,0.012928667149846773,0.01581934123969637,-0.0048803659648359865,0.0339936128823235,0.021064945732476748
0022400597:0022400597-p0149:def:203924,203924,def,-0.03936346491038312,-0.03936346491038319,0.013951354867385876,-0.054347243106126486,-0.01856311083133555,0.020800354079047567
0022400573:0022400573-p0154:def:201142,201142,def,-0.012088089955728076,-0.012088089955728113,0.022016471541748947,-0.03510682699150647,0.018202493562167632,0.03029058351789571
0022400673:0022400673-p0049:def:1628983,1628983,def,0.09884574434994031,0.09884574434994023,0.020278295409663895,0.07761042056115375,0.12694619476769764,0.028100450417757328
0022400634:0022400634-p0148:def:1630162,1630162,def,0.03758686437229963,0.03758686437229958,0.015628278142418763,0.022395619892545682,0.060851880248846246,0.023265015876546613
0022400695:0022400695-p0107:def:1630581,1630581,def,-0.08243768315432853,-0.08243768315432845,0.016491156800057336,-0.1001488861254054,-0.05937018014416262,0.023067503010165913
0022400655:0022400655-p0104:def:203897,203897,def,0.05567553418587323,0.05567553418587312,0.011285641299298889,0.04130824485459694,0.07001997658121017,0.01436728933127629
0022400665:0022400665-p0148:def:1630567,1630567,def,0.05519988375037388,0.0551998837503739,0.022318005921779387,0.03105805574982201,0.08528460112091707,0.03008471737054319
0022400655:0022400655-p0053:def:203897,203897,def,0.06890354434780832,0.06890354434780832,0.01195989541997601,0.05434180273712963,0.08542996279903625,0.01652641845122793
0022400608:0022400608-p0137:def:1641783,1641783,def,-0.03178419884283923,-0.03178419884283923,0.015005782806471624,-0.045656836145310686,-0.010600029161870972,0.021184169680968257
0022400610:0022400610-p0152:def:1629673,1629673,def,0.003596082383976462,0.003596082383976351,0.022731907185742244,-0.019609026958727238,0.03125403529422832,0.02765795291025186
0022400637:0022400637-p0095:def:1630163,1630163,def,0.011050721384295192,0.01105072138429528,0.019198225856315847,-0.011080287299901848,0.03555208100647045,0.024501359622175256
0022400604:0022400604-p0146:def:203471,203471,def,-0.07213540192843437,-0.07213540192843433,0.013131652773549982,-0.08564805388560859,-0.05077040550237566,0.021364996426058713
0022400669:0022400669-p0146:def:1631099,1631099,def,0.043441960572992655,0.04344196057299271,0.013693903041679122,0.03142728994309063,0.06390180699778714,0.02045984642479448
0022400638:0022400638-p0160:def:1641783,1641783,def,0.04270874303221428,0.04270874303221435,0.016413479528286878,0.02552080797895162,0.0651965276557005,0.022487784623486218
0022400576:0022400576-p0097:def:201942,201942,def,-0.026547016618083452,-0.026547016618083497,0.02033993246219554,-0.04862893913411859,0.0034659452206333707,0.030012961838716823
0022400573:0022400573-p0102:def:1626145,1626145,def,-0.042714526077459736,-0.04271452607745968,0.01771472729394253,-0.061778578074465074,-0.016797253404662316,0.02591727267279742
0022400658:0022400658-p0101:def:1627752,1627752,def,0.06485892560450779,0.06485892560450783,0.01896611384877768,0.04468978736316731,0.09217872021230855,0.027319794607800763
0022400691:0022400691-p0053:def:1629652,1629652,def,-0.08178854709660854,-0.08178854709660856,0.012920013840773476,-0.09667515368262003,-0.06253565251353133,0.019252894583077218
0022400584:0022400584-p0151:def:1629632,1629632,def,-0.04201983953552291,-0.04201983953552287,0.012948362225894305,-0.056803453530902326,-0.023196960397048993,0.018822879138473914
