season,teamId,R1BaselineNetPoints,offV0Sum,defV0Sum,offPoss,defPoss
2025-26,1610612737,132.8007209115749,9442.245407930632,9309.444687019057,8429,8424
2025-26,1610612738,352.95436593129307,8911.938663242294,8558.984297311,7860,7857
2025-26,1610612739,183.98999373877268,9297.058516868392,9113.06852312962,8298,8309
2025-26,1610612740,-223.78508034993138,9169.515119775664,9393.300200125595,8367,8369
2025-26,1610612741,-292.5952375998222,9280.418986379127,9573.01422397895,8488,8470
2025-26,1610612742,-307.96891042279276,9135.473400198345,9443.442310621138,8373,8376
2025-26,1610612743,237.84774774077778,9269.587266407021,9031.739518666243,8259,8260
2025-26,1610612744,-62.58674906160195,9113.57211018996,9176.158859251562,8246,8244
2025-26,1610612745,329.00918688143975,9098.349867375675,8769.340680494235,8057,8048
2025-26,1610612746,77.32279304409167,8936.040330231794,8858.717537187702,8008,8014
2025-26,1610612747,98.36517300157539,9121.485874833761,9023.120701832186,8169,8148
2025-26,1610612748,189.23715216040728,9598.929915960483,9409.692763800076,8558,8543
2025-26,1610612749,-299.97228022958916,8833.800242036736,9133.772522266325,8069,8100
2025-26,1610612750,128.00329583470375,9346.095538350066,9218.092242515362,8361,8371
2025-26,1610612751,-490.32889318161506,8708.865257005167,9199.194150186782,8024,8031
2025-26,1610612752,236.05832922346417,8934.755539164233,8698.697209940769,7950,7924
2025-26,1610612753,48.705367837364975,8927.186329089032,8878.480961251667,8022,8024
2025-26,1610612754,-428.7929204530665,9093.70231026617,9522.495230719236,8371,8394
2025-26,1610612755,46.49563282426425,9259.919356192364,9213.4237233681,8315,8307
2025-26,1610612756,102.35733422660451,9038.19462632609,8935.837292099486,8089,8089
2025-26,1610612757,-0.9847275625070324,9301.561235791847,9302.545963354354,8375,8389
2025-26,1610612758,-444.0758262183663,8935.298300243308,9379.374126461675,8227,8234
2025-26,1610612759,504.2005158899392,9310.797128183289,8806.59661229335,8173,8156
2025-26,1610612760,468.3891931539929,9356.526155115042,8888.136961961049,8182,8178
2025-26,1610612761,128.8127193664659,9115.85282860781,8987.040109241345,8160,8157
2025-26,1610612762,-466.2748558170606,9313.655289189135,9779.930145006196,8535,8561
2025-26,1610612763,-206.88191865457702,8965.761088207875,9172.643006862452,8176,8159
2025-26,1610612764,-635.1532073824492,9082.521734930733,9717.674942313182,8416,8440
2025-26,1610612765,353.33857327462283,9224.571614346889,8871.233041072266,8144,8160
2025-26,1610612766,241.51251189195136,9044.451586883262,8802.939074991311,8053,8018
