season,teamId,TeamR1Points,TeamR1WinEq,ApproachBPlayerStableSum,ApproachBAttributedAccounting,ActualNetPoints
2025-26,1610612737,179.02043222325773,4.775067162470128,179.020432223258,179.02043222325693,198
2025-26,1610612738,346.40727011489054,9.23982787787972,346.4072701148907,346.4072701148884,631
2025-26,1610612739,220.2010232801698,5.873489759516149,220.20102328017236,220.20102328017094,338
2025-26,1610612740,-17.485652916215766,-0.46640020928138803,-17.485652916214498,-17.485652916215543,-369
2025-26,1610612741,-26.046817370250448,-0.6947547872995306,-26.046817370251315,-26.046817370249244,-427
2025-26,1610612742,-17.71527962765829,-0.472525113326239,-17.71527962765709,-17.715279627657594,-440
2025-26,1610612743,263.8529482379754,7.0378310073614205,263.85294823797585,263.8529482379737,422
2025-26,1610612744,97.47651762308024,2.60002119664998,97.47651762308267,97.47651762308254,-46
2025-26,1610612745,186.25059462541634,4.967919512546112,186.2505946254161,186.2505946254162,428
2025-26,1610612746,106.15077920980232,2.831392449344629,106.15077920980438,106.15077920980315,93
2025-26,1610612747,128.9120614675863,3.438511145993257,128.91206146758677,128.91206146758577,144
2025-26,1610612748,115.42376948348046,3.0787337768335745,115.42376948348125,115.42376948348294,191
2025-26,1610612749,-94.64405062272704,-2.5244699313882615,-94.64405062272519,-94.6440506227247,-509
2025-26,1610612750,232.67883985625286,6.206314406690914,232.6788398562535,232.6788398562555,275
2025-26,1610612751,-193.13787973357094,-5.151626190884955,-193.13787973356915,-193.13787973357,-819
2025-26,1610612752,356.5253933945512,9.509711698505729,356.5253933945495,356.5253933945513,507
2025-26,1610612753,144.91458698288295,3.8653514410126992,144.91458698288534,144.9145869828858,74
2025-26,1610612754,-103.04560851576763,-2.74856727441455,-103.04560851576736,-103.04560851576707,-655
2025-26,1610612755,65.854464672117,1.756556432428396,65.85446467212041,65.8544646721221,-15
2025-26,1610612756,115.16989732204124,3.0719621664285572,115.16989732204203,115.16989732204354,120
2025-26,1610612757,109.4327472875643,2.918933395379505,109.43274728756455,109.43274728756455,-24
2025-26,1610612758,-277.03192310506313,-7.389357865727892,-277.0319231050611,-277.0319231050619,-820
2025-26,1610612759,277.7608018786539,7.408799473895023,277.76080187865574,277.76080187865546,679
2025-26,1610612760,539.3239628509527,14.385554279810684,539.323962850953,539.3239628509541,916
2025-26,1610612761,204.94180299485967,5.466475873981489,204.9418029948605,204.94180299486044,232
2025-26,1610612762,-94.8712606151947,-2.5305303735430678,-94.87126061519322,-94.87126061519342,-691
2025-26,1610612763,-197.3605456056506,-5.264258659109056,-197.36054560564924,-197.36054560564958,-503
2025-26,1610612764,-244.6769365269349,-6.526343336980094,-244.6769365269335,-244.67693652693157,-983
2025-26,1610612765,414.98309272103745,11.068971929200176,414.98309272103677,414.9830927210375,657
2025-26,1610612766,242.90937152533166,6.479196530931938,242.90937152533297,242.9093715253353,396
