candidate,decile,n,mean_prediction,mean_target,residual
IDENTITY,1,163,-1.128523920030787,-1.094378682636377,-0.03414523739440938
IDENTITY,2,163,-0.5751568320793753,-0.3520346398484,-0.22312219223097512
IDENTITY,3,163,-0.3735150626468159,-0.47339923069758866,0.09988416805077284
IDENTITY,4,163,-0.22475933815725027,-0.6499019704253091,0.4251426322680584
IDENTITY,5,163,-0.08506879142072195,-0.42910158828665346,0.3440327968659313
IDENTITY,6,163,0.07375299281494123,-0.5545936068244743,0.6283465996394152
IDENTITY,7,163,0.24271608029895742,0.3297260584057297,-0.0870099781067723
IDENTITY,8,163,0.42429655869919836,0.3997243349468223,0.024572223752376367
IDENTITY,9,163,0.706870168516756,0.26747509504584566,0.4393950734709109
IDENTITY,10,157,1.285848474810581,1.1394202872647246,0.1464281875458566
ZERO_LINEAR,1,163,-1.0925330796427482,-1.1289885569737403,0.03645547733099328
ZERO_LINEAR,2,163,-0.5591244887139187,-0.40151040963428386,-0.15761407907963465
ZERO_LINEAR,3,163,-0.36023812311865266,-0.4537988946380103,0.09356077151935745
ZERO_LINEAR,4,163,-0.21870080329573166,-0.5886628458941887,0.36996204259845705
ZERO_LINEAR,5,163,-0.08258891269336709,-0.4258554047541048,0.3432664920607376
ZERO_LINEAR,6,163,0.07234950745209914,-0.4875593270862147,0.5599088345383139
ZERO_LINEAR,7,163,0.23627073805534426,0.19855730630059612,0.037713431754748096
ZERO_LINEAR,8,163,0.41359001594558037,0.4719955770389135,-0.05840556109333285
ZERO_LINEAR,9,163,0.6813960280531068,0.29438750177408846,0.3870085262790184
ZERO_LINEAR,10,157,1.250093303257146,1.1030316518385206,0.14706165141862512
