k,predSD,pearsonRawPost,spearmanRawPost,meanAbsShrink,medianReliability
0,1.8316394723669587,1,1,0,1
25,1.6372168998547914,0.9929718308012666,0.9993726627237476,0.08405959696778215,0.9816849816849816
50,1.5195752722952496,0.9804473864546956,0.9980048518727995,0.14521141252725225,0.9640287769784173
100,1.3737846361438748,0.9548472080751068,0.9943524602630233,0.23416107697594413,0.9305555555555556
200,1.2100870316847099,0.9146053849276403,0.9863454663048532,0.3518540959369628,0.8701298701298701
400,1.0320839062156588,0.8647061027208344,0.9721827239748713,0.4957126712685405,0.7701149425287356
800,0.8399529764409924,0.8122271036396989,0.9523458154374347,0.6587288885870131,0.6261682242990654
1200,0.7233928862906647,0.7823434894900337,0.9394668539863628,0.7577630967913668,0.5275590551181102
1600,0.6407409176716906,0.761988255290572,0.9302876279700348,0.8271644899361663,0.4557823129251701
2400,0.5272960845091726,0.7349917326789385,0.9184856483744112,0.9206430946689521,0.3582887700534759
3200,0.4510261843056187,0.7173540890824823,0.9109915931180995,0.9820288497197425,0.29515418502202645
4800,0.35255040104926877,0.6950845202857573,0.9018395638312261,1.0592299278822406,0.2182410423452769
6400,0.2906322806214777,0.681332435847993,0.8965292228507356,1.1064536834625747,0.1731266149870801
9600,0.2160244395337155,0.664986583265906,0.8906395958483393,1.1618868557492623,0.12248628884826325
12800,0.1722734316402006,0.6555059221626002,0.8872645011426761,1.1936057537263078,0.09476661951909476
