k,intercept,slope,predSD,targetSD
0,-0.12517765532239236,0.2240549947874075,1.8316394723669587,2.75321568850393
25,-0.12661142046733856,0.27042942272393466,1.6372168998547914,2.75321568850393
50,-0.12857960574130525,0.30607577933050617,1.5195752722952496,2.75321568850393
100,-0.13269392109597447,0.3602763577741918,1.3737846361438748,2.75321568850393
200,-0.13988323150028406,0.43638374493636656,1.2100870316847099,2.75321568850393
400,-0.15017070776358535,0.5403708015449955,1.0320839062156588,2.75321568850393
800,-0.16234588607458506,0.6884122893289094,0.8399529764409924,2.75321568850393
1200,-0.1695682279818298,0.8087957142133397,0.7233928862906647,2.75321568850393
1600,-0.17445446257676828,0.9172685794965231,0.6407409176716906,2.75321568850393
2400,-0.1807404268179423,1.1167034912792733,0.5272960845091726,2.75321568850393
3200,-0.18465356258956395,1.3039999695234805,0.4510261843056187,2.75321568850393
4800,-0.18929945722277908,1.6615041771290544,0.35255040104926877,2.75321568850393
6400,-0.19197447796163442,2.007726380059666,0.2906322806214777,2.75321568850393
9600,-0.19493666362921921,2.685306454368976,0.2160244395337155,2.75321568850393
12800,-0.19653856379232656,3.353717835409696,0.1722734316402006,2.75321568850393
