playerId,inLnCoefficients,lnCoef,r1ProxyEligibleNeighbors,supportStatus,note,DIAGNOSTIC_ONLY
101108,true,0.020362,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626143,true,0.010126,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626145,true,-0.020543,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626153,true,0.00237,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626156,true,0.022344,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626157,true,0.005283,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626158,true,0.014561,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626162,true,-0.005049,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626164,true,0.003623,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626166,true,0.01958,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626167,true,-0.000756,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626168,true,-0.01098,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626171,true,-0.007967,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626172,true,0.00574,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626179,true,-0.018677,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626181,true,0.013621,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626192,true,-0.012168,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626196,true,-0.024067,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626204,true,-0.030773,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1626220,true,0.008595,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627732,true,-0.001832,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627734,true,0.021932,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627736,true,-0.000251,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627739,true,0.008291,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627741,true,-0.007857,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627742,true,-0.025678,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627746,true,0.004437,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627747,true,0.012194,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627749,true,-0.017208,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627750,true,0.01095,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627751,true,0.023099,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627752,true,-0.016747,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627759,true,0.006098,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627763,true,-0.001561,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627777,true,-0.015711,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627780,true,0.009462,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627783,true,0.032543,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627814,true,0.006502,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627824,true,0.010052,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627826,true,0.038084,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627827,true,0.051829,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627832,true,0.010101,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627884,true,0.008616,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1627936,true,0.020345,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1628365,true,-0.000655,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1628366,true,0.035027,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1628368,true,0.010368,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1628369,true,0.027515,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1628370,true,-0.01059,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1628371,true,-0.012207,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1628374,true,-0.003532,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1628378,true,0.007684,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1628379,true,0.012145,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1628380,true,0.018821,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
1628381,true,0.035247,8,SUPPORTED,Role-distance R1 not recomputed here; neighbor count uses residual-quintile proxy within LN table,true
