focalPlayerId,side,beta_i,mean_beta_r,credit,identityResidual,replacementCount,supportStatus,DIAGNOSTIC_CANDIDATE
101108,offense,0.020362,-0.05384124999999999,0.07420325,0,8,SUPPORTED,true
1627827,offense,0.051829,-0.05384124999999999,0.10567025,0,8,SUPPORTED,true
1628975,offense,0.032073,-0.05384124999999999,0.08591425,0,8,SUPPORTED,true
1629610,offense,0.016983,-0.05384124999999999,0.07082424999999999,0,8,SUPPORTED,true
1630163,offense,0.000817,-0.05384124999999999,0.05465824999999999,0,8,SUPPORTED,true
1630256,offense,-0.001427,-0.05384124999999999,0.052414249999999996,0,8,SUPPORTED,true
1630572,offense,0.020696,-0.05384124999999999,0.07453725,0,8,SUPPORTED,true
1631101,offense,-0.026517,-0.05384124999999999,0.027324249999999994,0,8,SUPPORTED,true
1631216,offense,-0.016816,-0.05384124999999999,0.037025249999999996,0,8,SUPPORTED,true
1641722,offense,-0.023606,-0.05384124999999999,0.030235249999999995,0,8,SUPPORTED,true
1641801,offense,-0.001307,-0.05384124999999999,0.05253424999999999,0,8,SUPPORTED,true
1642280,offense,0.019338,-0.05384124999999999,0.07317925,0,8,SUPPORTED,true
