player,playerId,oldRank,newRank,rankChange,oldRankingScore,newRankingScore,actualPossessions,posteriorAbilityRate,abilityStandardError,seasonWar,eligibilityStatus
Shai Gilgeous-Alexander,1628983,9,1,8,1.3,10.025667,10880,1.2962,2.8941,10.0257,eligible
Nikola Jokić,203999,3,2,1,1.53,9.570667,10737,1.5315,0.8499,9.5707,eligible
Norman Powell,1626181,13,3,10,1.17,5.690667,8057,1.1709,1.7935,5.6907,eligible
Christian Braun,1631128,65,4,61,0.57,5.207333,11046,0.5697,1.4394,5.2073,eligible
Payton Pritchard,1630202,19,5,14,0.99,4.983333,9025,0.9881,1.5836,4.9833,eligible
Giannis Antetokounmpo,203507,109,6,103,0.39,4.688667,9335,0.3916,4.1589,4.6887,eligible
Ivica Zubac,1627826,46,7,39,0.67,4.63,10739,0.6676,1.3212,4.63,eligible
Jaren Jackson Jr.,1628991,27,8,19,0.87,4.514667,9713,0.872,1.1734,4.5147,eligible
Jarrett Allen,1628386,52,9,43,0.64,4.51,9655,0.6368,2.6514,4.51,eligible
Jimmy Butler,202710,5,10,-5,1.32,4.382333,6970,1.3221,3.602,4.3823,eligible
Rudy Gobert,203497,69,11,58,0.56,4.357,9585,0.5583,3.5814,4.357,eligible
Pascal Siakam,1627783,72,12,60,0.54,4.275667,10334,0.5396,1.8862,4.2757,eligible
Keon Ellis,1631165,23,13,10,0.92,4.080667,8023,0.9171,0.7643,4.0807,eligible
Malik Beasley,1627736,58,14,44,0.61,4.000667,9795,0.6076,1.0339,4.0007,eligible
OG Anunoby,1628384,133,15,118,0.3,3.921,10928,0.3044,0.517,3.921,eligible
De'Andre Hunter,1629631,28,16,12,0.87,3.75,7330,0.8664,2.7779,3.75,eligible
Stephen Curry,201939,141,17,124,0.25,3.658,9434,0.2546,0.9228,3.658,eligible
Franz Wagner,1630532,6,18,-12,1.32,3.620667,8188,1.3178,1.409,3.6207,eligible
Dyson Daniels,1630700,80,19,61,0.5,3.524,10870,0.5008,1.6158,3.524,eligible
Ty Jerome,1629660,31,20,11,0.83,3.480667,5795,0.8313,1.0364,3.4807,eligible
Harrison Barnes,203084,124,21,103,0.35,3.476333,9064,0.3522,2.274,3.4763,eligible
Tari Eason,1631106,10,22,-12,1.24,3.470667,5836,1.2376,0.6607,3.4707,eligible
Evan Mobley,1630596,55,23,32,0.63,3.162,9051,0.6262,1.7872,3.162,eligible
Anthony Edwards,1630162,156,24,132,0.21,3.155,11610,0.2064,1.267,3.155,eligible
Donovan Mitchell,1628378,88,25,63,0.47,3.110333,9308,0.4699,0.6121,3.1103,eligible
DeMar DeRozan,201942,59,26,33,0.61,2.991333,11459,0.6094,1.4962,2.9913,eligible
Naz Reid,1629675,21,27,-6,0.97,2.944333,9046,0.9686,0.7768,2.9443,eligible
Aaron Nesmith,1630174,35,28,7,0.78,2.942667,4464,0.7848,2.0556,2.9427,eligible
Isaiah Joe,1630198,89,29,60,0.47,2.843,6664,0.466,0.3594,2.843,eligible
Karl-Anthony Towns,1626157,90,30,60,0.47,2.805333,10077,0.4707,0.9504,2.8053,eligible
Nikola Vučević,202696,96,31,65,0.43,2.792,9771,0.4312,1.4675,2.792,eligible
Tyrese Haliburton,1630169,312,32,280,-0.19,2.760667,9847,-0.1862,2.2269,2.7607,eligible
Kyrie Irving,202681,115,33,82,0.37,2.679667,7454,0.3701,0.4514,2.6797,eligible
Daniel Gafford,1629655,42,34,8,0.68,2.674667,5145,0.6834,1.7245,2.6747,eligible
Jaden McDaniels,1630183,128,35,93,0.34,2.665667,10534,0.3435,1.0457,2.6657,eligible
Rui Hachimura,1629060,110,36,74,0.39,2.614,7480,0.3896,1.6818,2.614,eligible
Zach LaVine,203897,49,37,12,0.66,2.601333,10890,0.6579,1.8209,2.6013,eligible
Dillon Brooks,1628415,178,38,140,0.13,2.566667,9518,0.1273,0.4861,2.5667,eligible
Zion Williamson,1629627,37,39,-2,0.76,2.537667,3647,0.7584,1.8559,2.5377,eligible
Ochai Agbaji,1630534,106,40,66,0.4,2.534,7355,0.3991,1.3221,2.534,eligible
Tyler Herro,1629639,203,41,162,0.07,2.506333,10901,0.0687,0.549,2.5063,eligible
Cameron Johnson,1629661,70,42,28,0.56,2.499333,7215,0.5644,1.3933,2.4993,eligible
Jakob Pöltl,1627751,164,43,121,0.18,2.462,7060,0.1848,0.248,2.462,eligible
Luke Kornet,1628436,36,44,-8,0.78,2.436333,5296,0.7805,2.5039,2.4363,eligible
Chris Boucher,1628449,12,45,-33,1.2,2.351,3459,1.2006,1.091,2.351,eligible
Derrick Jones Jr.,1627884,100,46,54,0.42,2.274,7733,0.4192,0.7349,2.274,eligible
Deni Avdija,1630166,218,47,171,0.04,2.266667,8956,0.0391,1.9003,2.2667,eligible
John Collins,1628381,60,48,12,0.61,2.264667,5113,0.6063,2.5906,2.2647,eligible
Darius Garland,1629636,97,49,48,0.43,2.260667,9684,0.4311,0.9797,2.2607,eligible
Sam Hauser,1630573,98,50,48,0.43,2.256333,6035,0.4259,1.2152,2.2563,eligible
Amen Thompson,1641708,191,51,140,0.1,2.240667,9080,0.0978,0.6947,2.2407,eligible
Kevin Durant,201142,134,52,82,0.3,2.239333,9248,0.3034,1.9886,2.2393,eligible
Onyeka Okongwu,1630168,94,53,41,0.45,2.222,8921,0.4499,1.0034,2.222,eligible
Kristaps Porziņģis,204001,85,54,31,0.49,2.185333,5035,0.4905,2.4366,2.1853,eligible
Damian Lillard,203081,185,55,130,0.12,2.185,8516,0.1172,1.3084,2.185,eligible
Brandon Clarke,1629634,92,56,36,0.46,2.159333,5288,0.4625,0.9421,2.1593,eligible
Alex Caruso,1627936,38,57,-19,0.73,2.131333,4268,0.726,0.4127,2.1313,eligible
Trey Murphy III,1630530,86,58,28,0.49,2.124,7827,0.4875,0.9876,2.124,eligible
Gary Trent Jr.,1629018,148,59,89,0.24,2.107,7728,0.2437,1.5215,2.107,eligible
Mark Williams,1631109,30,60,-30,0.84,2.089,4827,0.8354,1.6144,2.089,eligible
Desmond Bane,1630217,225,61,164,0.02,2.071,9508,0.0196,0.6068,2.071,eligible
Justin Champagnie,1630551,25,62,-37,0.9,2.029333,5479,0.8972,1.1469,2.0293,eligible
Luka Dončić,1629029,150,63,87,0.23,2.005333,7368,0.2337,0.8186,2.0053,eligible
Domantas Sabonis,1627734,114,64,50,0.38,2.000667,10119,0.3824,1.1347,2.0007,eligible
Cason Wallace,1641717,136,65,71,0.27,1.960333,7701,0.2729,1.1146,1.9603,eligible
Jalen Duren,1631105,111,66,45,0.39,1.948,8369,0.3907,1.9565,1.948,eligible
Goga Bitadze,1629048,41,67,-26,0.72,1.945667,5644,0.7243,0.8415,1.9457,eligible
Miles Bridges,1628970,91,68,23,0.47,1.902333,8345,0.4688,0.5314,1.9023,eligible
Seth Curry,203552,24,69,-45,0.92,1.889667,4319,0.9175,1.8035,1.8897,eligible
Jabari Walker,1631133,29,70,-41,0.87,1.889,3140,0.8743,2.7184,1.889,eligible
Aaron Gordon,203932,116,71,45,0.37,1.871,5970,0.3677,1.2781,1.871,eligible
Jayson Tatum,1628369,107,72,35,0.4,1.825333,10587,0.4024,2.2969,1.8253,eligible
Ausar Thompson,1641709,43,73,-30,0.68,1.791667,5515,0.6755,0.1959,1.7917,eligible
Kai Jones,1630539,75,74,1,0.53,1.778,1881,0.5333,2.3103,1.778,eligible
Gary Payton II,1627780,153,75,78,0.22,1.777333,3791,0.2185,0.974,1.7773,eligible
Tobias Harris,202699,196,76,120,0.09,1.771667,9425,0.0881,2.3037,1.7717,eligible
Josh Okogie,1629006,8,77,-69,1.31,1.751,2524,1.3065,2.3957,1.751,eligible
Derrick White,1628401,149,78,71,0.24,1.737667,10451,0.2355,0.3314,1.7377,eligible
Sandro Mamukelashvili,1630572,18,79,-61,1.04,1.717,2680,1.0422,1.4717,1.717,eligible
Jalen Brunson,1628973,170,80,90,0.16,1.654667,9338,0.1566,0.574,1.6547,eligible
Obi Toppin,1630167,131,81,50,0.31,1.618,6381,0.3103,2.0424,1.618,eligible
Keldon Johnson,1629640,158,82,76,0.2,1.59,7505,0.2045,2.0128,1.59,eligible
Jamal Murray,1627750,231,83,148,0,1.577,10017,0,0.8904,1.577,eligible
Michael Porter Jr.,1629008,135,84,51,0.3,1.552333,10812,0.3044,0.8589,1.5523,eligible
Jaxson Hayes,1629637,47,85,-38,0.67,1.508333,4526,0.6704,3.1887,1.5083,eligible
Tyrese Maxey,1630178,117,86,31,0.37,1.506667,7776,0.3705,0.3775,1.5067,eligible
Moses Moody,1630541,66,87,-21,0.57,1.476,6827,0.5732,1.2667,1.476,eligible
