rank,playerId,playerName,teamId,rankingMode,finalRankingScore,actualPossessions,eligibilityStatus,rawAbilityRate,posteriorAbilityRate,abilityStandardError,uncertainty,displayUncertainty,intervalLo,intervalHi,intervalConfidence,drbl100,drblP,drblLn,drblB,componentDisagreementIndex,seasonalImpact,seasonWar,drblWar,forecastPossessions,forecastImpact,forecastWar,priorEquivalentPossessions,reliabilityWeight,pointsPerWin,replacementLevelRate,rankingFormulaVersion,oldRank
1,1628983,Shai Gilgeous-Alexander,1610612760,season_value,10.014667,9235,eligible,3.2533,1.5171,0.5844,0.75,0.75,0.77,2.27,0.8,1.52,3.18,5.01,0.29,0.29,300.44,10.0147,10.01,2500,37.93,1.2642,200,0.9788,30,0,2.2.0,6
2,202695,Kawhi Leonard,1610612746,season_value,8.164,8540,eligible,2.8679,1.2214,1.3952,1.79,1.79,-0.56,3.01,0.8,1.22,2.8,3.81,0.06,0.69,244.92,8.164,8.16,2500,30.54,1.0178,200,0.9771,30,0,2.2.0,8
3,1631105,Jalen Duren,1610612765,season_value,6.643333,8146,eligible,2.4466,1.2005,1.4151,1.81,1.81,-0.61,3.01,0.8,1.2,2.39,2.01,-0.01,0.7,199.3,6.6433,6.64,2500,30.01,1.0004,200,0.976,30,0,2.2.0,9
4,1630178,Tyrese Maxey,1610612755,season_value,5.550333,10951,eligible,1.5205,0.766,1.4702,1.88,1.88,-1.12,2.65,0.8,0.77,1.49,2.55,-0.13,0.73,166.51,5.5503,5.55,2500,19.15,0.6383,200,0.9821,30,0,2.2.0,27
5,1641705,Victor Wembanyama,1610612759,season_value,5.446667,7784,eligible,2.0991,0.546,0.6436,0.82,0.82,-0.28,1.37,0.8,0.55,2.05,4.76,0.33,0.31,163.4,5.4467,5.45,2500,13.65,0.455,200,0.9749,30,0,2.2.0,55
6,201142,Kevin Durant,1610612745,season_value,5.317667,11517,eligible,1.3852,0.5603,2.1611,2.77,2.77,-2.21,3.33,0.8,0.56,1.36,2.28,-0.28,1.08,159.53,5.3177,5.32,2500,14.01,0.4669,200,0.9829,30,0,2.2.0,53
7,1628378,Donovan Mitchell,1610612739,season_value,5.29,9900,eligible,1.603,0.794,1.1026,1.41,1.41,-0.62,2.21,0.8,0.79,1.57,2.87,-0.04,0.55,158.7,5.29,5.29,2500,19.85,0.6617,200,0.9802,30,0,2.2.0,24
8,203999,Nikola Jokić,1610612743,season_value,5.177,9758,eligible,1.5916,0.7545,1.0276,1.32,1.32,-0.56,2.07,0.8,0.75,1.56,3.66,0.03,0.51,155.31,5.177,5.18,2500,18.86,0.6287,200,0.9799,30,0,2.2.0,30
9,1630162,Anthony Edwards,1610612750,season_value,4.906,8938,eligible,1.6467,0.939,1.266,1.62,1.62,-0.68,2.56,0.8,0.94,1.61,0.06,0.01,0.63,147.18,4.906,4.91,2500,23.48,0.7825,200,0.9781,30,0,2.2.0,17
10,1628374,Lauri Markkanen,1610612762,season_value,4.792,6266,eligible,2.2942,1.9137,1.076,1.38,1.38,0.54,3.29,0.8,1.91,2.22,2.72,0.03,0.53,143.76,4.792,4.79,2500,47.84,1.5948,200,0.9691,30,0,2.2.0,2
